date,kode,nama,open,high,low,close,volume
2026-01-22,AGRS,Bank IBK Indonesia Tbk.,81.0,83.0,81.0,82.0,12486600
2026-01-23,AGRS,Bank IBK Indonesia Tbk.,82.0,83.0,80.0,81.0,18467600
2026-01-26,AGRS,Bank IBK Indonesia Tbk.,81.0,83.0,80.0,80.0,17948100
2026-01-27,AGRS,Bank IBK Indonesia Tbk.,81.0,81.0,78.0,79.0,13729600
2026-01-28,AGRS,Bank IBK Indonesia Tbk.,78.0,78.0,71.0,73.0,38707600
2026-01-29,AGRS,Bank IBK Indonesia Tbk.,73.0,79.0,68.0,74.0,19011900
2026-01-30,AGRS,Bank IBK Indonesia Tbk.,74.0,77.0,74.0,76.0,14071200
2026-02-02,AGRS,Bank IBK Indonesia Tbk.,76.0,76.0,72.0,73.0,18970500
2026-02-03,AGRS,Bank IBK Indonesia Tbk.,73.0,75.0,70.0,75.0,7539600
2026-02-04,AGRS,Bank IBK Indonesia Tbk.,74.0,76.0,73.0,75.0,4337800
2026-02-05,AGRS,Bank IBK Indonesia Tbk.,75.0,78.0,75.0,75.0,7941000
2026-02-06,AGRS,Bank IBK Indonesia Tbk.,75.0,76.0,72.0,73.0,6553400
2026-02-09,AGRS,Bank IBK Indonesia Tbk.,73.0,75.0,73.0,74.0,3777100
2026-02-10,AGRS,Bank IBK Indonesia Tbk.,75.0,76.0,73.0,75.0,5433300
2026-02-11,AGRS,Bank IBK Indonesia Tbk.,76.0,78.0,74.0,76.0,11010000
2026-02-12,AGRS,Bank IBK Indonesia Tbk.,77.0,78.0,76.0,77.0,10667700
2026-02-13,AGRS,Bank IBK Indonesia Tbk.,77.0,77.0,76.0,76.0,1753100
2026-02-18,AGRS,Bank IBK Indonesia Tbk.,77.0,78.0,75.0,77.0,4971100
2026-02-19,AGRS,Bank IBK Indonesia Tbk.,76.0,78.0,76.0,76.0,3854900
2026-02-20,AGRS,Bank IBK Indonesia Tbk.,77.0,77.0,74.0,76.0,5701200
2026-02-23,AGRS,Bank IBK Indonesia Tbk.,76.0,76.0,74.0,76.0,6368700
2026-02-24,AGRS,Bank IBK Indonesia Tbk.,76.0,76.0,74.0,75.0,4477100
2026-02-25,AGRS,Bank IBK Indonesia Tbk.,75.0,76.0,74.0,75.0,5173300
2026-02-26,AGRS,Bank IBK Indonesia Tbk.,76.0,76.0,73.0,75.0,6012600
2026-02-27,AGRS,Bank IBK Indonesia Tbk.,74.0,75.0,73.0,74.0,6412600
2026-03-02,AGRS,Bank IBK Indonesia Tbk.,74.0,75.0,71.0,71.0,6717600
2026-03-03,AGRS,Bank IBK Indonesia Tbk.,71.0,76.0,71.0,73.0,3630300
2026-03-04,AGRS,Bank IBK Indonesia Tbk.,73.0,73.0,68.0,69.0,14860100
2026-03-05,AGRS,Bank IBK Indonesia Tbk.,70.0,75.0,70.0,72.0,5204500
2026-03-06,AGRS,Bank IBK Indonesia Tbk.,72.0,74.0,69.0,70.0,4494400
