date,kode,nama,open,high,low,close,volume
2026-01-22,AMAG,Asuransi Multi Artha Guna Tbk.,412.0,416.0,404.0,408.0,87900
2026-01-23,AMAG,Asuransi Multi Artha Guna Tbk.,414.0,414.0,404.0,410.0,36300
2026-01-26,AMAG,Asuransi Multi Artha Guna Tbk.,414.0,510.0,414.0,462.0,2823700
2026-01-27,AMAG,Asuransi Multi Artha Guna Tbk.,500.0,500.0,420.0,456.0,2031700
2026-01-28,AMAG,Asuransi Multi Artha Guna Tbk.,438.0,472.0,420.0,452.0,3311100
2026-01-29,AMAG,Asuransi Multi Artha Guna Tbk.,454.0,454.0,410.0,426.0,1053800
2026-01-30,AMAG,Asuransi Multi Artha Guna Tbk.,426.0,450.0,426.0,432.0,322500
2026-02-02,AMAG,Asuransi Multi Artha Guna Tbk.,434.0,470.0,432.0,438.0,322000
2026-02-03,AMAG,Asuransi Multi Artha Guna Tbk.,438.0,450.0,418.0,438.0,957400
2026-02-04,AMAG,Asuransi Multi Artha Guna Tbk.,438.0,438.0,404.0,428.0,290000
2026-02-05,AMAG,Asuransi Multi Artha Guna Tbk.,428.0,432.0,420.0,426.0,40900
2026-02-06,AMAG,Asuransi Multi Artha Guna Tbk.,426.0,426.0,414.0,420.0,141600
2026-02-09,AMAG,Asuransi Multi Artha Guna Tbk.,416.0,422.0,416.0,418.0,60200
2026-02-10,AMAG,Asuransi Multi Artha Guna Tbk.,418.0,448.0,416.0,448.0,130600
2026-02-11,AMAG,Asuransi Multi Artha Guna Tbk.,442.0,442.0,420.0,434.0,221900
2026-02-12,AMAG,Asuransi Multi Artha Guna Tbk.,434.0,438.0,424.0,428.0,115800
2026-02-13,AMAG,Asuransi Multi Artha Guna Tbk.,428.0,430.0,422.0,428.0,26900
2026-02-18,AMAG,Asuransi Multi Artha Guna Tbk.,428.0,432.0,422.0,428.0,51600
2026-02-19,AMAG,Asuransi Multi Artha Guna Tbk.,428.0,434.0,426.0,434.0,61600
2026-02-20,AMAG,Asuransi Multi Artha Guna Tbk.,434.0,434.0,426.0,430.0,26000
2026-02-23,AMAG,Asuransi Multi Artha Guna Tbk.,430.0,438.0,426.0,438.0,93300
