date,kode,nama,open,high,low,close,volume
2026-01-22,AMOR,Ashmore Asset Management Indon,388.0,390.0,384.0,390.0,1823200
2026-01-23,AMOR,Ashmore Asset Management Indon,390.0,390.0,380.0,384.0,3096900
2026-01-26,AMOR,Ashmore Asset Management Indon,386.0,390.0,378.0,384.0,3515100
2026-01-27,AMOR,Ashmore Asset Management Indon,384.0,388.0,380.0,382.0,2839400
2026-01-28,AMOR,Ashmore Asset Management Indon,384.0,386.0,358.0,372.0,2027900
2026-01-29,AMOR,Ashmore Asset Management Indon,364.0,380.0,340.0,380.0,1117600
2026-01-30,AMOR,Ashmore Asset Management Indon,380.0,380.0,372.0,376.0,477300
2026-02-02,AMOR,Ashmore Asset Management Indon,378.0,382.0,366.0,370.0,1335300
2026-02-03,AMOR,Ashmore Asset Management Indon,380.0,384.0,372.0,380.0,2403100
2026-02-04,AMOR,Ashmore Asset Management Indon,390.0,392.0,382.0,382.0,2691100
2026-02-05,AMOR,Ashmore Asset Management Indon,388.0,390.0,378.0,384.0,4611500
2026-02-06,AMOR,Ashmore Asset Management Indon,382.0,388.0,368.0,380.0,4696400
2026-02-09,AMOR,Ashmore Asset Management Indon,382.0,384.0,370.0,374.0,6044600
2026-02-10,AMOR,Ashmore Asset Management Indon,374.0,380.0,370.0,374.0,8104100
2026-02-11,AMOR,Ashmore Asset Management Indon,368.0,368.0,348.0,350.0,11576400
2026-02-12,AMOR,Ashmore Asset Management Indon,354.0,358.0,350.0,354.0,1962800
2026-02-13,AMOR,Ashmore Asset Management Indon,354.0,356.0,346.0,350.0,1112700
2026-02-18,AMOR,Ashmore Asset Management Indon,350.0,352.0,346.0,346.0,1948100
2026-02-19,AMOR,Ashmore Asset Management Indon,346.0,350.0,342.0,346.0,1274500
2026-02-20,AMOR,Ashmore Asset Management Indon,346.0,350.0,344.0,348.0,874800
2026-02-23,AMOR,Ashmore Asset Management Indon,348.0,362.0,348.0,358.0,1969500
2026-02-24,AMOR,Ashmore Asset Management Indon,358.0,360.0,350.0,356.0,995800
2026-02-25,AMOR,Ashmore Asset Management Indon,354.0,354.0,350.0,352.0,439700
2026-02-26,AMOR,Ashmore Asset Management Indon,354.0,358.0,352.0,356.0,1175400
2026-02-27,AMOR,Ashmore Asset Management Indon,356.0,358.0,352.0,354.0,1020800
2026-03-02,AMOR,Ashmore Asset Management Indon,350.0,354.0,348.0,350.0,1061500
2026-03-03,AMOR,Ashmore Asset Management Indon,348.0,352.0,344.0,350.0,392600
2026-03-04,AMOR,Ashmore Asset Management Indon,350.0,350.0,332.0,338.0,2608400
2026-03-05,AMOR,Ashmore Asset Management Indon,338.0,344.0,336.0,340.0,823200
2026-03-06,AMOR,Ashmore Asset Management Indon,340.0,342.0,334.0,336.0,330900
2026-03-09,AMOR,Ashmore Asset Management Indon,328.0,328.0,316.0,316.0,1350600
2026-03-10,AMOR,Ashmore Asset Management Indon,318.0,318.0,306.0,314.0,965300
2026-03-11,AMOR,Ashmore Asset Management Indon,312.0,318.0,310.0,316.0,535000
2026-03-12,AMOR,Ashmore Asset Management Indon,316.0,318.0,316.0,316.0,291900
2026-03-13,AMOR,Ashmore Asset Management Indon,316.0,316.0,308.0,,705100
2026-03-16,AMOR,Ashmore Asset Management Indon,308.0,308.0,302.0,,626200
2026-03-17,AMOR,Ashmore Asset Management Indon,302.0,310.0,302.0,,240600
2026-03-25,AMOR,Ashmore Asset Management Indon,308.0,330.0,308.0,328.0,1194900
2026-03-26,AMOR,Ashmore Asset Management Indon,334.0,334.0,316.0,,577900
2026-03-27,AMOR,Ashmore Asset Management Indon,334.0,338.0,318.0,336.0,778000
2026-03-30,AMOR,Ashmore Asset Management Indon,338.0,338.0,328.0,330.0,568600
2026-03-31,AMOR,Ashmore Asset Management Indon,334.0,336.0,328.0,330.0,249800
2026-04-01,AMOR,Ashmore Asset Management Indon,330.0,338.0,330.0,336.0,197300
2026-04-02,AMOR,Ashmore Asset Management Indon,338.0,362.0,338.0,348.0,2228100
2026-04-06,AMOR,Ashmore Asset Management Indon,358.0,358.0,336.0,338.0,327600
2026-04-07,AMOR,Ashmore Asset Management Indon,336.0,342.0,330.0,334.0,332200
2026-04-08,AMOR,Ashmore Asset Management Indon,332.0,346.0,330.0,346.0,2365600
2026-04-09,AMOR,Ashmore Asset Management Indon,346.0,346.0,338.0,340.0,86600
2026-04-10,AMOR,Ashmore Asset Management Indon,340.0,364.0,340.0,360.0,1062000
