date,kode,nama,open,high,low,close,volume
2026-01-22,ARTO,Bank Jago Tbk.,1930.0,1940.0,1900.0,1925.0,4570300
2026-01-23,ARTO,Bank Jago Tbk.,1940.0,1940.0,1890.0,1910.0,3352600
2026-01-26,ARTO,Bank Jago Tbk.,1910.0,1925.0,1870.0,1870.0,5832900
2026-01-27,ARTO,Bank Jago Tbk.,1870.0,1890.0,1845.0,1855.0,3442200
2026-01-28,ARTO,Bank Jago Tbk.,1840.0,1840.0,1590.0,1670.0,17257300
2026-01-29,ARTO,Bank Jago Tbk.,1670.0,1805.0,1500.0,1700.0,18053000
2026-01-30,ARTO,Bank Jago Tbk.,1715.0,1760.0,1665.0,1700.0,15444100
2026-02-02,ARTO,Bank Jago Tbk.,1700.0,1710.0,1605.0,1620.0,5824100
2026-02-03,ARTO,Bank Jago Tbk.,1650.0,1670.0,1600.0,1630.0,13085100
2026-02-04,ARTO,Bank Jago Tbk.,1640.0,1655.0,1610.0,1630.0,5883600
2026-02-05,ARTO,Bank Jago Tbk.,1635.0,1715.0,1635.0,1700.0,22011500
2026-02-06,ARTO,Bank Jago Tbk.,1690.0,1740.0,1640.0,1710.0,15289400
2026-02-09,ARTO,Bank Jago Tbk.,1710.0,1720.0,1665.0,1670.0,2979900
2026-02-10,ARTO,Bank Jago Tbk.,1665.0,1695.0,1665.0,1685.0,2469700
2026-02-11,ARTO,Bank Jago Tbk.,1685.0,1735.0,1680.0,1730.0,3476200
2026-02-12,ARTO,Bank Jago Tbk.,1730.0,1730.0,1705.0,1710.0,2442300
2026-02-13,ARTO,Bank Jago Tbk.,1710.0,1720.0,1665.0,1670.0,4948400
2026-02-18,ARTO,Bank Jago Tbk.,1670.0,1710.0,1670.0,1690.0,4839800
2026-02-19,ARTO,Bank Jago Tbk.,1695.0,1695.0,1645.0,1645.0,5901000
2026-02-20,ARTO,Bank Jago Tbk.,1650.0,1660.0,1635.0,1635.0,3060200
2026-02-23,ARTO,Bank Jago Tbk.,1640.0,1665.0,1635.0,1660.0,2889300
2026-02-24,ARTO,Bank Jago Tbk.,1660.0,1665.0,1615.0,1620.0,7588000
2026-02-25,ARTO,Bank Jago Tbk.,1630.0,1640.0,1610.0,1635.0,2589500
2026-02-26,ARTO,Bank Jago Tbk.,1640.0,1650.0,1600.0,1605.0,8805400
2026-02-27,ARTO,Bank Jago Tbk.,1605.0,1620.0,1590.0,1590.0,4835300
2026-03-02,ARTO,Bank Jago Tbk.,1585.0,1590.0,1455.0,1500.0,9646500
2026-03-03,ARTO,Bank Jago Tbk.,1500.0,1515.0,1430.0,1450.0,5270300
2026-03-04,ARTO,Bank Jago Tbk.,1445.0,1445.0,1340.0,1360.0,7294700
2026-03-05,ARTO,Bank Jago Tbk.,1360.0,1420.0,1360.0,1415.0,3248300
2026-03-06,ARTO,Bank Jago Tbk.,1415.0,1425.0,1355.0,1380.0,1933300
2026-03-09,ARTO,Bank Jago Tbk.,1370.0,1370.0,1300.0,1330.0,7646600
2026-03-10,ARTO,Bank Jago Tbk.,1330.0,1520.0,1330.0,1500.0,8231700
2026-03-11,ARTO,Bank Jago Tbk.,1500.0,1575.0,1450.0,1535.0,7120700
2026-03-12,ARTO,Bank Jago Tbk.,1535.0,1540.0,1435.0,1435.0,3451300
2026-03-13,ARTO,Bank Jago Tbk.,1435.0,1475.0,1420.0,,1129600
2026-03-16,ARTO,Bank Jago Tbk.,1435.0,1435.0,1350.0,,2626100
2026-03-17,ARTO,Bank Jago Tbk.,1390.0,1400.0,1375.0,,1554900
2026-03-25,ARTO,Bank Jago Tbk.,1385.0,1415.0,1350.0,1400.0,1289000
2026-03-26,ARTO,Bank Jago Tbk.,1405.0,1420.0,1375.0,,697100
2026-03-27,ARTO,Bank Jago Tbk.,1385.0,1400.0,1370.0,1375.0,600400
2026-03-30,ARTO,Bank Jago Tbk.,1350.0,1370.0,1330.0,1350.0,1218500
2026-03-31,ARTO,Bank Jago Tbk.,1350.0,1370.0,1315.0,1320.0,2081400
