date,kode,nama,open,high,low,close,volume
2026-01-22,ASBI,Asuransi Bintang Tbk.,438.0,454.0,430.0,438.0,165700
2026-01-23,ASBI,Asuransi Bintang Tbk.,446.0,446.0,412.0,428.0,119500
2026-01-26,ASBI,Asuransi Bintang Tbk.,428.0,438.0,424.0,436.0,30900
2026-01-27,ASBI,Asuransi Bintang Tbk.,436.0,436.0,428.0,436.0,35400
2026-01-28,ASBI,Asuransi Bintang Tbk.,428.0,436.0,416.0,424.0,52000
2026-01-29,ASBI,Asuransi Bintang Tbk.,436.0,436.0,400.0,432.0,87100
2026-01-30,ASBI,Asuransi Bintang Tbk.,432.0,432.0,414.0,428.0,16400
2026-02-02,ASBI,Asuransi Bintang Tbk.,432.0,436.0,418.0,428.0,44800
2026-02-03,ASBI,Asuransi Bintang Tbk.,432.0,432.0,412.0,430.0,29200
2026-02-04,ASBI,Asuransi Bintang Tbk.,432.0,432.0,420.0,430.0,18200
2026-02-05,ASBI,Asuransi Bintang Tbk.,432.0,432.0,418.0,426.0,5600
2026-02-06,ASBI,Asuransi Bintang Tbk.,428.0,434.0,416.0,428.0,7200
2026-02-09,ASBI,Asuransi Bintang Tbk.,428.0,428.0,416.0,418.0,7900
2026-02-10,ASBI,Asuransi Bintang Tbk.,418.0,428.0,416.0,424.0,16000
2026-02-11,ASBI,Asuransi Bintang Tbk.,424.0,426.0,416.0,426.0,7700
2026-02-12,ASBI,Asuransi Bintang Tbk.,424.0,428.0,424.0,426.0,12800
2026-02-13,ASBI,Asuransi Bintang Tbk.,428.0,430.0,420.0,428.0,21900
2026-02-18,ASBI,Asuransi Bintang Tbk.,428.0,430.0,418.0,422.0,7900
2026-02-19,ASBI,Asuransi Bintang Tbk.,422.0,424.0,420.0,424.0,19000
2026-02-20,ASBI,Asuransi Bintang Tbk.,422.0,456.0,422.0,438.0,152400
2026-02-23,ASBI,Asuransi Bintang Tbk.,446.0,446.0,412.0,422.0,129600
2026-02-24,ASBI,Asuransi Bintang Tbk.,430.0,430.0,422.0,422.0,17200
2026-02-25,ASBI,Asuransi Bintang Tbk.,422.0,428.0,420.0,428.0,29000
2026-02-26,ASBI,Asuransi Bintang Tbk.,430.0,430.0,422.0,424.0,19800
2026-02-27,ASBI,Asuransi Bintang Tbk.,420.0,430.0,418.0,428.0,8300
2026-03-02,ASBI,Asuransi Bintang Tbk.,426.0,426.0,416.0,416.0,9500
2026-03-03,ASBI,Asuransi Bintang Tbk.,418.0,418.0,416.0,416.0,2200
2026-03-04,ASBI,Asuransi Bintang Tbk.,416.0,420.0,410.0,410.0,17600
2026-03-05,ASBI,Asuransi Bintang Tbk.,406.0,406.0,406.0,406.0,100
2026-03-06,ASBI,Asuransi Bintang Tbk.,406.0,408.0,404.0,404.0,13700
2026-03-09,ASBI,Asuransi Bintang Tbk.,404.0,426.0,404.0,420.0,7400
2026-03-10,ASBI,Asuransi Bintang Tbk.,420.0,420.0,406.0,416.0,45600
2026-03-11,ASBI,Asuransi Bintang Tbk.,422.0,426.0,416.0,424.0,3100
2026-03-12,ASBI,Asuransi Bintang Tbk.,420.0,422.0,410.0,420.0,3100
2026-03-13,ASBI,Asuransi Bintang Tbk.,410.0,410.0,400.0,,15900
2026-03-16,ASBI,Asuransi Bintang Tbk.,400.0,428.0,400.0,,48800
2026-03-17,ASBI,Asuransi Bintang Tbk.,424.0,430.0,380.0,,19200
2026-03-25,ASBI,Asuransi Bintang Tbk.,418.0,426.0,402.0,424.0,18200
2026-03-26,ASBI,Asuransi Bintang Tbk.,424.0,424.0,406.0,,1200
2026-03-27,ASBI,Asuransi Bintang Tbk.,418.0,424.0,400.0,404.0,23100
2026-03-30,ASBI,Asuransi Bintang Tbk.,414.0,414.0,398.0,406.0,23900
2026-03-31,ASBI,Asuransi Bintang Tbk.,406.0,408.0,404.0,406.0,9000
2026-04-01,ASBI,Asuransi Bintang Tbk.,408.0,408.0,406.0,406.0,9000
2026-04-02,ASBI,Asuransi Bintang Tbk.,406.0,408.0,404.0,406.0,9100
2026-04-06,ASBI,Asuransi Bintang Tbk.,406.0,408.0,406.0,408.0,6800
2026-04-07,ASBI,Asuransi Bintang Tbk.,408.0,408.0,406.0,406.0,1800
2026-04-08,ASBI,Asuransi Bintang Tbk.,408.0,410.0,406.0,410.0,29800
2026-04-09,ASBI,Asuransi Bintang Tbk.,410.0,410.0,410.0,410.0,6200
2026-04-10,ASBI,Asuransi Bintang Tbk.,416.0,416.0,408.0,408.0,800
2026-04-13,ASBI,Asuransi Bintang Tbk.,416.0,440.0,416.0,432.0,28900
