date,kode,nama,open,high,low,close,volume
2026-01-22,ASJT,Asuransi Jasa Tania Tbk.,204.0,238.0,199.0,199.0,8231200
2026-01-23,ASJT,Asuransi Jasa Tania Tbk.,199.0,200.0,175.0,190.0,2524700
2026-01-26,ASJT,Asuransi Jasa Tania Tbk.,191.0,197.0,186.0,186.0,918500
2026-01-27,ASJT,Asuransi Jasa Tania Tbk.,190.0,195.0,184.0,185.0,593300
2026-01-28,ASJT,Asuransi Jasa Tania Tbk.,185.0,220.0,180.0,180.0,8572200
2026-01-29,ASJT,Asuransi Jasa Tania Tbk.,192.0,222.0,153.0,180.0,6660600
2026-01-30,ASJT,Asuransi Jasa Tania Tbk.,180.0,210.0,174.0,194.0,5275900
2026-02-02,ASJT,Asuransi Jasa Tania Tbk.,191.0,191.0,168.0,169.0,1950900
2026-02-03,ASJT,Asuransi Jasa Tania Tbk.,173.0,181.0,160.0,179.0,745900
2026-02-04,ASJT,Asuransi Jasa Tania Tbk.,178.0,179.0,171.0,175.0,556900
2026-02-05,ASJT,Asuransi Jasa Tania Tbk.,175.0,212.0,171.0,184.0,8423000
2026-02-06,ASJT,Asuransi Jasa Tania Tbk.,184.0,194.0,176.0,190.0,3402900
2026-02-09,ASJT,Asuransi Jasa Tania Tbk.,189.0,193.0,180.0,187.0,1724800
2026-02-10,ASJT,Asuransi Jasa Tania Tbk.,187.0,193.0,183.0,192.0,1909000
2026-02-11,ASJT,Asuransi Jasa Tania Tbk.,200.0,214.0,196.0,197.0,2529400
2026-02-12,ASJT,Asuransi Jasa Tania Tbk.,199.0,204.0,197.0,204.0,801800
2026-02-13,ASJT,Asuransi Jasa Tania Tbk.,204.0,210.0,202.0,206.0,1209100
2026-02-18,ASJT,Asuransi Jasa Tania Tbk.,206.0,206.0,200.0,200.0,491100
2026-02-19,ASJT,Asuransi Jasa Tania Tbk.,208.0,210.0,180.0,202.0,2624200
2026-02-20,ASJT,Asuransi Jasa Tania Tbk.,202.0,218.0,198.0,202.0,2800100
