date,kode,nama,open,high,low,close,volume
2026-01-22,ASMI,Asuransi Maximus Graha Persada,37.0,37.0,36.0,36.0,16806600
2026-01-23,ASMI,Asuransi Maximus Graha Persada,36.0,36.0,34.0,34.0,2717500
2026-01-26,ASMI,Asuransi Maximus Graha Persada,34.0,36.0,34.0,36.0,4499400
2026-01-27,ASMI,Asuransi Maximus Graha Persada,36.0,36.0,36.0,36.0,4020900
2026-01-28,ASMI,Asuransi Maximus Graha Persada,33.0,33.0,33.0,33.0,1573500
2026-01-29,ASMI,Asuransi Maximus Graha Persada,30.0,30.0,30.0,30.0,2226300
2026-01-30,ASMI,Asuransi Maximus Graha Persada,30.0,33.0,30.0,33.0,4109000
2026-02-02,ASMI,Asuransi Maximus Graha Persada,35.0,35.0,31.0,31.0,5466000
2026-02-03,ASMI,Asuransi Maximus Graha Persada,31.0,34.0,31.0,34.0,3976800
2026-02-04,ASMI,Asuransi Maximus Graha Persada,33.0,33.0,33.0,33.0,3318200
2026-02-05,ASMI,Asuransi Maximus Graha Persada,33.0,33.0,33.0,33.0,3543800
2026-02-06,ASMI,Asuransi Maximus Graha Persada,31.0,31.0,31.0,31.0,3196800
2026-02-09,ASMI,Asuransi Maximus Graha Persada,29.0,31.0,29.0,31.0,3891900
2026-02-10,ASMI,Asuransi Maximus Graha Persada,31.0,32.0,31.0,32.0,3219600
2026-02-11,ASMI,Asuransi Maximus Graha Persada,33.0,35.0,33.0,35.0,4785900
2026-02-12,ASMI,Asuransi Maximus Graha Persada,36.0,36.0,32.0,33.0,4079000
2026-02-13,ASMI,Asuransi Maximus Graha Persada,33.0,33.0,32.0,33.0,1002800
2026-02-18,ASMI,Asuransi Maximus Graha Persada,33.0,33.0,33.0,33.0,10222100
2026-02-19,ASMI,Asuransi Maximus Graha Persada,33.0,33.0,32.0,32.0,2105600
2026-02-20,ASMI,Asuransi Maximus Graha Persada,32.0,33.0,32.0,33.0,2853400
2026-02-23,ASMI,Asuransi Maximus Graha Persada,33.0,33.0,32.0,33.0,1861900
2026-02-24,ASMI,Asuransi Maximus Graha Persada,33.0,33.0,32.0,32.0,1366000
2026-02-25,ASMI,Asuransi Maximus Graha Persada,32.0,32.0,31.0,32.0,889000
2026-02-26,ASMI,Asuransi Maximus Graha Persada,31.0,31.0,31.0,31.0,3430000
2026-02-27,ASMI,Asuransi Maximus Graha Persada,32.0,32.0,32.0,32.0,2279600
2026-03-02,ASMI,Asuransi Maximus Graha Persada,32.0,32.0,31.0,31.0,5363000
2026-03-03,ASMI,Asuransi Maximus Graha Persada,31.0,31.0,28.0,28.0,7064800
2026-03-04,ASMI,Asuransi Maximus Graha Persada,26.0,26.0,26.0,26.0,6580600
2026-03-05,ASMI,Asuransi Maximus Graha Persada,25.0,25.0,25.0,25.0,16230100
2026-03-06,ASMI,Asuransi Maximus Graha Persada,24.0,24.0,23.0,23.0,8550600
2026-03-09,ASMI,Asuransi Maximus Graha Persada,21.0,21.0,21.0,21.0,5754400
2026-03-10,ASMI,Asuransi Maximus Graha Persada,20.0,23.0,19.0,19.0,21155900
2026-03-11,ASMI,Asuransi Maximus Graha Persada,19.0,20.0,19.0,20.0,21244000
2026-03-12,ASMI,Asuransi Maximus Graha Persada,19.0,19.0,18.0,18.0,43342800
2026-03-13,ASMI,Asuransi Maximus Graha Persada,17.0,19.0,17.0,,50004200
2026-03-16,ASMI,Asuransi Maximus Graha Persada,17.0,18.0,17.0,,8620400
2026-03-17,ASMI,Asuransi Maximus Graha Persada,19.0,19.0,19.0,,18582200
2026-03-25,ASMI,Asuransi Maximus Graha Persada,19.0,19.0,18.0,19.0,38959800
2026-03-26,ASMI,Asuransi Maximus Graha Persada,20.0,20.0,20.0,,10132100
2026-03-27,ASMI,Asuransi Maximus Graha Persada,20.0,20.0,20.0,20.0,9121600
2026-03-30,ASMI,Asuransi Maximus Graha Persada,20.0,20.0,20.0,20.0,4243800
2026-03-31,ASMI,Asuransi Maximus Graha Persada,19.0,20.0,19.0,20.0,20060700
2026-04-01,ASMI,Asuransi Maximus Graha Persada,20.0,20.0,19.0,19.0,24686000
2026-04-02,ASMI,Asuransi Maximus Graha Persada,19.0,20.0,18.0,20.0,11676100
2026-04-06,ASMI,Asuransi Maximus Graha Persada,20.0,20.0,19.0,19.0,9542600
2026-04-07,ASMI,Asuransi Maximus Graha Persada,19.0,19.0,18.0,19.0,3051800
2026-04-08,ASMI,Asuransi Maximus Graha Persada,19.0,19.0,19.0,19.0,6688100
2026-04-09,ASMI,Asuransi Maximus Graha Persada,19.0,19.0,19.0,19.0,2664300
2026-04-10,ASMI,Asuransi Maximus Graha Persada,19.0,20.0,19.0,20.0,1166300
2026-04-13,ASMI,Asuransi Maximus Graha Persada,19.0,20.0,19.0,19.0,7177500
2026-04-14,ASMI,Asuransi Maximus Graha Persada,19.0,20.0,19.0,20.0,7672900
2026-04-15,ASMI,Asuransi Maximus Graha Persada,20.0,20.0,19.0,19.0,5520600
2026-04-16,ASMI,Asuransi Maximus Graha Persada,19.0,19.0,19.0,19.0,18232800
2026-04-17,ASMI,Asuransi Maximus Graha Persada,19.0,19.0,19.0,19.0,21654100
2026-04-20,ASMI,Asuransi Maximus Graha Persada,19.0,19.0,19.0,19.0,14222500
2026-04-21,ASMI,Asuransi Maximus Graha Persada,19.0,19.0,19.0,19.0,19430100
2026-04-22,ASMI,Asuransi Maximus Graha Persada,20.0,20.0,19.0,19.0,15466800
2026-04-23,ASMI,Asuransi Maximus Graha Persada,19.0,20.0,19.0,20.0,22256000
2026-04-24,ASMI,Asuransi Maximus Graha Persada,20.0,20.0,19.0,19.0,16775000
2026-04-27,ASMI,Asuransi Maximus Graha Persada,19.0,19.0,19.0,19.0,7617100
2026-04-28,ASMI,Asuransi Maximus Graha Persada,20.0,20.0,19.0,19.0,6308900
2026-04-29,ASMI,Asuransi Maximus Graha Persada,19.0,19.0,19.0,19.0,15204500
2026-04-30,ASMI,Asuransi Maximus Graha Persada,19.0,19.0,19.0,19.0,5534100
2026-05-01,ASMI,Asuransi Maximus Graha Persada,,,,,
2026-05-04,ASMI,Asuransi Maximus Graha Persada,18.0,19.0,18.0,19.0,5347900
2026-05-05,ASMI,Asuransi Maximus Graha Persada,19.0,19.0,18.0,19.0,1772500
2026-05-06,ASMI,Asuransi Maximus Graha Persada,18.0,19.0,18.0,18.0,3850200
2026-05-07,ASMI,Asuransi Maximus Graha Persada,18.0,18.0,18.0,18.0,2666000
2026-05-08,ASMI,Asuransi Maximus Graha Persada,18.0,18.0,18.0,18.0,4927300
