date,kode,nama,open,high,low,close,volume
2026-01-22,ASRM,Asuransi Ramayana Tbk.,326.0,340.0,326.0,336.0,382100
2026-01-23,ASRM,Asuransi Ramayana Tbk.,336.0,336.0,314.0,322.0,615200
2026-01-26,ASRM,Asuransi Ramayana Tbk.,318.0,324.0,316.0,322.0,101700
2026-01-27,ASRM,Asuransi Ramayana Tbk.,322.0,322.0,318.0,318.0,32100
2026-01-28,ASRM,Asuransi Ramayana Tbk.,318.0,318.0,290.0,294.0,224100
2026-01-29,ASRM,Asuransi Ramayana Tbk.,292.0,300.0,256.0,296.0,107400
2026-01-30,ASRM,Asuransi Ramayana Tbk.,300.0,310.0,292.0,310.0,63900
2026-02-02,ASRM,Asuransi Ramayana Tbk.,310.0,310.0,296.0,302.0,14200
2026-02-03,ASRM,Asuransi Ramayana Tbk.,300.0,302.0,286.0,300.0,113400
2026-02-04,ASRM,Asuransi Ramayana Tbk.,290.0,300.0,288.0,298.0,5600
2026-02-05,ASRM,Asuransi Ramayana Tbk.,300.0,306.0,292.0,298.0,28100
2026-02-06,ASRM,Asuransi Ramayana Tbk.,294.0,302.0,294.0,300.0,35500
2026-02-09,ASRM,Asuransi Ramayana Tbk.,300.0,300.0,288.0,288.0,55900
2026-02-10,ASRM,Asuransi Ramayana Tbk.,290.0,302.0,290.0,296.0,35500
2026-02-11,ASRM,Asuransi Ramayana Tbk.,298.0,302.0,296.0,300.0,60200
2026-02-12,ASRM,Asuransi Ramayana Tbk.,300.0,300.0,294.0,300.0,33300
2026-02-13,ASRM,Asuransi Ramayana Tbk.,298.0,300.0,296.0,300.0,11900
2026-02-18,ASRM,Asuransi Ramayana Tbk.,300.0,302.0,298.0,300.0,41000
2026-02-19,ASRM,Asuransi Ramayana Tbk.,300.0,312.0,292.0,306.0,122800
2026-02-20,ASRM,Asuransi Ramayana Tbk.,308.0,312.0,298.0,304.0,78300
2026-02-23,ASRM,Asuransi Ramayana Tbk.,302.0,308.0,302.0,304.0,20000
2026-02-24,ASRM,Asuransi Ramayana Tbk.,304.0,308.0,304.0,308.0,20800
2026-02-25,ASRM,Asuransi Ramayana Tbk.,308.0,310.0,306.0,308.0,23100
2026-02-26,ASRM,Asuransi Ramayana Tbk.,306.0,308.0,304.0,304.0,25900
2026-02-27,ASRM,Asuransi Ramayana Tbk.,304.0,308.0,302.0,308.0,11800
2026-03-02,ASRM,Asuransi Ramayana Tbk.,308.0,308.0,292.0,292.0,22800
2026-03-03,ASRM,Asuransi Ramayana Tbk.,298.0,304.0,296.0,296.0,15000
2026-03-04,ASRM,Asuransi Ramayana Tbk.,296.0,300.0,286.0,288.0,43500
2026-03-05,ASRM,Asuransi Ramayana Tbk.,300.0,300.0,286.0,288.0,20200
2026-03-06,ASRM,Asuransi Ramayana Tbk.,288.0,296.0,284.0,292.0,41400
2026-03-09,ASRM,Asuransi Ramayana Tbk.,252.0,300.0,250.0,280.0,82000
2026-03-10,ASRM,Asuransi Ramayana Tbk.,282.0,288.0,282.0,288.0,6900
