date,kode,nama,open,high,low,close,volume
2026-01-22,BABP,Bank MNC Internasional Tbk.,63.0,65.0,63.0,64.0,30458200
2026-01-23,BABP,Bank MNC Internasional Tbk.,64.0,64.0,62.0,64.0,34739200
2026-01-26,BABP,Bank MNC Internasional Tbk.,64.0,64.0,62.0,62.0,21064500
2026-01-27,BABP,Bank MNC Internasional Tbk.,63.0,65.0,60.0,63.0,51188100
2026-01-28,BABP,Bank MNC Internasional Tbk.,63.0,65.0,56.0,58.0,67348300
2026-01-29,BABP,Bank MNC Internasional Tbk.,56.0,61.0,50.0,60.0,68748900
2026-01-30,BABP,Bank MNC Internasional Tbk.,60.0,61.0,58.0,59.0,16848200
2026-02-02,BABP,Bank MNC Internasional Tbk.,59.0,60.0,56.0,56.0,19159900
2026-02-03,BABP,Bank MNC Internasional Tbk.,54.0,60.0,53.0,59.0,23407600
2026-02-04,BABP,Bank MNC Internasional Tbk.,60.0,60.0,57.0,58.0,15808800
2026-02-05,BABP,Bank MNC Internasional Tbk.,58.0,59.0,56.0,58.0,13402400
2026-02-06,BABP,Bank MNC Internasional Tbk.,58.0,58.0,55.0,56.0,16507100
2026-02-09,BABP,Bank MNC Internasional Tbk.,56.0,57.0,56.0,57.0,4561600
2026-02-10,BABP,Bank MNC Internasional Tbk.,57.0,59.0,55.0,58.0,20232400
2026-02-11,BABP,Bank MNC Internasional Tbk.,58.0,61.0,56.0,59.0,39361900
2026-02-12,BABP,Bank MNC Internasional Tbk.,60.0,60.0,58.0,58.0,13605700
2026-02-13,BABP,Bank MNC Internasional Tbk.,58.0,59.0,57.0,57.0,5801900
2026-02-18,BABP,Bank MNC Internasional Tbk.,58.0,59.0,57.0,58.0,8684200
2026-02-19,BABP,Bank MNC Internasional Tbk.,57.0,58.0,57.0,58.0,6073000
2026-02-20,BABP,Bank MNC Internasional Tbk.,58.0,58.0,57.0,57.0,7015100
2026-02-23,BABP,Bank MNC Internasional Tbk.,58.0,58.0,57.0,58.0,8783600
2026-02-24,BABP,Bank MNC Internasional Tbk.,58.0,58.0,56.0,56.0,10354900
2026-02-25,BABP,Bank MNC Internasional Tbk.,56.0,57.0,55.0,56.0,9690000
2026-02-26,BABP,Bank MNC Internasional Tbk.,56.0,59.0,55.0,57.0,33845600
2026-02-27,BABP,Bank MNC Internasional Tbk.,57.0,58.0,55.0,57.0,12047800
2026-03-02,BABP,Bank MNC Internasional Tbk.,54.0,55.0,53.0,53.0,35355300
2026-03-03,BABP,Bank MNC Internasional Tbk.,53.0,55.0,53.0,54.0,13563400
2026-03-04,BABP,Bank MNC Internasional Tbk.,54.0,54.0,51.0,52.0,44532500
2026-03-05,BABP,Bank MNC Internasional Tbk.,52.0,54.0,52.0,53.0,13210400
2026-03-06,BABP,Bank MNC Internasional Tbk.,53.0,53.0,51.0,52.0,9758900
2026-03-09,BABP,Bank MNC Internasional Tbk.,52.0,52.0,50.0,51.0,26088200
2026-03-10,BABP,Bank MNC Internasional Tbk.,51.0,52.0,50.0,52.0,6934100
2026-03-11,BABP,Bank MNC Internasional Tbk.,52.0,52.0,50.0,51.0,58290400
2026-03-12,BABP,Bank MNC Internasional Tbk.,50.0,52.0,50.0,51.0,34924100
2026-03-13,BABP,Bank MNC Internasional Tbk.,51.0,51.0,50.0,,8069300
2026-03-16,BABP,Bank MNC Internasional Tbk.,51.0,51.0,50.0,,25895300
2026-03-17,BABP,Bank MNC Internasional Tbk.,50.0,51.0,50.0,,3876400
2026-03-25,BABP,Bank MNC Internasional Tbk.,50.0,51.0,50.0,51.0,8035600
2026-03-26,BABP,Bank MNC Internasional Tbk.,51.0,51.0,50.0,,19220600
2026-03-27,BABP,Bank MNC Internasional Tbk.,51.0,51.0,50.0,51.0,4701100
2026-03-30,BABP,Bank MNC Internasional Tbk.,51.0,51.0,50.0,51.0,6695000
2026-03-31,BABP,Bank MNC Internasional Tbk.,51.0,51.0,50.0,51.0,7157400
2026-04-01,BABP,Bank MNC Internasional Tbk.,50.0,51.0,50.0,51.0,11393900
2026-04-02,BABP,Bank MNC Internasional Tbk.,51.0,54.0,50.0,52.0,115757200
2026-04-06,BABP,Bank MNC Internasional Tbk.,53.0,53.0,51.0,52.0,18747300
2026-04-07,BABP,Bank MNC Internasional Tbk.,52.0,52.0,50.0,51.0,19751200
2026-04-08,BABP,Bank MNC Internasional Tbk.,51.0,52.0,50.0,51.0,21719900
2026-04-09,BABP,Bank MNC Internasional Tbk.,51.0,53.0,50.0,51.0,63815700
2026-04-10,BABP,Bank MNC Internasional Tbk.,51.0,52.0,51.0,52.0,10989700
2026-04-13,BABP,Bank MNC Internasional Tbk.,52.0,53.0,51.0,51.0,19869000
2026-04-14,BABP,Bank MNC Internasional Tbk.,52.0,53.0,51.0,53.0,17068900
2026-04-15,BABP,Bank MNC Internasional Tbk.,52.0,56.0,52.0,54.0,85032600
2026-04-16,BABP,Bank MNC Internasional Tbk.,55.0,56.0,53.0,55.0,19503100
2026-04-17,BABP,Bank MNC Internasional Tbk.,55.0,55.0,54.0,55.0,9845400
2026-04-20,BABP,Bank MNC Internasional Tbk.,55.0,55.0,54.0,54.0,9981600
