date,kode,nama,open,high,low,close,volume
2026-01-22,BACA,Bank Capital Indonesia Tbk.,200.0,202.0,185.0,187.0,29953100
2026-01-23,BACA,Bank Capital Indonesia Tbk.,187.0,190.0,175.0,184.0,17243600
2026-01-26,BACA,Bank Capital Indonesia Tbk.,184.0,193.0,180.0,181.0,9584900
2026-01-27,BACA,Bank Capital Indonesia Tbk.,183.0,192.0,181.0,188.0,7249700
2026-01-28,BACA,Bank Capital Indonesia Tbk.,188.0,188.0,162.0,168.0,21139000
2026-01-29,BACA,Bank Capital Indonesia Tbk.,166.0,170.0,143.0,168.0,19273100
2026-01-30,BACA,Bank Capital Indonesia Tbk.,170.0,175.0,168.0,172.0,5029300
2026-02-02,BACA,Bank Capital Indonesia Tbk.,175.0,176.0,162.0,164.0,5232700
2026-02-03,BACA,Bank Capital Indonesia Tbk.,178.0,178.0,166.0,170.0,5142000
2026-02-04,BACA,Bank Capital Indonesia Tbk.,172.0,174.0,168.0,170.0,1570200
2026-02-05,BACA,Bank Capital Indonesia Tbk.,170.0,173.0,168.0,169.0,3586400
2026-02-06,BACA,Bank Capital Indonesia Tbk.,167.0,169.0,158.0,159.0,6340000
2026-02-09,BACA,Bank Capital Indonesia Tbk.,160.0,161.0,156.0,159.0,2832600
2026-02-10,BACA,Bank Capital Indonesia Tbk.,160.0,164.0,159.0,159.0,3660200
2026-02-11,BACA,Bank Capital Indonesia Tbk.,159.0,167.0,159.0,164.0,4799400
2026-02-12,BACA,Bank Capital Indonesia Tbk.,164.0,166.0,159.0,163.0,4496700
2026-02-13,BACA,Bank Capital Indonesia Tbk.,162.0,162.0,155.0,161.0,3838400
2026-02-18,BACA,Bank Capital Indonesia Tbk.,161.0,168.0,157.0,164.0,5560200
2026-02-19,BACA,Bank Capital Indonesia Tbk.,164.0,164.0,159.0,161.0,7077200
2026-02-20,BACA,Bank Capital Indonesia Tbk.,161.0,163.0,158.0,160.0,4699400
2026-02-23,BACA,Bank Capital Indonesia Tbk.,160.0,163.0,159.0,160.0,2153300
2026-02-24,BACA,Bank Capital Indonesia Tbk.,162.0,163.0,158.0,158.0,3451000
2026-02-25,BACA,Bank Capital Indonesia Tbk.,160.0,160.0,158.0,160.0,1833400
2026-02-26,BACA,Bank Capital Indonesia Tbk.,159.0,160.0,156.0,156.0,1972800
2026-02-27,BACA,Bank Capital Indonesia Tbk.,156.0,156.0,153.0,156.0,1415100
2026-03-02,BACA,Bank Capital Indonesia Tbk.,152.0,155.0,148.0,149.0,5222200
2026-03-03,BACA,Bank Capital Indonesia Tbk.,149.0,154.0,148.0,148.0,2813000
2026-03-04,BACA,Bank Capital Indonesia Tbk.,148.0,158.0,141.0,142.0,4364300
2026-03-05,BACA,Bank Capital Indonesia Tbk.,143.0,148.0,143.0,148.0,1328300
2026-03-06,BACA,Bank Capital Indonesia Tbk.,148.0,150.0,140.0,143.0,1503500
2026-03-09,BACA,Bank Capital Indonesia Tbk.,141.0,141.0,130.0,135.0,5833800
2026-03-10,BACA,Bank Capital Indonesia Tbk.,136.0,139.0,131.0,137.0,1192700
2026-03-11,BACA,Bank Capital Indonesia Tbk.,138.0,138.0,134.0,137.0,777900
2026-03-12,BACA,Bank Capital Indonesia Tbk.,136.0,140.0,132.0,137.0,2400200
2026-03-13,BACA,Bank Capital Indonesia Tbk.,137.0,137.0,131.0,,1781600
