date,kode,nama,open,high,low,close,volume
2026-01-22,BBCA,Bank Central Asia Tbk.,7700.0,7775.0,7600.0,7650.0,268025900
2026-01-23,BBCA,Bank Central Asia Tbk.,7600.0,7675.0,7550.0,7650.0,202878600
2026-01-26,BBCA,Bank Central Asia Tbk.,7550.0,7675.0,7525.0,7650.0,213044100
2026-01-27,BBCA,Bank Central Asia Tbk.,7575.0,7625.0,7500.0,7500.0,259830900
2026-01-28,BBCA,Bank Central Asia Tbk.,7050.0,7400.0,6925.0,7025.0,1027287500
2026-01-29,BBCA,Bank Central Asia Tbk.,6675.0,7275.0,6375.0,7200.0,1432993400
2026-01-30,BBCA,Bank Central Asia Tbk.,7200.0,7600.0,7200.0,7400.0,528434900
2026-02-02,BBCA,Bank Central Asia Tbk.,7600.0,7600.0,7325.0,7600.0,326948700
2026-02-03,BBCA,Bank Central Asia Tbk.,7200.0,7650.0,7375.0,7650.0,206015400
2026-02-04,BBCA,Bank Central Asia Tbk.,7650.0,7825.0,7600.0,7800.0,193370800
2026-02-05,BBCA,Bank Central Asia Tbk.,7800.0,7925.0,7800.0,7800.0,142332400
2026-02-06,BBCA,Bank Central Asia Tbk.,7700.0,7775.0,7600.0,7675.0,176352600
