date,kode,nama,open,high,low,close,volume
2026-01-22,BBHI,Allo Bank Indonesia Tbk.,1485.0,1495.0,1475.0,1475.0,694100
2026-01-23,BBHI,Allo Bank Indonesia Tbk.,1475.0,1480.0,1295.0,1455.0,2844400
2026-01-26,BBHI,Allo Bank Indonesia Tbk.,1455.0,1460.0,1420.0,1420.0,383400
2026-01-27,BBHI,Allo Bank Indonesia Tbk.,1420.0,1430.0,1385.0,1420.0,818100
2026-01-28,BBHI,Allo Bank Indonesia Tbk.,1405.0,1405.0,1300.0,1330.0,1595600
2026-01-29,BBHI,Allo Bank Indonesia Tbk.,1330.0,1340.0,1135.0,1275.0,2066300
2026-01-30,BBHI,Allo Bank Indonesia Tbk.,1275.0,1480.0,1275.0,1475.0,1184100
2026-02-02,BBHI,Allo Bank Indonesia Tbk.,1490.0,1490.0,1350.0,1370.0,1125600
2026-02-03,BBHI,Allo Bank Indonesia Tbk.,1370.0,1450.0,1370.0,1430.0,736500
2026-02-04,BBHI,Allo Bank Indonesia Tbk.,1430.0,1450.0,1390.0,1425.0,324600
2026-02-05,BBHI,Allo Bank Indonesia Tbk.,1425.0,1440.0,1420.0,1440.0,301500
2026-02-06,BBHI,Allo Bank Indonesia Tbk.,1430.0,1440.0,1415.0,1430.0,311900
2026-02-09,BBHI,Allo Bank Indonesia Tbk.,1430.0,1435.0,1410.0,1420.0,398300
2026-02-10,BBHI,Allo Bank Indonesia Tbk.,1415.0,1435.0,1410.0,1415.0,647900
2026-02-11,BBHI,Allo Bank Indonesia Tbk.,1420.0,1445.0,1405.0,1405.0,538300
2026-02-12,BBHI,Allo Bank Indonesia Tbk.,1410.0,1425.0,1385.0,1385.0,553500
2026-02-13,BBHI,Allo Bank Indonesia Tbk.,1390.0,1440.0,1380.0,1380.0,475400
2026-02-18,BBHI,Allo Bank Indonesia Tbk.,1385.0,1415.0,1385.0,1405.0,294200
2026-02-19,BBHI,Allo Bank Indonesia Tbk.,1415.0,1415.0,1380.0,1390.0,127700
2026-02-20,BBHI,Allo Bank Indonesia Tbk.,1400.0,1420.0,1390.0,1390.0,693600
2026-02-23,BBHI,Allo Bank Indonesia Tbk.,1415.0,1425.0,1385.0,1405.0,555600
2026-02-24,BBHI,Allo Bank Indonesia Tbk.,1410.0,1440.0,1395.0,1420.0,1061000
2026-02-25,BBHI,Allo Bank Indonesia Tbk.,1445.0,1445.0,1380.0,1395.0,828400
2026-02-26,BBHI,Allo Bank Indonesia Tbk.,1395.0,1420.0,1355.0,1380.0,371400
2026-02-27,BBHI,Allo Bank Indonesia Tbk.,1380.0,1425.0,1365.0,1425.0,538300
2026-03-02,BBHI,Allo Bank Indonesia Tbk.,1400.0,1400.0,1260.0,1365.0,516500
2026-03-03,BBHI,Allo Bank Indonesia Tbk.,1370.0,1395.0,1370.0,1385.0,597800
2026-03-04,BBHI,Allo Bank Indonesia Tbk.,1385.0,1385.0,1350.0,1355.0,256800
2026-03-05,BBHI,Allo Bank Indonesia Tbk.,1360.0,1380.0,1355.0,1365.0,98900
2026-03-06,BBHI,Allo Bank Indonesia Tbk.,1365.0,1380.0,1345.0,1350.0,242700
2026-03-09,BBHI,Allo Bank Indonesia Tbk.,1350.0,1355.0,1205.0,1330.0,388100
2026-03-10,BBHI,Allo Bank Indonesia Tbk.,1330.0,1350.0,1330.0,1340.0,167800
2026-03-11,BBHI,Allo Bank Indonesia Tbk.,1340.0,1375.0,1330.0,1340.0,259000
2026-03-12,BBHI,Allo Bank Indonesia Tbk.,1340.0,1370.0,1300.0,1330.0,432800
2026-03-13,BBHI,Allo Bank Indonesia Tbk.,1330.0,1330.0,1205.0,,363300
2026-03-16,BBHI,Allo Bank Indonesia Tbk.,1240.0,1290.0,1200.0,,469600
2026-03-17,BBHI,Allo Bank Indonesia Tbk.,1285.0,1295.0,1265.0,,535100
2026-03-25,BBHI,Allo Bank Indonesia Tbk.,1275.0,1325.0,1270.0,1285.0,211000
2026-03-26,BBHI,Allo Bank Indonesia Tbk.,1325.0,1350.0,1300.0,,312800
2026-03-27,BBHI,Allo Bank Indonesia Tbk.,1345.0,1375.0,1345.0,1350.0,555300
2026-03-30,BBHI,Allo Bank Indonesia Tbk.,1350.0,1375.0,1280.0,1350.0,259700
2026-03-31,BBHI,Allo Bank Indonesia Tbk.,1350.0,1350.0,1270.0,1335.0,439200
2026-04-01,BBHI,Allo Bank Indonesia Tbk.,1325.0,1350.0,1280.0,1320.0,195500
2026-04-02,BBHI,Allo Bank Indonesia Tbk.,1325.0,1325.0,1290.0,1300.0,906200
2026-04-06,BBHI,Allo Bank Indonesia Tbk.,1325.0,1325.0,1260.0,1300.0,272100
2026-04-07,BBHI,Allo Bank Indonesia Tbk.,1295.0,1300.0,1280.0,1290.0,350000
2026-04-08,BBHI,Allo Bank Indonesia Tbk.,1295.0,1335.0,1295.0,1330.0,75500
2026-04-09,BBHI,Allo Bank Indonesia Tbk.,1320.0,1325.0,1315.0,1315.0,68900
2026-04-10,BBHI,Allo Bank Indonesia Tbk.,1315.0,1350.0,1300.0,1300.0,842600
2026-04-13,BBHI,Allo Bank Indonesia Tbk.,1300.0,1310.0,1280.0,1295.0,760400
2026-04-14,BBHI,Allo Bank Indonesia Tbk.,1295.0,1300.0,1290.0,1290.0,940600
2026-04-15,BBHI,Allo Bank Indonesia Tbk.,1290.0,1300.0,1280.0,1295.0,271600
2026-04-16,BBHI,Allo Bank Indonesia Tbk.,1295.0,1330.0,1295.0,1300.0,831300
2026-04-17,BBHI,Allo Bank Indonesia Tbk.,1285.0,1310.0,1285.0,1295.0,907900
2026-04-20,BBHI,Allo Bank Indonesia Tbk.,1295.0,1300.0,1285.0,1295.0,277400
2026-04-21,BBHI,Allo Bank Indonesia Tbk.,1295.0,1300.0,1290.0,1290.0,714500
2026-04-22,BBHI,Allo Bank Indonesia Tbk.,1290.0,1305.0,1290.0,1295.0,745000
2026-04-23,BBHI,Allo Bank Indonesia Tbk.,1295.0,1300.0,1285.0,1295.0,747200
2026-04-24,BBHI,Allo Bank Indonesia Tbk.,1295.0,1305.0,1285.0,1285.0,318600
2026-04-27,BBHI,Allo Bank Indonesia Tbk.,1275.0,1285.0,1260.0,1265.0,145100
2026-04-28,BBHI,Allo Bank Indonesia Tbk.,1265.0,1270.0,1255.0,1255.0,320800
2026-04-29,BBHI,Allo Bank Indonesia Tbk.,1255.0,1270.0,1255.0,1265.0,429300
2026-04-30,BBHI,Allo Bank Indonesia Tbk.,1265.0,1280.0,1245.0,1280.0,184100
2026-05-01,BBHI,Allo Bank Indonesia Tbk.,,,,,
2026-05-04,BBHI,Allo Bank Indonesia Tbk.,1275.0,1275.0,1240.0,1240.0,70600
2026-05-05,BBHI,Allo Bank Indonesia Tbk.,1240.0,1250.0,1205.0,1225.0,74000
2026-05-06,BBHI,Allo Bank Indonesia Tbk.,1220.0,1225.0,1200.0,1205.0,98100
2026-05-07,BBHI,Allo Bank Indonesia Tbk.,1205.0,1205.0,1140.0,1160.0,379000
2026-05-08,BBHI,Allo Bank Indonesia Tbk.,1225.0,1225.0,1100.0,1140.0,322700
2026-05-11,BBHI,Allo Bank Indonesia Tbk.,1185.0,1185.0,1005.0,1050.0,295000
2026-05-12,BBHI,Allo Bank Indonesia Tbk.,1050.0,1075.0,1025.0,1030.0,116800
2026-05-13,BBHI,Allo Bank Indonesia Tbk.,1030.0,1075.0,1025.0,1030.0,55700
2026-05-14,BBHI,Allo Bank Indonesia Tbk.,,,,,
2026-05-15,BBHI,Allo Bank Indonesia Tbk.,,,,,
