date,kode,nama,open,high,low,close,volume
2026-01-22,BBLD,Buana Finance Tbk.,910.0,910.0,900.0,910.0,20900
2026-01-23,BBLD,Buana Finance Tbk.,910.0,910.0,910.0,910.0,0
2026-01-26,BBLD,Buana Finance Tbk.,910.0,910.0,905.0,905.0,11400
2026-01-27,BBLD,Buana Finance Tbk.,905.0,905.0,900.0,900.0,1600
2026-01-28,BBLD,Buana Finance Tbk.,875.0,885.0,825.0,870.0,55300
2026-01-29,BBLD,Buana Finance Tbk.,855.0,870.0,810.0,850.0,64400
2026-01-30,BBLD,Buana Finance Tbk.,810.0,910.0,810.0,870.0,2100
2026-02-02,BBLD,Buana Finance Tbk.,890.0,905.0,840.0,840.0,9300
2026-02-03,BBLD,Buana Finance Tbk.,815.0,890.0,815.0,890.0,9700
2026-02-04,BBLD,Buana Finance Tbk.,890.0,940.0,890.0,915.0,16900
2026-02-05,BBLD,Buana Finance Tbk.,880.0,910.0,880.0,910.0,400
2026-02-06,BBLD,Buana Finance Tbk.,880.0,900.0,880.0,900.0,200
2026-02-09,BBLD,Buana Finance Tbk.,895.0,910.0,890.0,895.0,7900
2026-02-10,BBLD,Buana Finance Tbk.,870.0,905.0,870.0,905.0,200
2026-02-11,BBLD,Buana Finance Tbk.,915.0,915.0,865.0,890.0,22000
2026-02-12,BBLD,Buana Finance Tbk.,900.0,935.0,890.0,925.0,19100
2026-02-13,BBLD,Buana Finance Tbk.,925.0,925.0,925.0,925.0,100
2026-02-18,BBLD,Buana Finance Tbk.,925.0,925.0,850.0,880.0,5800
2026-02-19,BBLD,Buana Finance Tbk.,880.0,920.0,880.0,890.0,5100
2026-02-20,BBLD,Buana Finance Tbk.,890.0,890.0,890.0,890.0,400
2026-02-23,BBLD,Buana Finance Tbk.,855.0,870.0,850.0,870.0,22400
2026-02-24,BBLD,Buana Finance Tbk.,870.0,900.0,870.0,900.0,3500
