date,kode,nama,open,high,low,close,volume
2026-01-22,BBSI,Krom Bank Indonesia Tbk.,3900.0,4000.0,3820.0,3930.0,29400
2026-01-23,BBSI,Krom Bank Indonesia Tbk.,3930.0,4000.0,3750.0,3750.0,37700
2026-01-26,BBSI,Krom Bank Indonesia Tbk.,3750.0,3950.0,3350.0,3880.0,138100
2026-01-27,BBSI,Krom Bank Indonesia Tbk.,3870.0,3960.0,3600.0,3720.0,95700
2026-01-28,BBSI,Krom Bank Indonesia Tbk.,3640.0,3950.0,3630.0,3950.0,67300
2026-01-29,BBSI,Krom Bank Indonesia Tbk.,3950.0,4010.0,3920.0,4010.0,75600
2026-01-30,BBSI,Krom Bank Indonesia Tbk.,4010.0,4050.0,3940.0,4030.0,61100
2026-02-02,BBSI,Krom Bank Indonesia Tbk.,4030.0,4050.0,3980.0,4030.0,38300
2026-02-03,BBSI,Krom Bank Indonesia Tbk.,4010.0,4030.0,3930.0,4000.0,54100
2026-02-04,BBSI,Krom Bank Indonesia Tbk.,4000.0,4020.0,3900.0,4000.0,34000
2026-02-05,BBSI,Krom Bank Indonesia Tbk.,4010.0,4020.0,3970.0,4000.0,41400
2026-02-06,BBSI,Krom Bank Indonesia Tbk.,4010.0,4060.0,3970.0,4060.0,32000
2026-02-09,BBSI,Krom Bank Indonesia Tbk.,4080.0,4160.0,4020.0,4160.0,67500
2026-02-10,BBSI,Krom Bank Indonesia Tbk.,4180.0,4180.0,3900.0,4180.0,46400
2026-02-11,BBSI,Krom Bank Indonesia Tbk.,4190.0,4200.0,4020.0,4150.0,42300
2026-02-12,BBSI,Krom Bank Indonesia Tbk.,4150.0,4180.0,4000.0,4180.0,11700
2026-02-13,BBSI,Krom Bank Indonesia Tbk.,4170.0,4190.0,4100.0,4100.0,17200
2026-02-18,BBSI,Krom Bank Indonesia Tbk.,4110.0,4190.0,4070.0,4180.0,17500
2026-02-19,BBSI,Krom Bank Indonesia Tbk.,4100.0,4170.0,4100.0,4170.0,34900
2026-02-20,BBSI,Krom Bank Indonesia Tbk.,4100.0,4160.0,4100.0,4140.0,33300
2026-02-23,BBSI,Krom Bank Indonesia Tbk.,4180.0,4190.0,4100.0,4190.0,8100
2026-02-24,BBSI,Krom Bank Indonesia Tbk.,4110.0,4190.0,4110.0,4180.0,14300
2026-02-25,BBSI,Krom Bank Indonesia Tbk.,4110.0,4200.0,4110.0,4200.0,7000
2026-02-26,BBSI,Krom Bank Indonesia Tbk.,4200.0,4300.0,4110.0,4240.0,55000
2026-02-27,BBSI,Krom Bank Indonesia Tbk.,4240.0,4330.0,4100.0,4210.0,36000
2026-03-02,BBSI,Krom Bank Indonesia Tbk.,4300.0,5175.0,4150.0,5000.0,213300
2026-03-03,BBSI,Krom Bank Indonesia Tbk.,4760.0,4980.0,4450.0,4780.0,81200
