date,kode,nama,open,high,low,close,volume
2026-01-22,BBTN,Bank Tabungan Negara (Persero),1215.0,1235.0,1215.0,1230.0,36345400
2026-01-23,BBTN,Bank Tabungan Negara (Persero),1230.0,1240.0,1205.0,1230.0,33558600
2026-01-26,BBTN,Bank Tabungan Negara (Persero),1230.0,1235.0,1210.0,1230.0,31539600
2026-01-27,BBTN,Bank Tabungan Negara (Persero),1240.0,1255.0,1235.0,1245.0,62334100
2026-01-28,BBTN,Bank Tabungan Negara (Persero),1230.0,1245.0,1165.0,1195.0,80973700
2026-01-29,BBTN,Bank Tabungan Negara (Persero),1185.0,1205.0,1075.0,1180.0,73582900
2026-01-30,BBTN,Bank Tabungan Negara (Persero),1185.0,1245.0,1185.0,1230.0,56374000
2026-02-02,BBTN,Bank Tabungan Negara (Persero),1250.0,1260.0,1195.0,1220.0,49149700
2026-02-03,BBTN,Bank Tabungan Negara (Persero),1220.0,1235.0,1175.0,1225.0,32456800
2026-02-04,BBTN,Bank Tabungan Negara (Persero),1225.0,1350.0,1220.0,1340.0,181059100
2026-02-05,BBTN,Bank Tabungan Negara (Persero),1340.0,1345.0,1305.0,1320.0,83713300
2026-02-06,BBTN,Bank Tabungan Negara (Persero),1280.0,1310.0,1270.0,1280.0,67283700
2026-02-09,BBTN,Bank Tabungan Negara (Persero),1300.0,1300.0,1245.0,1255.0,59703000
2026-02-10,BBTN,Bank Tabungan Negara (Persero),1265.0,1310.0,1265.0,1295.0,58724300
2026-02-11,BBTN,Bank Tabungan Negara (Persero),1310.0,1345.0,1310.0,1345.0,89168600
2026-02-12,BBTN,Bank Tabungan Negara (Persero),1345.0,1380.0,1340.0,1360.0,78711600
2026-02-13,BBTN,Bank Tabungan Negara (Persero),1360.0,1390.0,1350.0,1365.0,50873600
2026-02-18,BBTN,Bank Tabungan Negara (Persero),1365.0,1400.0,1355.0,1390.0,40446100
