date,kode,nama,open,high,low,close,volume
2026-01-22,BBYB,Bank Neo Commerce Tbk.,476.0,482.0,462.0,462.0,87535900
2026-01-23,BBYB,Bank Neo Commerce Tbk.,464.0,468.0,432.0,440.0,120781100
2026-01-26,BBYB,Bank Neo Commerce Tbk.,440.0,456.0,428.0,428.0,74666700
2026-01-27,BBYB,Bank Neo Commerce Tbk.,428.0,438.0,406.0,428.0,84619900
2026-01-28,BBYB,Bank Neo Commerce Tbk.,420.0,424.0,384.0,400.0,115465900
2026-01-29,BBYB,Bank Neo Commerce Tbk.,402.0,404.0,340.0,392.0,138412100
2026-01-30,BBYB,Bank Neo Commerce Tbk.,396.0,416.0,388.0,392.0,96965200
2026-02-02,BBYB,Bank Neo Commerce Tbk.,400.0,400.0,354.0,362.0,81624400
2026-02-03,BBYB,Bank Neo Commerce Tbk.,364.0,386.0,348.0,384.0,59192400
2026-02-04,BBYB,Bank Neo Commerce Tbk.,384.0,394.0,378.0,390.0,38264400
2026-02-05,BBYB,Bank Neo Commerce Tbk.,392.0,406.0,382.0,384.0,82296500
2026-02-06,BBYB,Bank Neo Commerce Tbk.,374.0,380.0,366.0,370.0,51757000
2026-02-09,BBYB,Bank Neo Commerce Tbk.,370.0,376.0,356.0,362.0,77414200
2026-02-10,BBYB,Bank Neo Commerce Tbk.,362.0,378.0,362.0,378.0,37087100
2026-02-11,BBYB,Bank Neo Commerce Tbk.,382.0,386.0,374.0,384.0,50650200
2026-02-12,BBYB,Bank Neo Commerce Tbk.,388.0,388.0,356.0,376.0,86444400
2026-02-13,BBYB,Bank Neo Commerce Tbk.,370.0,378.0,368.0,374.0,25890700
2026-02-18,BBYB,Bank Neo Commerce Tbk.,376.0,392.0,374.0,392.0,52477500
2026-02-19,BBYB,Bank Neo Commerce Tbk.,396.0,400.0,386.0,388.0,54787200
