date,kode,nama,open,high,low,close,volume
2026-01-22,BCAP,MNC Kapital Indonesia Tbk.,62.0,63.0,61.0,63.0,18547500
2026-01-23,BCAP,MNC Kapital Indonesia Tbk.,63.0,63.0,59.0,61.0,35366200
2026-01-26,BCAP,MNC Kapital Indonesia Tbk.,61.0,61.0,57.0,58.0,51248900
2026-01-27,BCAP,MNC Kapital Indonesia Tbk.,58.0,59.0,57.0,58.0,26380600
2026-01-28,BCAP,MNC Kapital Indonesia Tbk.,57.0,58.0,53.0,54.0,63143800
2026-01-29,BCAP,MNC Kapital Indonesia Tbk.,54.0,56.0,51.0,55.0,63556800
2026-01-30,BCAP,MNC Kapital Indonesia Tbk.,55.0,57.0,53.0,55.0,28445600
2026-02-02,BCAP,MNC Kapital Indonesia Tbk.,55.0,55.0,52.0,53.0,51218600
2026-02-03,BCAP,MNC Kapital Indonesia Tbk.,54.0,54.0,52.0,54.0,12959000
2026-02-04,BCAP,MNC Kapital Indonesia Tbk.,54.0,54.0,53.0,54.0,7930400
2026-02-05,BCAP,MNC Kapital Indonesia Tbk.,53.0,55.0,53.0,54.0,15345500
2026-02-06,BCAP,MNC Kapital Indonesia Tbk.,54.0,54.0,53.0,53.0,10209600
2026-02-09,BCAP,MNC Kapital Indonesia Tbk.,53.0,54.0,52.0,53.0,9221500
2026-02-10,BCAP,MNC Kapital Indonesia Tbk.,53.0,54.0,53.0,53.0,20319200
2026-02-11,BCAP,MNC Kapital Indonesia Tbk.,53.0,55.0,53.0,54.0,21717100
2026-02-12,BCAP,MNC Kapital Indonesia Tbk.,55.0,55.0,53.0,53.0,11251600
2026-02-13,BCAP,MNC Kapital Indonesia Tbk.,53.0,55.0,53.0,54.0,23968700
2026-02-18,BCAP,MNC Kapital Indonesia Tbk.,55.0,55.0,54.0,54.0,10721800
2026-02-19,BCAP,MNC Kapital Indonesia Tbk.,54.0,55.0,53.0,54.0,10688300
2026-02-20,BCAP,MNC Kapital Indonesia Tbk.,54.0,55.0,54.0,54.0,7997100
2026-02-23,BCAP,MNC Kapital Indonesia Tbk.,54.0,55.0,53.0,54.0,10073200
2026-02-24,BCAP,MNC Kapital Indonesia Tbk.,55.0,55.0,53.0,53.0,12062800
2026-02-25,BCAP,MNC Kapital Indonesia Tbk.,54.0,54.0,52.0,54.0,40986600
2026-02-26,BCAP,MNC Kapital Indonesia Tbk.,54.0,57.0,53.0,54.0,99924200
2026-02-27,BCAP,MNC Kapital Indonesia Tbk.,55.0,55.0,53.0,54.0,49240700
2026-03-02,BCAP,MNC Kapital Indonesia Tbk.,52.0,53.0,51.0,52.0,45909100
2026-03-03,BCAP,MNC Kapital Indonesia Tbk.,52.0,53.0,51.0,52.0,34305900
2026-03-04,BCAP,MNC Kapital Indonesia Tbk.,53.0,53.0,51.0,51.0,47277600
2026-03-05,BCAP,MNC Kapital Indonesia Tbk.,51.0,52.0,50.0,52.0,23605900
2026-03-06,BCAP,MNC Kapital Indonesia Tbk.,51.0,51.0,50.0,51.0,20833000
2026-03-09,BCAP,MNC Kapital Indonesia Tbk.,50.0,51.0,50.0,50.0,50235600
2026-03-10,BCAP,MNC Kapital Indonesia Tbk.,50.0,51.0,50.0,50.0,26039100
2026-03-11,BCAP,MNC Kapital Indonesia Tbk.,50.0,51.0,50.0,51.0,21835900
2026-03-12,BCAP,MNC Kapital Indonesia Tbk.,51.0,51.0,50.0,50.0,8900700
2026-03-13,BCAP,MNC Kapital Indonesia Tbk.,50.0,51.0,50.0,,4155200
2026-03-16,BCAP,MNC Kapital Indonesia Tbk.,50.0,51.0,50.0,,7865400
2026-03-17,BCAP,MNC Kapital Indonesia Tbk.,50.0,51.0,50.0,,6949300
2026-03-25,BCAP,MNC Kapital Indonesia Tbk.,50.0,51.0,50.0,50.0,18013500
2026-03-26,BCAP,MNC Kapital Indonesia Tbk.,53.0,54.0,51.0,,26471100
2026-03-27,BCAP,MNC Kapital Indonesia Tbk.,51.0,53.0,51.0,52.0,12467300
2026-03-30,BCAP,MNC Kapital Indonesia Tbk.,51.0,52.0,51.0,52.0,4512600
2026-03-31,BCAP,MNC Kapital Indonesia Tbk.,52.0,52.0,51.0,51.0,4025300
2026-04-01,BCAP,MNC Kapital Indonesia Tbk.,51.0,52.0,51.0,51.0,7082800
2026-04-02,BCAP,MNC Kapital Indonesia Tbk.,51.0,54.0,51.0,52.0,53217300
2026-04-06,BCAP,MNC Kapital Indonesia Tbk.,53.0,53.0,52.0,53.0,12748400
2026-04-07,BCAP,MNC Kapital Indonesia Tbk.,53.0,53.0,51.0,51.0,16416500
2026-04-08,BCAP,MNC Kapital Indonesia Tbk.,52.0,52.0,51.0,52.0,7040500
2026-04-09,BCAP,MNC Kapital Indonesia Tbk.,51.0,55.0,51.0,52.0,33689300
2026-04-10,BCAP,MNC Kapital Indonesia Tbk.,52.0,55.0,52.0,52.0,40766300
2026-04-13,BCAP,MNC Kapital Indonesia Tbk.,52.0,54.0,52.0,53.0,20856700
2026-04-14,BCAP,MNC Kapital Indonesia Tbk.,53.0,54.0,52.0,53.0,14103700
2026-04-15,BCAP,MNC Kapital Indonesia Tbk.,53.0,56.0,53.0,54.0,56662300
2026-04-16,BCAP,MNC Kapital Indonesia Tbk.,54.0,55.0,53.0,54.0,20442500
2026-04-17,BCAP,MNC Kapital Indonesia Tbk.,54.0,56.0,53.0,54.0,17800000
2026-04-20,BCAP,MNC Kapital Indonesia Tbk.,54.0,54.0,53.0,53.0,18433900
2026-04-21,BCAP,MNC Kapital Indonesia Tbk.,53.0,54.0,53.0,53.0,12554000
2026-04-22,BCAP,MNC Kapital Indonesia Tbk.,53.0,54.0,53.0,54.0,10150100
2026-04-23,BCAP,MNC Kapital Indonesia Tbk.,54.0,60.0,53.0,59.0,311579400
2026-04-24,BCAP,MNC Kapital Indonesia Tbk.,59.0,59.0,52.0,53.0,103820400
2026-04-27,BCAP,MNC Kapital Indonesia Tbk.,53.0,54.0,52.0,53.0,29474300
2026-04-28,BCAP,MNC Kapital Indonesia Tbk.,54.0,54.0,52.0,52.0,20436100
2026-04-29,BCAP,MNC Kapital Indonesia Tbk.,53.0,54.0,52.0,54.0,45879900
2026-04-30,BCAP,MNC Kapital Indonesia Tbk.,54.0,54.0,51.0,52.0,29680300
2026-05-01,BCAP,MNC Kapital Indonesia Tbk.,,,,,
2026-05-04,BCAP,MNC Kapital Indonesia Tbk.,53.0,55.0,51.0,52.0,106608700
2026-05-05,BCAP,MNC Kapital Indonesia Tbk.,52.0,53.0,52.0,52.0,13896300
2026-05-06,BCAP,MNC Kapital Indonesia Tbk.,52.0,52.0,51.0,51.0,17428300
2026-05-07,BCAP,MNC Kapital Indonesia Tbk.,52.0,52.0,50.0,51.0,22652800
2026-05-08,BCAP,MNC Kapital Indonesia Tbk.,51.0,52.0,50.0,50.0,10829000
2026-05-11,BCAP,MNC Kapital Indonesia Tbk.,50.0,51.0,50.0,51.0,22907400
2026-05-12,BCAP,MNC Kapital Indonesia Tbk.,51.0,51.0,50.0,51.0,7244500
2026-05-13,BCAP,MNC Kapital Indonesia Tbk.,51.0,51.0,50.0,51.0,4765600
2026-05-14,BCAP,MNC Kapital Indonesia Tbk.,,,,,
2026-05-15,BCAP,MNC Kapital Indonesia Tbk.,,,,,
2026-05-18,BCAP,MNC Kapital Indonesia Tbk.,51.0,51.0,50.0,50.0,20810700
2026-05-19,BCAP,MNC Kapital Indonesia Tbk.,50.0,51.0,50.0,50.0,28538600
2026-05-20,BCAP,MNC Kapital Indonesia Tbk.,50.0,51.0,50.0,50.0,27486500
2026-05-21,BCAP,MNC Kapital Indonesia Tbk.,50.0,51.0,50.0,50.0,13686500
2026-05-22,BCAP,MNC Kapital Indonesia Tbk.,50.0,50.0,50.0,50.0,1914600
2026-05-25,BCAP,MNC Kapital Indonesia Tbk.,50.0,51.0,50.0,51.0,13994100
2026-05-26,BCAP,MNC Kapital Indonesia Tbk.,51.0,51.0,50.0,50.0,8345500
2026-05-27,BCAP,MNC Kapital Indonesia Tbk.,,,,,
2026-05-28,BCAP,MNC Kapital Indonesia Tbk.,,,,,
2026-05-29,BCAP,MNC Kapital Indonesia Tbk.,50.0,50.0,50.0,50.0,940400
2026-06-01,BCAP,MNC Kapital Indonesia Tbk.,,,,,
2026-06-02,BCAP,MNC Kapital Indonesia Tbk.,50.0,50.0,50.0,,4018300
2026-06-03,BCAP,MNC Kapital Indonesia Tbk.,50.0,50.0,50.0,,1992100
2026-06-04,BCAP,MNC Kapital Indonesia Tbk.,50.0,50.0,50.0,50.0,588200
2026-06-05,BCAP,MNC Kapital Indonesia Tbk.,50.0,50.0,50.0,50.0,464600
2026-06-08,BCAP,MNC Kapital Indonesia Tbk.,50.0,50.0,50.0,50.0,171500
2026-06-09,BCAP,MNC Kapital Indonesia Tbk.,50.0,50.0,50.0,50.0,794200
2026-06-10,BCAP,MNC Kapital Indonesia Tbk.,50.0,50.0,50.0,50.0,13995900
2026-06-11,BCAP,MNC Kapital Indonesia Tbk.,50.0,50.0,50.0,50.0,571300
2026-06-12,BCAP,MNC Kapital Indonesia Tbk.,50.0,50.0,50.0,50.0,1026900
2026-06-15,BCAP,MNC Kapital Indonesia Tbk.,50.0,50.0,50.0,,3427800
2026-06-16,BCAP,MNC Kapital Indonesia Tbk.,,,,,
2026-06-17,BCAP,MNC Kapital Indonesia Tbk.,50.0,51.0,50.0,50.0,14537100
2026-06-18,BCAP,MNC Kapital Indonesia Tbk.,50.0,50.0,50.0,50.0,953800
2026-06-19,BCAP,MNC Kapital Indonesia Tbk.,50.0,50.0,50.0,50.0,308800
2026-06-22,BCAP,MNC Kapital Indonesia Tbk.,50.0,50.0,50.0,,1450100
2026-06-23,BCAP,MNC Kapital Indonesia Tbk.,50.0,50.0,50.0,50.0,39100
2026-06-24,BCAP,MNC Kapital Indonesia Tbk.,50.0,50.0,50.0,50.0,304100
2026-06-25,BCAP,MNC Kapital Indonesia Tbk.,50.0,50.0,50.0,50.0,2927400
2026-06-26,BCAP,MNC Kapital Indonesia Tbk.,50.0,50.0,50.0,50.0,3608900
2026-06-29,BCAP,MNC Kapital Indonesia Tbk.,50.0,50.0,50.0,50.0,3724700
2026-06-30,BCAP,MNC Kapital Indonesia Tbk.,50.0,50.0,50.0,50.0,264400
2026-07-01,BCAP,MNC Kapital Indonesia Tbk.,50.0,50.0,50.0,50.0,175000
