date,kode,nama,open,high,low,close,volume
2026-01-22,BEKS,Bank Pembangunan Daerah Banten,37.0,37.0,34.0,34.0,91531200
2026-01-23,BEKS,Bank Pembangunan Daerah Banten,32.0,32.0,31.0,32.0,87974900
2026-01-26,BEKS,Bank Pembangunan Daerah Banten,32.0,34.0,32.0,32.0,79873900
2026-01-27,BEKS,Bank Pembangunan Daerah Banten,32.0,33.0,32.0,32.0,37084000
2026-01-28,BEKS,Bank Pembangunan Daerah Banten,30.0,30.0,29.0,29.0,70523400
2026-01-29,BEKS,Bank Pembangunan Daerah Banten,31.0,31.0,27.0,30.0,76843600
2026-01-30,BEKS,Bank Pembangunan Daerah Banten,30.0,32.0,30.0,32.0,35070600
2026-02-02,BEKS,Bank Pembangunan Daerah Banten,30.0,30.0,30.0,30.0,37432200
2026-02-03,BEKS,Bank Pembangunan Daerah Banten,30.0,31.0,30.0,31.0,25963500
2026-02-04,BEKS,Bank Pembangunan Daerah Banten,32.0,32.0,31.0,31.0,13741800
2026-02-05,BEKS,Bank Pembangunan Daerah Banten,31.0,31.0,31.0,31.0,17769900
2026-02-06,BEKS,Bank Pembangunan Daerah Banten,30.0,31.0,30.0,31.0,9694100
2026-02-09,BEKS,Bank Pembangunan Daerah Banten,30.0,30.0,30.0,30.0,25407600
2026-02-10,BEKS,Bank Pembangunan Daerah Banten,30.0,31.0,30.0,31.0,21692600
2026-02-11,BEKS,Bank Pembangunan Daerah Banten,31.0,31.0,31.0,31.0,27782500
2026-02-12,BEKS,Bank Pembangunan Daerah Banten,30.0,31.0,30.0,31.0,13849200
2026-02-13,BEKS,Bank Pembangunan Daerah Banten,31.0,31.0,30.0,31.0,11290900
2026-02-18,BEKS,Bank Pembangunan Daerah Banten,31.0,31.0,30.0,30.0,19070200
2026-02-19,BEKS,Bank Pembangunan Daerah Banten,30.0,31.0,30.0,30.0,54277600
2026-02-20,BEKS,Bank Pembangunan Daerah Banten,30.0,30.0,30.0,30.0,39073000
2026-02-23,BEKS,Bank Pembangunan Daerah Banten,30.0,30.0,30.0,30.0,55464000
2026-02-24,BEKS,Bank Pembangunan Daerah Banten,30.0,30.0,30.0,30.0,22404900
2026-02-25,BEKS,Bank Pembangunan Daerah Banten,30.0,30.0,30.0,30.0,21505500
2026-02-26,BEKS,Bank Pembangunan Daerah Banten,30.0,30.0,30.0,30.0,23693700
2026-02-27,BEKS,Bank Pembangunan Daerah Banten,30.0,30.0,29.0,30.0,28117900
2026-03-02,BEKS,Bank Pembangunan Daerah Banten,30.0,30.0,28.0,28.0,36589200
2026-03-03,BEKS,Bank Pembangunan Daerah Banten,29.0,29.0,28.0,29.0,21809200
2026-03-04,BEKS,Bank Pembangunan Daerah Banten,28.0,28.0,27.0,27.0,26293100
2026-03-05,BEKS,Bank Pembangunan Daerah Banten,28.0,28.0,28.0,28.0,51529400
2026-03-06,BEKS,Bank Pembangunan Daerah Banten,28.0,28.0,28.0,28.0,15205000
2026-03-09,BEKS,Bank Pembangunan Daerah Banten,28.0,28.0,27.0,27.0,32845300
2026-03-10,BEKS,Bank Pembangunan Daerah Banten,27.0,28.0,27.0,28.0,21637400
2026-03-11,BEKS,Bank Pembangunan Daerah Banten,28.0,28.0,27.0,27.0,24312500
2026-03-12,BEKS,Bank Pembangunan Daerah Banten,27.0,27.0,26.0,26.0,19315500
2026-03-13,BEKS,Bank Pembangunan Daerah Banten,26.0,26.0,26.0,,23642600
2026-03-16,BEKS,Bank Pembangunan Daerah Banten,25.0,26.0,25.0,,22461900
2026-03-17,BEKS,Bank Pembangunan Daerah Banten,26.0,27.0,26.0,,9332100
