date,kode,nama,open,high,low,close,volume
2026-01-22,BFIN,BFI Finance  Indonesia Tbk.,725.0,735.0,720.0,725.0,14342100
2026-01-23,BFIN,BFI Finance  Indonesia Tbk.,730.0,730.0,720.0,725.0,11878400
2026-01-26,BFIN,BFI Finance  Indonesia Tbk.,730.0,740.0,725.0,735.0,18459800
2026-01-27,BFIN,BFI Finance  Indonesia Tbk.,740.0,740.0,725.0,730.0,18022700
2026-01-28,BFIN,BFI Finance  Indonesia Tbk.,730.0,730.0,705.0,715.0,37890700
2026-01-29,BFIN,BFI Finance  Indonesia Tbk.,720.0,720.0,610.0,700.0,39042700
2026-01-30,BFIN,BFI Finance  Indonesia Tbk.,700.0,715.0,700.0,705.0,26991600
2026-02-02,BFIN,BFI Finance  Indonesia Tbk.,705.0,720.0,695.0,705.0,26350600
2026-02-03,BFIN,BFI Finance  Indonesia Tbk.,710.0,715.0,700.0,705.0,21483400
2026-02-04,BFIN,BFI Finance  Indonesia Tbk.,705.0,710.0,695.0,700.0,16254800
2026-02-05,BFIN,BFI Finance  Indonesia Tbk.,700.0,710.0,695.0,700.0,16466500
2026-02-06,BFIN,BFI Finance  Indonesia Tbk.,700.0,700.0,690.0,695.0,20415100
