date,kode,nama,open,high,low,close,volume
2026-01-22,BGTG,Bank Ganesha Tbk.,136.0,141.0,134.0,136.0,36310700
2026-01-23,BGTG,Bank Ganesha Tbk.,137.0,140.0,132.0,140.0,33408300
2026-01-26,BGTG,Bank Ganesha Tbk.,140.0,144.0,137.0,137.0,37051200
2026-01-27,BGTG,Bank Ganesha Tbk.,138.0,142.0,136.0,139.0,23116200
2026-01-28,BGTG,Bank Ganesha Tbk.,139.0,140.0,122.0,127.0,85404800
2026-01-29,BGTG,Bank Ganesha Tbk.,128.0,135.0,111.0,133.0,129284500
2026-01-30,BGTG,Bank Ganesha Tbk.,136.0,139.0,133.0,138.0,27373000
2026-02-02,BGTG,Bank Ganesha Tbk.,138.0,140.0,130.0,136.0,64919400
2026-02-03,BGTG,Bank Ganesha Tbk.,137.0,140.0,135.0,139.0,31497800
2026-02-04,BGTG,Bank Ganesha Tbk.,140.0,140.0,135.0,136.0,23388500
2026-02-05,BGTG,Bank Ganesha Tbk.,136.0,146.0,136.0,144.0,92692900
2026-02-06,BGTG,Bank Ganesha Tbk.,140.0,145.0,137.0,143.0,49401900
