date,kode,nama,open,high,low,close,volume
2026-01-22,BHAT,Bhakti Multi Artha Tbk.,1300.0,1325.0,1200.0,1280.0,23200
2026-01-23,BHAT,Bhakti Multi Artha Tbk.,1280.0,1280.0,1230.0,1280.0,21900
2026-01-26,BHAT,Bhakti Multi Artha Tbk.,1425.0,1465.0,1245.0,1340.0,112400
2026-01-27,BHAT,Bhakti Multi Artha Tbk.,1460.0,1460.0,1345.0,1420.0,256600
2026-01-28,BHAT,Bhakti Multi Artha Tbk.,1495.0,1775.0,1290.0,1390.0,379400
2026-01-29,BHAT,Bhakti Multi Artha Tbk.,1500.0,1700.0,1200.0,1515.0,254000
2026-01-30,BHAT,Bhakti Multi Artha Tbk.,1515.0,1600.0,1500.0,1565.0,185200
2026-02-02,BHAT,Bhakti Multi Artha Tbk.,1565.0,1645.0,1525.0,1560.0,181900
2026-02-03,BHAT,Bhakti Multi Artha Tbk.,1560.0,1565.0,1515.0,1535.0,30500
2026-02-04,BHAT,Bhakti Multi Artha Tbk.,1535.0,1550.0,1470.0,1470.0,648000
2026-02-05,BHAT,Bhakti Multi Artha Tbk.,1625.0,1700.0,1470.0,1475.0,77900
2026-02-06,BHAT,Bhakti Multi Artha Tbk.,1450.0,1545.0,1260.0,1420.0,80100
2026-02-09,BHAT,Bhakti Multi Artha Tbk.,1420.0,1420.0,1400.0,1400.0,26700
2026-02-10,BHAT,Bhakti Multi Artha Tbk.,1400.0,1435.0,1400.0,1400.0,57100
2026-02-11,BHAT,Bhakti Multi Artha Tbk.,1435.0,1450.0,1400.0,1400.0,25600
2026-02-12,BHAT,Bhakti Multi Artha Tbk.,1400.0,1425.0,1400.0,1400.0,28500
2026-02-13,BHAT,Bhakti Multi Artha Tbk.,1400.0,1400.0,1400.0,1400.0,16400
