date,kode,nama,open,high,low,close,volume
2026-01-22,BINA,Bank Ina Perdana Tbk.,4700.0,4700.0,4620.0,4690.0,6600
2026-01-23,BINA,Bank Ina Perdana Tbk.,4710.0,4750.0,4610.0,4650.0,17800
2026-01-26,BINA,Bank Ina Perdana Tbk.,4650.0,4660.0,4600.0,4630.0,3600
2026-01-27,BINA,Bank Ina Perdana Tbk.,4660.0,4660.0,4600.0,4630.0,1500
2026-01-28,BINA,Bank Ina Perdana Tbk.,4600.0,4630.0,4400.0,4600.0,16100
2026-01-29,BINA,Bank Ina Perdana Tbk.,4590.0,4600.0,4590.0,4600.0,19400
2026-01-30,BINA,Bank Ina Perdana Tbk.,4560.0,4790.0,4560.0,4750.0,13500
2026-02-02,BINA,Bank Ina Perdana Tbk.,4450.0,4700.0,4450.0,4690.0,12900
2026-02-03,BINA,Bank Ina Perdana Tbk.,4680.0,4690.0,4600.0,4690.0,8100
2026-02-04,BINA,Bank Ina Perdana Tbk.,4690.0,4750.0,4650.0,4690.0,1800
2026-02-05,BINA,Bank Ina Perdana Tbk.,4690.0,4690.0,4650.0,4690.0,1900
2026-02-06,BINA,Bank Ina Perdana Tbk.,4690.0,4740.0,4650.0,4690.0,6100
2026-02-09,BINA,Bank Ina Perdana Tbk.,4670.0,4670.0,4650.0,4650.0,13000
2026-02-10,BINA,Bank Ina Perdana Tbk.,4650.0,4690.0,4610.0,4690.0,2600
2026-02-11,BINA,Bank Ina Perdana Tbk.,4600.0,4680.0,4600.0,4680.0,6000
2026-02-12,BINA,Bank Ina Perdana Tbk.,4610.0,4690.0,4610.0,4690.0,7000
2026-02-13,BINA,Bank Ina Perdana Tbk.,4690.0,4700.0,4640.0,4690.0,2900
2026-02-18,BINA,Bank Ina Perdana Tbk.,4640.0,4700.0,4640.0,4700.0,3700
