date,kode,nama,open,high,low,close,volume
2026-01-22,BJBR,Bank Pembangunan Daerah Jawa B,840.0,845.0,830.0,835.0,3714600
2026-01-23,BJBR,Bank Pembangunan Daerah Jawa B,835.0,840.0,825.0,830.0,3807500
2026-01-26,BJBR,Bank Pembangunan Daerah Jawa B,830.0,845.0,830.0,835.0,3210500
2026-01-27,BJBR,Bank Pembangunan Daerah Jawa B,835.0,840.0,830.0,840.0,2353200
2026-01-28,BJBR,Bank Pembangunan Daerah Jawa B,835.0,835.0,800.0,810.0,8166500
2026-01-29,BJBR,Bank Pembangunan Daerah Jawa B,815.0,815.0,765.0,805.0,12392500
2026-01-30,BJBR,Bank Pembangunan Daerah Jawa B,805.0,820.0,795.0,805.0,14320900
2026-02-02,BJBR,Bank Pembangunan Daerah Jawa B,815.0,820.0,790.0,800.0,11224600
2026-02-03,BJBR,Bank Pembangunan Daerah Jawa B,800.0,815.0,800.0,810.0,3866000
2026-02-04,BJBR,Bank Pembangunan Daerah Jawa B,815.0,830.0,805.0,830.0,11093200
2026-02-05,BJBR,Bank Pembangunan Daerah Jawa B,840.0,845.0,820.0,820.0,11532900
2026-02-06,BJBR,Bank Pembangunan Daerah Jawa B,820.0,825.0,815.0,820.0,2534000
2026-02-09,BJBR,Bank Pembangunan Daerah Jawa B,820.0,820.0,810.0,815.0,3699100
2026-02-10,BJBR,Bank Pembangunan Daerah Jawa B,820.0,825.0,810.0,820.0,7466500
2026-02-11,BJBR,Bank Pembangunan Daerah Jawa B,820.0,825.0,810.0,820.0,8479800
2026-02-12,BJBR,Bank Pembangunan Daerah Jawa B,820.0,825.0,815.0,825.0,1506900
2026-02-13,BJBR,Bank Pembangunan Daerah Jawa B,825.0,825.0,815.0,820.0,1446300
2026-02-18,BJBR,Bank Pembangunan Daerah Jawa B,820.0,825.0,815.0,820.0,2058700
2026-02-19,BJBR,Bank Pembangunan Daerah Jawa B,825.0,825.0,820.0,820.0,1623300
2026-02-20,BJBR,Bank Pembangunan Daerah Jawa B,825.0,830.0,820.0,830.0,2962600
2026-02-23,BJBR,Bank Pembangunan Daerah Jawa B,830.0,835.0,825.0,830.0,3910400
2026-02-24,BJBR,Bank Pembangunan Daerah Jawa B,830.0,840.0,830.0,830.0,3718800
2026-02-25,BJBR,Bank Pembangunan Daerah Jawa B,830.0,840.0,830.0,840.0,2278600
2026-02-26,BJBR,Bank Pembangunan Daerah Jawa B,840.0,840.0,830.0,835.0,3874000
2026-02-27,BJBR,Bank Pembangunan Daerah Jawa B,835.0,840.0,825.0,830.0,3430700
2026-03-02,BJBR,Bank Pembangunan Daerah Jawa B,825.0,830.0,805.0,825.0,7059600
2026-03-03,BJBR,Bank Pembangunan Daerah Jawa B,825.0,830.0,815.0,825.0,3272100
2026-03-04,BJBR,Bank Pembangunan Daerah Jawa B,825.0,825.0,805.0,815.0,5836600
2026-03-05,BJBR,Bank Pembangunan Daerah Jawa B,810.0,825.0,810.0,815.0,2273900
2026-03-06,BJBR,Bank Pembangunan Daerah Jawa B,815.0,825.0,810.0,820.0,3345800
2026-03-09,BJBR,Bank Pembangunan Daerah Jawa B,810.0,810.0,795.0,800.0,6889400
2026-03-10,BJBR,Bank Pembangunan Daerah Jawa B,800.0,815.0,800.0,815.0,2833100
2026-03-11,BJBR,Bank Pembangunan Daerah Jawa B,815.0,815.0,800.0,805.0,3290400
2026-03-12,BJBR,Bank Pembangunan Daerah Jawa B,805.0,810.0,800.0,805.0,1529000
2026-03-13,BJBR,Bank Pembangunan Daerah Jawa B,810.0,810.0,795.0,,2872200
2026-03-16,BJBR,Bank Pembangunan Daerah Jawa B,795.0,800.0,785.0,,4643100
2026-03-17,BJBR,Bank Pembangunan Daerah Jawa B,795.0,810.0,795.0,,2488300
2026-03-25,BJBR,Bank Pembangunan Daerah Jawa B,805.0,820.0,805.0,820.0,3235700
2026-03-26,BJBR,Bank Pembangunan Daerah Jawa B,820.0,825.0,815.0,,2579700
2026-03-27,BJBR,Bank Pembangunan Daerah Jawa B,820.0,825.0,815.0,820.0,2729900
2026-03-30,BJBR,Bank Pembangunan Daerah Jawa B,820.0,820.0,810.0,820.0,2773000
2026-03-31,BJBR,Bank Pembangunan Daerah Jawa B,820.0,825.0,810.0,810.0,1983900
2026-04-01,BJBR,Bank Pembangunan Daerah Jawa B,820.0,820.0,810.0,820.0,2080000
2026-04-02,BJBR,Bank Pembangunan Daerah Jawa B,820.0,830.0,815.0,825.0,3073900
2026-04-06,BJBR,Bank Pembangunan Daerah Jawa B,825.0,830.0,815.0,815.0,1945500
2026-04-07,BJBR,Bank Pembangunan Daerah Jawa B,815.0,825.0,815.0,825.0,2018100
2026-04-08,BJBR,Bank Pembangunan Daerah Jawa B,825.0,835.0,815.0,830.0,3546500
2026-04-09,BJBR,Bank Pembangunan Daerah Jawa B,835.0,835.0,825.0,830.0,1614500
2026-04-10,BJBR,Bank Pembangunan Daerah Jawa B,830.0,845.0,825.0,835.0,4628400
2026-04-13,BJBR,Bank Pembangunan Daerah Jawa B,835.0,840.0,830.0,835.0,2973900
2026-04-14,BJBR,Bank Pembangunan Daerah Jawa B,840.0,850.0,835.0,850.0,4142900
2026-04-15,BJBR,Bank Pembangunan Daerah Jawa B,850.0,850.0,840.0,840.0,4836000
2026-04-16,BJBR,Bank Pembangunan Daerah Jawa B,845.0,850.0,840.0,845.0,3391200
2026-04-17,BJBR,Bank Pembangunan Daerah Jawa B,845.0,850.0,845.0,845.0,1321400
2026-04-20,BJBR,Bank Pembangunan Daerah Jawa B,845.0,855.0,845.0,845.0,3289800
2026-04-21,BJBR,Bank Pembangunan Daerah Jawa B,850.0,860.0,845.0,855.0,3695400
2026-04-22,BJBR,Bank Pembangunan Daerah Jawa B,855.0,880.0,855.0,880.0,7166900
2026-04-23,BJBR,Bank Pembangunan Daerah Jawa B,880.0,885.0,865.0,865.0,4321400
2026-04-24,BJBR,Bank Pembangunan Daerah Jawa B,865.0,870.0,845.0,855.0,6330400
2026-04-27,BJBR,Bank Pembangunan Daerah Jawa B,855.0,865.0,850.0,855.0,3397000
2026-04-28,BJBR,Bank Pembangunan Daerah Jawa B,855.0,870.0,850.0,865.0,7277700
2026-04-29,BJBR,Bank Pembangunan Daerah Jawa B,875.0,880.0,870.0,875.0,11541000
2026-04-30,BJBR,Bank Pembangunan Daerah Jawa B,880.0,885.0,865.0,870.0,11233300
2026-05-01,BJBR,Bank Pembangunan Daerah Jawa B,,,,,
2026-05-04,BJBR,Bank Pembangunan Daerah Jawa B,875.0,880.0,870.0,875.0,10799900
2026-05-05,BJBR,Bank Pembangunan Daerah Jawa B,880.0,885.0,875.0,880.0,12632100
2026-05-06,BJBR,Bank Pembangunan Daerah Jawa B,880.0,885.0,880.0,885.0,14203700
2026-05-07,BJBR,Bank Pembangunan Daerah Jawa B,885.0,900.0,880.0,895.0,37798400
2026-05-08,BJBR,Bank Pembangunan Daerah Jawa B,810.0,820.0,805.0,805.0,22896600
2026-05-11,BJBR,Bank Pembangunan Daerah Jawa B,805.0,810.0,795.0,800.0,9362600
2026-05-12,BJBR,Bank Pembangunan Daerah Jawa B,800.0,800.0,780.0,795.0,15064500
2026-05-13,BJBR,Bank Pembangunan Daerah Jawa B,795.0,795.0,780.0,785.0,8162700
2026-05-14,BJBR,Bank Pembangunan Daerah Jawa B,,,,,
2026-05-15,BJBR,Bank Pembangunan Daerah Jawa B,,,,,
2026-05-18,BJBR,Bank Pembangunan Daerah Jawa B,785.0,790.0,770.0,780.0,6480600
2026-05-19,BJBR,Bank Pembangunan Daerah Jawa B,780.0,790.0,750.0,765.0,9907200
2026-05-20,BJBR,Bank Pembangunan Daerah Jawa B,765.0,775.0,740.0,760.0,10985500
2026-05-21,BJBR,Bank Pembangunan Daerah Jawa B,765.0,770.0,760.0,765.0,5616300
2026-05-22,BJBR,Bank Pembangunan Daerah Jawa B,765.0,765.0,755.0,765.0,3103800
2026-05-25,BJBR,Bank Pembangunan Daerah Jawa B,765.0,785.0,765.0,775.0,5547800
2026-05-26,BJBR,Bank Pembangunan Daerah Jawa B,775.0,790.0,770.0,775.0,5312300
2026-05-27,BJBR,Bank Pembangunan Daerah Jawa B,,,,,
2026-05-28,BJBR,Bank Pembangunan Daerah Jawa B,,,,,
2026-05-29,BJBR,Bank Pembangunan Daerah Jawa B,775.0,780.0,765.0,765.0,4807400
2026-06-01,BJBR,Bank Pembangunan Daerah Jawa B,,,,,
2026-06-02,BJBR,Bank Pembangunan Daerah Jawa B,765.0,780.0,760.0,,3859300
2026-06-03,BJBR,Bank Pembangunan Daerah Jawa B,780.0,780.0,755.0,,4004500
2026-06-04,BJBR,Bank Pembangunan Daerah Jawa B,760.0,765.0,740.0,760.0,8631800
2026-06-05,BJBR,Bank Pembangunan Daerah Jawa B,755.0,760.0,735.0,735.0,4153300
2026-06-08,BJBR,Bank Pembangunan Daerah Jawa B,735.0,735.0,705.0,705.0,12773800
2026-06-09,BJBR,Bank Pembangunan Daerah Jawa B,705.0,735.0,700.0,735.0,3949000
2026-06-10,BJBR,Bank Pembangunan Daerah Jawa B,735.0,750.0,730.0,740.0,3498600
2026-06-11,BJBR,Bank Pembangunan Daerah Jawa B,745.0,750.0,735.0,740.0,3154900
2026-06-12,BJBR,Bank Pembangunan Daerah Jawa B,745.0,760.0,740.0,750.0,3504900
2026-06-15,BJBR,Bank Pembangunan Daerah Jawa B,750.0,785.0,750.0,,6440400
2026-06-16,BJBR,Bank Pembangunan Daerah Jawa B,,,,,
2026-06-17,BJBR,Bank Pembangunan Daerah Jawa B,775.0,790.0,770.0,775.0,2246700
2026-06-18,BJBR,Bank Pembangunan Daerah Jawa B,775.0,780.0,760.0,770.0,3430600
2026-06-19,BJBR,Bank Pembangunan Daerah Jawa B,770.0,780.0,765.0,770.0,1879400
2026-06-22,BJBR,Bank Pembangunan Daerah Jawa B,770.0,770.0,760.0,,981500
2026-06-23,BJBR,Bank Pembangunan Daerah Jawa B,770.0,770.0,755.0,765.0,562700
2026-06-24,BJBR,Bank Pembangunan Daerah Jawa B,765.0,770.0,750.0,755.0,1560400
2026-06-25,BJBR,Bank Pembangunan Daerah Jawa B,755.0,765.0,750.0,765.0,1613800
2026-06-26,BJBR,Bank Pembangunan Daerah Jawa B,765.0,765.0,750.0,760.0,2610400
2026-06-29,BJBR,Bank Pembangunan Daerah Jawa B,770.0,770.0,755.0,755.0,918800
2026-06-30,BJBR,Bank Pembangunan Daerah Jawa B,755.0,820.0,740.0,820.0,8262300
2026-07-01,BJBR,Bank Pembangunan Daerah Jawa B,770.0,770.0,745.0,750.0,5129300
2026-07-02,BJBR,Bank Pembangunan Daerah Jawa B,750.0,765.0,750.0,755.0,1189200
