date,kode,nama,open,high,low,close,volume
2026-01-22,BJTM,Bank Pembangunan Daerah Jawa T,570.0,575.0,565.0,570.0,6527500
2026-01-23,BJTM,Bank Pembangunan Daerah Jawa T,575.0,575.0,565.0,570.0,7328400
2026-01-26,BJTM,Bank Pembangunan Daerah Jawa T,570.0,575.0,555.0,565.0,12494000
2026-01-27,BJTM,Bank Pembangunan Daerah Jawa T,565.0,565.0,555.0,560.0,14185100
2026-01-28,BJTM,Bank Pembangunan Daerah Jawa T,555.0,560.0,540.0,550.0,30054900
2026-01-29,BJTM,Bank Pembangunan Daerah Jawa T,550.0,555.0,510.0,545.0,56584200
2026-01-30,BJTM,Bank Pembangunan Daerah Jawa T,550.0,555.0,545.0,555.0,8034500
2026-02-02,BJTM,Bank Pembangunan Daerah Jawa T,555.0,560.0,545.0,555.0,19400300
2026-02-03,BJTM,Bank Pembangunan Daerah Jawa T,550.0,565.0,550.0,565.0,15487800
2026-02-04,BJTM,Bank Pembangunan Daerah Jawa T,570.0,570.0,560.0,570.0,12353700
