date,kode,nama,open,high,low,close,volume
2026-01-22,BKSW,Bank QNB Indonesia Tbk.,65.0,66.0,64.0,65.0,10796200
2026-01-23,BKSW,Bank QNB Indonesia Tbk.,65.0,66.0,64.0,65.0,4519600
2026-01-26,BKSW,Bank QNB Indonesia Tbk.,65.0,67.0,64.0,66.0,15482600
2026-01-27,BKSW,Bank QNB Indonesia Tbk.,66.0,66.0,64.0,65.0,12700200
2026-01-28,BKSW,Bank QNB Indonesia Tbk.,64.0,65.0,61.0,63.0,25244200
2026-01-29,BKSW,Bank QNB Indonesia Tbk.,63.0,64.0,57.0,63.0,19465800
2026-01-30,BKSW,Bank QNB Indonesia Tbk.,64.0,66.0,63.0,65.0,7933300
2026-02-02,BKSW,Bank QNB Indonesia Tbk.,66.0,66.0,61.0,62.0,11609900
2026-02-03,BKSW,Bank QNB Indonesia Tbk.,62.0,64.0,61.0,64.0,5760000
2026-02-04,BKSW,Bank QNB Indonesia Tbk.,64.0,65.0,63.0,64.0,7434700
2026-02-05,BKSW,Bank QNB Indonesia Tbk.,63.0,65.0,63.0,64.0,5481500
2026-02-06,BKSW,Bank QNB Indonesia Tbk.,64.0,64.0,61.0,62.0,5528100
2026-02-09,BKSW,Bank QNB Indonesia Tbk.,62.0,63.0,61.0,63.0,3674800
2026-02-10,BKSW,Bank QNB Indonesia Tbk.,64.0,64.0,62.0,64.0,3405000
2026-02-11,BKSW,Bank QNB Indonesia Tbk.,64.0,66.0,63.0,65.0,8694300
2026-02-12,BKSW,Bank QNB Indonesia Tbk.,66.0,66.0,63.0,64.0,6464200
2026-02-13,BKSW,Bank QNB Indonesia Tbk.,64.0,64.0,63.0,64.0,1709600
2026-02-18,BKSW,Bank QNB Indonesia Tbk.,63.0,65.0,63.0,63.0,3491000
2026-02-19,BKSW,Bank QNB Indonesia Tbk.,63.0,64.0,63.0,64.0,3052600
2026-02-20,BKSW,Bank QNB Indonesia Tbk.,64.0,64.0,62.0,63.0,3164100
2026-02-23,BKSW,Bank QNB Indonesia Tbk.,63.0,66.0,63.0,64.0,5347900
2026-02-24,BKSW,Bank QNB Indonesia Tbk.,64.0,65.0,63.0,64.0,1990200
2026-02-25,BKSW,Bank QNB Indonesia Tbk.,64.0,65.0,63.0,64.0,3384600
2026-02-26,BKSW,Bank QNB Indonesia Tbk.,64.0,64.0,63.0,64.0,5500800
2026-02-27,BKSW,Bank QNB Indonesia Tbk.,64.0,64.0,62.0,64.0,5351000
2026-03-02,BKSW,Bank QNB Indonesia Tbk.,63.0,64.0,60.0,62.0,12939800
2026-03-03,BKSW,Bank QNB Indonesia Tbk.,62.0,62.0,60.0,62.0,14908800
2026-03-04,BKSW,Bank QNB Indonesia Tbk.,62.0,62.0,59.0,60.0,28700700
2026-03-05,BKSW,Bank QNB Indonesia Tbk.,60.0,62.0,60.0,61.0,4817200
2026-03-06,BKSW,Bank QNB Indonesia Tbk.,61.0,61.0,59.0,60.0,6308100
2026-03-09,BKSW,Bank QNB Indonesia Tbk.,59.0,59.0,57.0,59.0,12790500
2026-03-10,BKSW,Bank QNB Indonesia Tbk.,59.0,60.0,57.0,59.0,2337700
2026-03-11,BKSW,Bank QNB Indonesia Tbk.,59.0,61.0,58.0,58.0,14255100
2026-03-12,BKSW,Bank QNB Indonesia Tbk.,59.0,59.0,57.0,57.0,5013500
2026-03-13,BKSW,Bank QNB Indonesia Tbk.,57.0,57.0,56.0,,3501300
2026-03-16,BKSW,Bank QNB Indonesia Tbk.,56.0,57.0,55.0,,1032500
2026-03-17,BKSW,Bank QNB Indonesia Tbk.,56.0,57.0,55.0,,2465500
2026-03-25,BKSW,Bank QNB Indonesia Tbk.,57.0,59.0,57.0,58.0,3582300
2026-03-26,BKSW,Bank QNB Indonesia Tbk.,58.0,59.0,57.0,,1278600
2026-03-27,BKSW,Bank QNB Indonesia Tbk.,58.0,59.0,58.0,58.0,950800
2026-03-30,BKSW,Bank QNB Indonesia Tbk.,58.0,59.0,57.0,58.0,415200
2026-03-31,BKSW,Bank QNB Indonesia Tbk.,58.0,59.0,57.0,58.0,1302900
2026-04-01,BKSW,Bank QNB Indonesia Tbk.,58.0,59.0,57.0,58.0,1537500
2026-04-02,BKSW,Bank QNB Indonesia Tbk.,58.0,58.0,56.0,56.0,1610600
2026-04-06,BKSW,Bank QNB Indonesia Tbk.,56.0,57.0,56.0,56.0,1458300
2026-04-07,BKSW,Bank QNB Indonesia Tbk.,56.0,57.0,56.0,56.0,1589700
2026-04-08,BKSW,Bank QNB Indonesia Tbk.,57.0,57.0,56.0,56.0,1259200
2026-04-09,BKSW,Bank QNB Indonesia Tbk.,57.0,58.0,56.0,57.0,1853900
2026-04-10,BKSW,Bank QNB Indonesia Tbk.,57.0,58.0,57.0,58.0,777600
2026-04-13,BKSW,Bank QNB Indonesia Tbk.,58.0,58.0,57.0,58.0,1676400
2026-04-14,BKSW,Bank QNB Indonesia Tbk.,58.0,59.0,58.0,59.0,2609500
2026-04-15,BKSW,Bank QNB Indonesia Tbk.,59.0,60.0,58.0,60.0,2236000
2026-04-16,BKSW,Bank QNB Indonesia Tbk.,60.0,61.0,59.0,60.0,2835500
2026-04-17,BKSW,Bank QNB Indonesia Tbk.,60.0,60.0,59.0,60.0,1220800
2026-04-20,BKSW,Bank QNB Indonesia Tbk.,60.0,60.0,59.0,59.0,1263100
2026-04-21,BKSW,Bank QNB Indonesia Tbk.,59.0,60.0,58.0,59.0,1059400
2026-04-22,BKSW,Bank QNB Indonesia Tbk.,59.0,60.0,58.0,60.0,2720400
2026-04-23,BKSW,Bank QNB Indonesia Tbk.,60.0,60.0,59.0,59.0,2014000
2026-04-24,BKSW,Bank QNB Indonesia Tbk.,59.0,60.0,57.0,58.0,2559100
2026-04-27,BKSW,Bank QNB Indonesia Tbk.,58.0,59.0,58.0,59.0,428000
2026-04-28,BKSW,Bank QNB Indonesia Tbk.,58.0,59.0,58.0,59.0,1744700
2026-04-29,BKSW,Bank QNB Indonesia Tbk.,60.0,62.0,58.0,60.0,5223100
2026-04-30,BKSW,Bank QNB Indonesia Tbk.,61.0,61.0,59.0,60.0,2384400
2026-05-01,BKSW,Bank QNB Indonesia Tbk.,,,,,
2026-05-04,BKSW,Bank QNB Indonesia Tbk.,60.0,60.0,59.0,60.0,1043400
2026-05-05,BKSW,Bank QNB Indonesia Tbk.,60.0,60.0,58.0,59.0,2224800
2026-05-06,BKSW,Bank QNB Indonesia Tbk.,59.0,59.0,58.0,58.0,1605700
2026-05-07,BKSW,Bank QNB Indonesia Tbk.,59.0,59.0,58.0,58.0,2723700
2026-05-08,BKSW,Bank QNB Indonesia Tbk.,59.0,59.0,58.0,58.0,965000
2026-05-11,BKSW,Bank QNB Indonesia Tbk.,58.0,59.0,57.0,58.0,1491700
2026-05-12,BKSW,Bank QNB Indonesia Tbk.,58.0,58.0,57.0,57.0,2100300
2026-05-13,BKSW,Bank QNB Indonesia Tbk.,57.0,58.0,57.0,57.0,1204800
2026-05-14,BKSW,Bank QNB Indonesia Tbk.,,,,,
2026-05-15,BKSW,Bank QNB Indonesia Tbk.,,,,,
2026-05-18,BKSW,Bank QNB Indonesia Tbk.,57.0,58.0,56.0,57.0,1019700
2026-05-19,BKSW,Bank QNB Indonesia Tbk.,57.0,57.0,55.0,55.0,4453200
2026-05-20,BKSW,Bank QNB Indonesia Tbk.,56.0,56.0,54.0,55.0,3238800
2026-05-21,BKSW,Bank QNB Indonesia Tbk.,55.0,55.0,53.0,55.0,2214600
2026-05-22,BKSW,Bank QNB Indonesia Tbk.,55.0,55.0,53.0,54.0,2285300
2026-05-25,BKSW,Bank QNB Indonesia Tbk.,54.0,55.0,54.0,54.0,1732800
2026-05-26,BKSW,Bank QNB Indonesia Tbk.,54.0,55.0,53.0,54.0,1885700
2026-05-27,BKSW,Bank QNB Indonesia Tbk.,,,,,
2026-05-28,BKSW,Bank QNB Indonesia Tbk.,,,,,
2026-05-29,BKSW,Bank QNB Indonesia Tbk.,54.0,55.0,53.0,54.0,1819600
2026-06-01,BKSW,Bank QNB Indonesia Tbk.,,,,,
2026-06-02,BKSW,Bank QNB Indonesia Tbk.,55.0,56.0,53.0,,2281000
2026-06-03,BKSW,Bank QNB Indonesia Tbk.,54.0,54.0,52.0,,4893000
2026-06-04,BKSW,Bank QNB Indonesia Tbk.,53.0,53.0,50.0,52.0,4241000
2026-06-05,BKSW,Bank QNB Indonesia Tbk.,53.0,53.0,51.0,52.0,1414800
2026-06-08,BKSW,Bank QNB Indonesia Tbk.,51.0,51.0,50.0,50.0,14209800
2026-06-09,BKSW,Bank QNB Indonesia Tbk.,50.0,51.0,50.0,50.0,12902000
2026-06-10,BKSW,Bank QNB Indonesia Tbk.,51.0,51.0,50.0,51.0,3171500
2026-06-11,BKSW,Bank QNB Indonesia Tbk.,51.0,51.0,50.0,51.0,4163800
2026-06-12,BKSW,Bank QNB Indonesia Tbk.,51.0,52.0,50.0,51.0,5363700
2026-06-15,BKSW,Bank QNB Indonesia Tbk.,51.0,53.0,51.0,,2060400
2026-06-16,BKSW,Bank QNB Indonesia Tbk.,,,,,
2026-06-17,BKSW,Bank QNB Indonesia Tbk.,52.0,54.0,51.0,53.0,2019100
2026-06-18,BKSW,Bank QNB Indonesia Tbk.,53.0,54.0,52.0,53.0,1223100
2026-06-19,BKSW,Bank QNB Indonesia Tbk.,53.0,55.0,52.0,52.0,2108700
2026-06-22,BKSW,Bank QNB Indonesia Tbk.,52.0,53.0,51.0,,1620900
2026-06-23,BKSW,Bank QNB Indonesia Tbk.,52.0,52.0,51.0,51.0,923400
