date,kode,nama,open,high,low,close,volume
2026-01-22,BNGA,Bank CIMB Niaga Tbk.,1880.0,1880.0,1855.0,1865.0,6092000
2026-01-23,BNGA,Bank CIMB Niaga Tbk.,1865.0,1875.0,1835.0,1860.0,4078200
2026-01-26,BNGA,Bank CIMB Niaga Tbk.,1860.0,1860.0,1840.0,1850.0,3408700
2026-01-27,BNGA,Bank CIMB Niaga Tbk.,1865.0,1865.0,1810.0,1815.0,7311300
2026-01-28,BNGA,Bank CIMB Niaga Tbk.,1800.0,1815.0,1760.0,1785.0,12344600
2026-01-29,BNGA,Bank CIMB Niaga Tbk.,1780.0,1825.0,1695.0,1815.0,24097100
2026-01-30,BNGA,Bank CIMB Niaga Tbk.,1815.0,1850.0,1800.0,1815.0,11900100
2026-02-02,BNGA,Bank CIMB Niaga Tbk.,1815.0,1825.0,1785.0,1800.0,7850900
2026-02-03,BNGA,Bank CIMB Niaga Tbk.,1825.0,1830.0,1800.0,1805.0,4261900
2026-02-04,BNGA,Bank CIMB Niaga Tbk.,1810.0,1900.0,1810.0,1890.0,22424500
2026-02-05,BNGA,Bank CIMB Niaga Tbk.,1890.0,1915.0,1875.0,1875.0,9918100
