date,kode,nama,open,high,low,close,volume
2026-01-22,BNII,Bank Maybank Indonesia Tbk.,226.0,230.0,224.0,226.0,2102700
2026-01-23,BNII,Bank Maybank Indonesia Tbk.,234.0,234.0,220.0,226.0,3858800
2026-01-26,BNII,Bank Maybank Indonesia Tbk.,228.0,228.0,220.0,222.0,2570300
2026-01-27,BNII,Bank Maybank Indonesia Tbk.,228.0,228.0,218.0,220.0,3568400
2026-01-28,BNII,Bank Maybank Indonesia Tbk.,216.0,218.0,202.0,206.0,8991000
2026-01-29,BNII,Bank Maybank Indonesia Tbk.,206.0,214.0,180.0,210.0,9876500
2026-01-30,BNII,Bank Maybank Indonesia Tbk.,210.0,218.0,204.0,214.0,5494700
2026-02-02,BNII,Bank Maybank Indonesia Tbk.,220.0,220.0,208.0,208.0,3401600
2026-02-03,BNII,Bank Maybank Indonesia Tbk.,208.0,214.0,208.0,214.0,990400
2026-02-04,BNII,Bank Maybank Indonesia Tbk.,214.0,214.0,210.0,214.0,2161200
2026-02-05,BNII,Bank Maybank Indonesia Tbk.,214.0,224.0,214.0,220.0,3816700
2026-02-06,BNII,Bank Maybank Indonesia Tbk.,218.0,220.0,212.0,218.0,3564700
2026-02-09,BNII,Bank Maybank Indonesia Tbk.,218.0,220.0,212.0,218.0,1508900
2026-02-10,BNII,Bank Maybank Indonesia Tbk.,216.0,222.0,214.0,220.0,2567100
2026-02-11,BNII,Bank Maybank Indonesia Tbk.,220.0,222.0,218.0,222.0,2744700
2026-02-12,BNII,Bank Maybank Indonesia Tbk.,222.0,222.0,218.0,220.0,978400
2026-02-13,BNII,Bank Maybank Indonesia Tbk.,220.0,222.0,214.0,216.0,1928500
2026-02-18,BNII,Bank Maybank Indonesia Tbk.,216.0,218.0,214.0,214.0,1434700
2026-02-19,BNII,Bank Maybank Indonesia Tbk.,214.0,220.0,212.0,218.0,1300100
2026-02-20,BNII,Bank Maybank Indonesia Tbk.,218.0,220.0,214.0,216.0,1503700
2026-02-23,BNII,Bank Maybank Indonesia Tbk.,220.0,220.0,216.0,218.0,1062200
2026-02-24,BNII,Bank Maybank Indonesia Tbk.,218.0,220.0,216.0,216.0,2222100
