date,kode,nama,open,high,low,close,volume
2026-01-22,BPII,Batavia Prosperindo Internasio,510.0,510.0,505.0,510.0,18700
2026-01-23,BPII,Batavia Prosperindo Internasio,510.0,635.0,505.0,530.0,668600
2026-01-26,BPII,Batavia Prosperindo Internasio,535.0,660.0,535.0,585.0,1473600
2026-01-27,BPII,Batavia Prosperindo Internasio,585.0,600.0,550.0,550.0,92600
2026-01-28,BPII,Batavia Prosperindo Internasio,550.0,550.0,525.0,535.0,102000
2026-01-29,BPII,Batavia Prosperindo Internasio,535.0,650.0,505.0,525.0,1215500
2026-01-30,BPII,Batavia Prosperindo Internasio,530.0,540.0,505.0,505.0,89100
2026-02-02,BPII,Batavia Prosperindo Internasio,505.0,505.0,480.0,480.0,32800
2026-02-03,BPII,Batavia Prosperindo Internasio,456.0,590.0,456.0,484.0,87400
2026-02-04,BPII,Batavia Prosperindo Internasio,480.0,480.0,454.0,460.0,21100
2026-02-05,BPII,Batavia Prosperindo Internasio,460.0,460.0,450.0,452.0,28100
2026-02-06,BPII,Batavia Prosperindo Internasio,450.0,460.0,398.0,460.0,31000
2026-02-09,BPII,Batavia Prosperindo Internasio,462.0,486.0,462.0,466.0,11500
2026-02-10,BPII,Batavia Prosperindo Internasio,464.0,505.0,450.0,505.0,9800
2026-02-11,BPII,Batavia Prosperindo Internasio,505.0,505.0,456.0,498.0,11000
2026-02-12,BPII,Batavia Prosperindo Internasio,500.0,585.0,480.0,555.0,381600
2026-02-13,BPII,Batavia Prosperindo Internasio,530.0,575.0,494.0,570.0,244200
2026-02-18,BPII,Batavia Prosperindo Internasio,550.0,585.0,510.0,565.0,81400
2026-02-19,BPII,Batavia Prosperindo Internasio,530.0,700.0,520.0,540.0,383600
2026-02-20,BPII,Batavia Prosperindo Internasio,540.0,590.0,515.0,515.0,73800
2026-02-23,BPII,Batavia Prosperindo Internasio,515.0,585.0,488.0,560.0,279100
2026-02-24,BPII,Batavia Prosperindo Internasio,560.0,615.0,482.0,482.0,1794700
2026-02-25,BPII,Batavia Prosperindo Internasio,484.0,500.0,480.0,486.0,89900
2026-02-26,BPII,Batavia Prosperindo Internasio,486.0,488.0,460.0,466.0,110100
2026-02-27,BPII,Batavia Prosperindo Internasio,466.0,494.0,460.0,466.0,78100
2026-03-02,BPII,Batavia Prosperindo Internasio,466.0,480.0,422.0,470.0,72700
2026-03-03,BPII,Batavia Prosperindo Internasio,472.0,472.0,432.0,466.0,9500
2026-03-04,BPII,Batavia Prosperindo Internasio,448.0,466.0,410.0,458.0,43100
2026-03-05,BPII,Batavia Prosperindo Internasio,458.0,458.0,408.0,444.0,4200
2026-03-06,BPII,Batavia Prosperindo Internasio,442.0,442.0,442.0,442.0,200
2026-03-09,BPII,Batavia Prosperindo Internasio,438.0,474.0,408.0,472.0,101300
2026-03-10,BPII,Batavia Prosperindo Internasio,442.0,468.0,442.0,466.0,2200
2026-03-11,BPII,Batavia Prosperindo Internasio,444.0,466.0,444.0,466.0,34500
2026-03-12,BPII,Batavia Prosperindo Internasio,466.0,466.0,430.0,466.0,5300
2026-03-13,BPII,Batavia Prosperindo Internasio,464.0,484.0,408.0,,27400
2026-03-16,BPII,Batavia Prosperindo Internasio,400.0,460.0,400.0,,7100
2026-03-17,BPII,Batavia Prosperindo Internasio,482.0,525.0,460.0,,581000
2026-03-25,BPII,Batavia Prosperindo Internasio,420.0,466.0,416.0,460.0,54900
2026-03-26,BPII,Batavia Prosperindo Internasio,460.0,545.0,460.0,,25000
2026-03-27,BPII,Batavia Prosperindo Internasio,462.0,520.0,462.0,470.0,24400
2026-03-30,BPII,Batavia Prosperindo Internasio,470.0,500.0,470.0,490.0,49800
2026-03-31,BPII,Batavia Prosperindo Internasio,498.0,498.0,452.0,462.0,4700
2026-04-01,BPII,Batavia Prosperindo Internasio,464.0,464.0,464.0,464.0,8900
2026-04-02,BPII,Batavia Prosperindo Internasio,470.0,470.0,462.0,462.0,7400
2026-04-06,BPII,Batavia Prosperindo Internasio,464.0,500.0,458.0,468.0,8600
2026-04-07,BPII,Batavia Prosperindo Internasio,470.0,476.0,460.0,460.0,5600
2026-04-08,BPII,Batavia Prosperindo Internasio,462.0,500.0,462.0,466.0,3200
2026-04-09,BPII,Batavia Prosperindo Internasio,468.0,468.0,466.0,468.0,900
2026-04-10,BPII,Batavia Prosperindo Internasio,486.0,530.0,462.0,468.0,70900
2026-04-13,BPII,Batavia Prosperindo Internasio,472.0,570.0,472.0,498.0,66500
2026-04-14,BPII,Batavia Prosperindo Internasio,498.0,515.0,468.0,486.0,17500
2026-04-15,BPII,Batavia Prosperindo Internasio,486.0,496.0,476.0,476.0,30100
2026-04-16,BPII,Batavia Prosperindo Internasio,476.0,488.0,464.0,470.0,6700
2026-04-17,BPII,Batavia Prosperindo Internasio,470.0,570.0,462.0,498.0,447600
2026-04-20,BPII,Batavia Prosperindo Internasio,500.0,540.0,466.0,474.0,478700
2026-04-21,BPII,Batavia Prosperindo Internasio,474.0,476.0,462.0,474.0,46300
2026-04-22,BPII,Batavia Prosperindo Internasio,476.0,476.0,460.0,470.0,21700
2026-04-23,BPII,Batavia Prosperindo Internasio,478.0,525.0,468.0,468.0,227300
2026-04-24,BPII,Batavia Prosperindo Internasio,468.0,476.0,460.0,476.0,15900
2026-04-27,BPII,Batavia Prosperindo Internasio,478.0,595.0,476.0,500.0,698900
2026-04-28,BPII,Batavia Prosperindo Internasio,500.0,520.0,440.0,486.0,373700
2026-04-29,BPII,Batavia Prosperindo Internasio,470.0,482.0,468.0,470.0,49300
2026-04-30,BPII,Batavia Prosperindo Internasio,470.0,470.0,462.0,464.0,3800
2026-05-01,BPII,Batavia Prosperindo Internasio,,,,,
2026-05-04,BPII,Batavia Prosperindo Internasio,466.0,480.0,444.0,468.0,64400
2026-05-05,BPII,Batavia Prosperindo Internasio,470.0,470.0,462.0,462.0,29900
2026-05-06,BPII,Batavia Prosperindo Internasio,462.0,490.0,460.0,460.0,211900
2026-05-07,BPII,Batavia Prosperindo Internasio,462.0,498.0,462.0,478.0,85300
2026-05-08,BPII,Batavia Prosperindo Internasio,478.0,490.0,460.0,462.0,19800
2026-05-11,BPII,Batavia Prosperindo Internasio,464.0,484.0,450.0,460.0,39100
2026-05-12,BPII,Batavia Prosperindo Internasio,462.0,484.0,462.0,462.0,9200
2026-05-13,BPII,Batavia Prosperindo Internasio,462.0,474.0,444.0,462.0,46800
2026-05-14,BPII,Batavia Prosperindo Internasio,,,,,
2026-05-15,BPII,Batavia Prosperindo Internasio,,,,,
2026-05-18,BPII,Batavia Prosperindo Internasio,466.0,470.0,460.0,460.0,13200
2026-05-19,BPII,Batavia Prosperindo Internasio,460.0,476.0,460.0,460.0,132200
