date,kode,nama,open,high,low,close,volume
2026-01-22,BSIM,Bank Sinarmas Tbk.,1245.0,1250.0,1125.0,1150.0,143000
2026-01-23,BSIM,Bank Sinarmas Tbk.,1170.0,1210.0,1110.0,1115.0,67800
2026-01-26,BSIM,Bank Sinarmas Tbk.,1115.0,1200.0,1100.0,1200.0,342400
2026-01-27,BSIM,Bank Sinarmas Tbk.,1200.0,1220.0,1100.0,1180.0,95000
2026-01-28,BSIM,Bank Sinarmas Tbk.,1190.0,1190.0,1005.0,1025.0,131000
2026-01-29,BSIM,Bank Sinarmas Tbk.,1025.0,1080.0,875.0,975.0,135200
2026-01-30,BSIM,Bank Sinarmas Tbk.,1040.0,1215.0,1040.0,1200.0,379200
2026-02-02,BSIM,Bank Sinarmas Tbk.,1230.0,1300.0,1040.0,1200.0,271600
2026-02-03,BSIM,Bank Sinarmas Tbk.,1200.0,1300.0,1075.0,1200.0,307600
2026-02-04,BSIM,Bank Sinarmas Tbk.,1200.0,1300.0,1125.0,1185.0,284200
2026-02-05,BSIM,Bank Sinarmas Tbk.,1220.0,1220.0,1125.0,1165.0,148400
2026-02-06,BSIM,Bank Sinarmas Tbk.,1140.0,1200.0,1080.0,1135.0,87800
2026-02-09,BSIM,Bank Sinarmas Tbk.,1135.0,1140.0,1090.0,1140.0,145400
2026-02-10,BSIM,Bank Sinarmas Tbk.,1140.0,1140.0,1100.0,1135.0,66300
2026-02-11,BSIM,Bank Sinarmas Tbk.,1135.0,1150.0,1105.0,1130.0,93800
2026-02-12,BSIM,Bank Sinarmas Tbk.,1130.0,1130.0,1110.0,1115.0,51900
2026-02-13,BSIM,Bank Sinarmas Tbk.,1115.0,1125.0,1100.0,1105.0,39500
2026-02-18,BSIM,Bank Sinarmas Tbk.,1105.0,1105.0,1020.0,1090.0,171000
2026-02-19,BSIM,Bank Sinarmas Tbk.,1095.0,1095.0,1040.0,1065.0,96200
2026-02-20,BSIM,Bank Sinarmas Tbk.,1065.0,1065.0,1040.0,1050.0,52300
2026-02-23,BSIM,Bank Sinarmas Tbk.,1060.0,1100.0,1045.0,1075.0,108100
2026-02-24,BSIM,Bank Sinarmas Tbk.,1065.0,1100.0,1065.0,1080.0,116200
2026-02-25,BSIM,Bank Sinarmas Tbk.,1075.0,1100.0,1040.0,1055.0,116000
2026-02-26,BSIM,Bank Sinarmas Tbk.,1095.0,1100.0,1020.0,1025.0,69800
2026-02-27,BSIM,Bank Sinarmas Tbk.,1030.0,1070.0,1020.0,1045.0,36400
2026-03-02,BSIM,Bank Sinarmas Tbk.,900.0,1040.0,900.0,1005.0,73100
2026-03-03,BSIM,Bank Sinarmas Tbk.,1000.0,1000.0,985.0,990.0,56700
2026-03-04,BSIM,Bank Sinarmas Tbk.,990.0,990.0,860.0,895.0,226500
2026-03-05,BSIM,Bank Sinarmas Tbk.,920.0,980.0,895.0,910.0,51000
2026-03-06,BSIM,Bank Sinarmas Tbk.,910.0,950.0,895.0,905.0,42800
2026-03-09,BSIM,Bank Sinarmas Tbk.,900.0,1110.0,830.0,1040.0,952000
2026-03-10,BSIM,Bank Sinarmas Tbk.,1040.0,1040.0,910.0,925.0,300700
2026-03-11,BSIM,Bank Sinarmas Tbk.,950.0,975.0,910.0,910.0,80900
2026-03-12,BSIM,Bank Sinarmas Tbk.,910.0,915.0,890.0,895.0,34600
2026-03-13,BSIM,Bank Sinarmas Tbk.,895.0,930.0,880.0,,25800
2026-03-16,BSIM,Bank Sinarmas Tbk.,880.0,910.0,835.0,,39700
2026-03-17,BSIM,Bank Sinarmas Tbk.,895.0,895.0,820.0,,108500
2026-03-25,BSIM,Bank Sinarmas Tbk.,855.0,900.0,855.0,890.0,80200
2026-03-26,BSIM,Bank Sinarmas Tbk.,885.0,890.0,865.0,,13900
2026-03-27,BSIM,Bank Sinarmas Tbk.,865.0,1015.0,865.0,895.0,159400
2026-03-30,BSIM,Bank Sinarmas Tbk.,895.0,930.0,855.0,900.0,28600
2026-03-31,BSIM,Bank Sinarmas Tbk.,950.0,950.0,870.0,895.0,49000
2026-04-01,BSIM,Bank Sinarmas Tbk.,895.0,925.0,870.0,915.0,26100
2026-04-02,BSIM,Bank Sinarmas Tbk.,900.0,900.0,880.0,885.0,29300
2026-04-06,BSIM,Bank Sinarmas Tbk.,885.0,905.0,860.0,865.0,56500
2026-04-07,BSIM,Bank Sinarmas Tbk.,870.0,900.0,870.0,870.0,12500
2026-04-08,BSIM,Bank Sinarmas Tbk.,905.0,925.0,870.0,900.0,66400
2026-04-09,BSIM,Bank Sinarmas Tbk.,920.0,920.0,865.0,895.0,57800
2026-04-10,BSIM,Bank Sinarmas Tbk.,895.0,915.0,895.0,895.0,15600
2026-04-13,BSIM,Bank Sinarmas Tbk.,900.0,915.0,875.0,900.0,18100
