date,kode,nama,open,high,low,close,volume
2026-01-22,BTPN,Bank SMBC Indonesia Tbk.,2150.0,2150.0,2100.0,2150.0,27200
2026-01-23,BTPN,Bank SMBC Indonesia Tbk.,2120.0,2310.0,2110.0,2150.0,75100
2026-01-26,BTPN,Bank SMBC Indonesia Tbk.,2150.0,2230.0,2110.0,2230.0,35000
2026-01-27,BTPN,Bank SMBC Indonesia Tbk.,2230.0,2230.0,2130.0,2150.0,20600
2026-01-28,BTPN,Bank SMBC Indonesia Tbk.,2150.0,2150.0,2100.0,2110.0,16500
2026-01-29,BTPN,Bank SMBC Indonesia Tbk.,2110.0,2240.0,2000.0,2240.0,102700
2026-01-30,BTPN,Bank SMBC Indonesia Tbk.,2180.0,2180.0,2000.0,2180.0,134200
2026-02-02,BTPN,Bank SMBC Indonesia Tbk.,2160.0,2160.0,2060.0,2110.0,45700
2026-02-03,BTPN,Bank SMBC Indonesia Tbk.,2200.0,2200.0,2110.0,2160.0,36400
2026-02-04,BTPN,Bank SMBC Indonesia Tbk.,2160.0,2170.0,2100.0,2150.0,20000
2026-02-05,BTPN,Bank SMBC Indonesia Tbk.,2150.0,2160.0,2100.0,2100.0,78500
2026-02-06,BTPN,Bank SMBC Indonesia Tbk.,2100.0,2100.0,2050.0,2080.0,44200
2026-02-09,BTPN,Bank SMBC Indonesia Tbk.,2120.0,2120.0,2080.0,2080.0,24400
2026-02-10,BTPN,Bank SMBC Indonesia Tbk.,2100.0,2110.0,2040.0,2110.0,329400
2026-02-11,BTPN,Bank SMBC Indonesia Tbk.,2100.0,2120.0,2090.0,2100.0,60200
2026-02-12,BTPN,Bank SMBC Indonesia Tbk.,2120.0,2120.0,2100.0,2110.0,4600
2026-02-13,BTPN,Bank SMBC Indonesia Tbk.,2110.0,2120.0,2100.0,2120.0,39800
2026-02-18,BTPN,Bank SMBC Indonesia Tbk.,2120.0,2150.0,2070.0,2120.0,11800
2026-02-19,BTPN,Bank SMBC Indonesia Tbk.,2120.0,2150.0,2100.0,2100.0,6400
2026-02-20,BTPN,Bank SMBC Indonesia Tbk.,2100.0,2140.0,2080.0,2140.0,4800
2026-02-23,BTPN,Bank SMBC Indonesia Tbk.,2140.0,2140.0,2080.0,2120.0,26300
2026-02-24,BTPN,Bank SMBC Indonesia Tbk.,2090.0,2140.0,2090.0,2130.0,7000
2026-02-25,BTPN,Bank SMBC Indonesia Tbk.,2080.0,2140.0,2080.0,2100.0,7100
2026-02-26,BTPN,Bank SMBC Indonesia Tbk.,2110.0,2130.0,2080.0,2090.0,14800
2026-02-27,BTPN,Bank SMBC Indonesia Tbk.,2090.0,2180.0,2090.0,2160.0,19400
