date,kode,nama,open,high,low,close,volume
2026-01-22,BTPS,Bank BTPN Syariah Tbk.,1210.0,1260.0,1205.0,1250.0,6971900
2026-01-23,BTPS,Bank BTPN Syariah Tbk.,1245.0,1275.0,1220.0,1265.0,10230200
2026-01-26,BTPS,Bank BTPN Syariah Tbk.,1265.0,1280.0,1260.0,1270.0,7766000
2026-01-27,BTPS,Bank BTPN Syariah Tbk.,1275.0,1275.0,1250.0,1255.0,7721000
2026-01-28,BTPS,Bank BTPN Syariah Tbk.,1255.0,1260.0,1200.0,1220.0,22286600
2026-01-29,BTPS,Bank BTPN Syariah Tbk.,1220.0,1225.0,1080.0,1215.0,17749000
2026-01-30,BTPS,Bank BTPN Syariah Tbk.,1215.0,1250.0,1200.0,1205.0,8709800
2026-02-02,BTPS,Bank BTPN Syariah Tbk.,1210.0,1250.0,1205.0,1210.0,5901900
2026-02-03,BTPS,Bank BTPN Syariah Tbk.,1205.0,1245.0,1195.0,1235.0,4155900
2026-02-04,BTPS,Bank BTPN Syariah Tbk.,1235.0,1275.0,1235.0,1270.0,4933400
2026-02-05,BTPS,Bank BTPN Syariah Tbk.,1270.0,1280.0,1245.0,1260.0,7986800
2026-02-06,BTPS,Bank BTPN Syariah Tbk.,1245.0,1260.0,1230.0,1245.0,6642800
2026-02-09,BTPS,Bank BTPN Syariah Tbk.,1250.0,1255.0,1220.0,1225.0,4510200
2026-02-10,BTPS,Bank BTPN Syariah Tbk.,1230.0,1250.0,1230.0,1240.0,7068000
2026-02-11,BTPS,Bank BTPN Syariah Tbk.,1245.0,1250.0,1210.0,1225.0,13883800
2026-02-12,BTPS,Bank BTPN Syariah Tbk.,1230.0,1235.0,1210.0,1215.0,14247400
2026-02-13,BTPS,Bank BTPN Syariah Tbk.,1220.0,1220.0,1200.0,1210.0,17623600
2026-02-18,BTPS,Bank BTPN Syariah Tbk.,1220.0,1220.0,1180.0,1190.0,19924700
2026-02-19,BTPS,Bank BTPN Syariah Tbk.,1190.0,1205.0,1185.0,1190.0,14308100
2026-02-20,BTPS,Bank BTPN Syariah Tbk.,1190.0,1205.0,1190.0,1205.0,7593500
