date,kode,nama,open,high,low,close,volume
2026-01-22,CASA,Capital Financial Indonesia Tb,1560.0,1580.0,1515.0,1580.0,1037300
2026-01-23,CASA,Capital Financial Indonesia Tb,1580.0,1580.0,1450.0,1580.0,1542300
2026-01-26,CASA,Capital Financial Indonesia Tb,1525.0,1570.0,1525.0,1570.0,207600
2026-01-27,CASA,Capital Financial Indonesia Tb,1570.0,1570.0,1530.0,1570.0,36800
2026-01-28,CASA,Capital Financial Indonesia Tb,1570.0,1570.0,1535.0,1550.0,81900
2026-01-29,CASA,Capital Financial Indonesia Tb,1530.0,1545.0,1490.0,1505.0,543500
2026-01-30,CASA,Capital Financial Indonesia Tb,1530.0,1560.0,1500.0,1545.0,48100
2026-02-02,CASA,Capital Financial Indonesia Tb,1545.0,1545.0,1420.0,1420.0,310000
2026-02-03,CASA,Capital Financial Indonesia Tb,1420.0,1475.0,1420.0,1420.0,58900
2026-02-04,CASA,Capital Financial Indonesia Tb,1425.0,1425.0,1315.0,1420.0,153500
2026-02-05,CASA,Capital Financial Indonesia Tb,1425.0,1425.0,1420.0,1420.0,12800
2026-02-06,CASA,Capital Financial Indonesia Tb,1415.0,1415.0,1325.0,1400.0,150800
2026-02-09,CASA,Capital Financial Indonesia Tb,1370.0,1400.0,1335.0,1385.0,301400
2026-02-10,CASA,Capital Financial Indonesia Tb,1385.0,1650.0,1370.0,1515.0,487400
