date,kode,nama,open,high,low,close,volume
2026-01-22,CFIN,Clipan Finance Indonesia Tbk.,332.0,334.0,328.0,332.0,1854800
2026-01-23,CFIN,Clipan Finance Indonesia Tbk.,332.0,334.0,330.0,334.0,1362000
2026-01-26,CFIN,Clipan Finance Indonesia Tbk.,334.0,336.0,332.0,334.0,1802400
2026-01-27,CFIN,Clipan Finance Indonesia Tbk.,336.0,336.0,332.0,332.0,1186600
2026-01-28,CFIN,Clipan Finance Indonesia Tbk.,332.0,332.0,310.0,326.0,10618200
2026-01-29,CFIN,Clipan Finance Indonesia Tbk.,324.0,324.0,290.0,318.0,7260500
2026-01-30,CFIN,Clipan Finance Indonesia Tbk.,318.0,326.0,318.0,324.0,1449000
2026-02-02,CFIN,Clipan Finance Indonesia Tbk.,320.0,322.0,312.0,318.0,2524900
2026-02-03,CFIN,Clipan Finance Indonesia Tbk.,316.0,326.0,316.0,324.0,2420900
2026-02-04,CFIN,Clipan Finance Indonesia Tbk.,324.0,328.0,320.0,324.0,840800
2026-02-05,CFIN,Clipan Finance Indonesia Tbk.,324.0,326.0,322.0,324.0,824400
2026-02-06,CFIN,Clipan Finance Indonesia Tbk.,320.0,324.0,320.0,322.0,929500
2026-02-09,CFIN,Clipan Finance Indonesia Tbk.,322.0,324.0,318.0,318.0,2020400
2026-02-10,CFIN,Clipan Finance Indonesia Tbk.,320.0,324.0,318.0,322.0,1239200
2026-02-11,CFIN,Clipan Finance Indonesia Tbk.,324.0,328.0,322.0,326.0,978900
2026-02-12,CFIN,Clipan Finance Indonesia Tbk.,328.0,328.0,324.0,326.0,907300
2026-02-13,CFIN,Clipan Finance Indonesia Tbk.,326.0,326.0,322.0,326.0,1059200
2026-02-18,CFIN,Clipan Finance Indonesia Tbk.,324.0,326.0,322.0,322.0,1335300
2026-02-19,CFIN,Clipan Finance Indonesia Tbk.,322.0,328.0,322.0,328.0,1468500
2026-02-20,CFIN,Clipan Finance Indonesia Tbk.,328.0,334.0,326.0,328.0,1359500
2026-02-23,CFIN,Clipan Finance Indonesia Tbk.,328.0,334.0,328.0,330.0,1071400
2026-02-24,CFIN,Clipan Finance Indonesia Tbk.,330.0,334.0,328.0,330.0,1389300
2026-02-25,CFIN,Clipan Finance Indonesia Tbk.,330.0,334.0,328.0,332.0,1574100
2026-02-26,CFIN,Clipan Finance Indonesia Tbk.,334.0,352.0,334.0,346.0,21398000
2026-02-27,CFIN,Clipan Finance Indonesia Tbk.,346.0,350.0,340.0,342.0,3959500
2026-03-02,CFIN,Clipan Finance Indonesia Tbk.,338.0,340.0,330.0,330.0,4010700
2026-03-03,CFIN,Clipan Finance Indonesia Tbk.,330.0,338.0,330.0,334.0,3157900
2026-03-04,CFIN,Clipan Finance Indonesia Tbk.,338.0,338.0,316.0,324.0,5436200
2026-03-05,CFIN,Clipan Finance Indonesia Tbk.,324.0,332.0,324.0,328.0,1042800
2026-03-06,CFIN,Clipan Finance Indonesia Tbk.,330.0,330.0,322.0,330.0,1327500
2026-03-09,CFIN,Clipan Finance Indonesia Tbk.,330.0,330.0,300.0,318.0,3027800
2026-03-10,CFIN,Clipan Finance Indonesia Tbk.,320.0,326.0,320.0,326.0,1919900
2026-03-11,CFIN,Clipan Finance Indonesia Tbk.,326.0,330.0,324.0,328.0,1870700
2026-03-12,CFIN,Clipan Finance Indonesia Tbk.,328.0,328.0,320.0,326.0,1533600
2026-03-13,CFIN,Clipan Finance Indonesia Tbk.,326.0,328.0,322.0,,1008700
2026-03-16,CFIN,Clipan Finance Indonesia Tbk.,324.0,326.0,316.0,,1749200
2026-03-17,CFIN,Clipan Finance Indonesia Tbk.,318.0,326.0,318.0,,1189300
2026-03-25,CFIN,Clipan Finance Indonesia Tbk.,324.0,328.0,322.0,326.0,1573700
2026-03-26,CFIN,Clipan Finance Indonesia Tbk.,326.0,330.0,324.0,,1528700
2026-03-27,CFIN,Clipan Finance Indonesia Tbk.,328.0,330.0,324.0,328.0,610400
2026-03-30,CFIN,Clipan Finance Indonesia Tbk.,328.0,330.0,326.0,330.0,1122500
2026-03-31,CFIN,Clipan Finance Indonesia Tbk.,330.0,332.0,326.0,328.0,1271100
2026-04-01,CFIN,Clipan Finance Indonesia Tbk.,328.0,332.0,328.0,330.0,583900
