date,kode,nama,open,high,low,close,volume
2026-01-22,COIN,Indokripto Koin Semesta Tbk.,2900.0,2940.0,2720.0,2750.0,17752300
2026-01-23,COIN,Indokripto Koin Semesta Tbk.,2750.0,2750.0,2590.0,2720.0,17772500
2026-01-26,COIN,Indokripto Koin Semesta Tbk.,2730.0,2890.0,2600.0,2610.0,23079700
2026-01-27,COIN,Indokripto Koin Semesta Tbk.,2610.0,2710.0,2480.0,2670.0,19596900
2026-01-28,COIN,Indokripto Koin Semesta Tbk.,2270.0,2410.0,2270.0,2270.0,45976500
2026-01-29,COIN,Indokripto Koin Semesta Tbk.,1940.0,2210.0,1930.0,2080.0,72545600
2026-01-30,COIN,Indokripto Koin Semesta Tbk.,2100.0,2420.0,2070.0,2410.0,40589700
2026-02-02,COIN,Indokripto Koin Semesta Tbk.,2410.0,2420.0,2050.0,2050.0,34156000
2026-02-03,COIN,Indokripto Koin Semesta Tbk.,1755.0,2030.0,1745.0,1915.0,78788200
2026-02-04,COIN,Indokripto Koin Semesta Tbk.,1920.0,2060.0,1910.0,1965.0,23089400
2026-02-05,COIN,Indokripto Koin Semesta Tbk.,1970.0,2240.0,1970.0,2120.0,36404200
2026-02-06,COIN,Indokripto Koin Semesta Tbk.,1950.0,1990.0,1805.0,1805.0,67384200
