date,kode,nama,open,high,low,close,volume
2026-01-22,DEFI,Danasupra Erapacific Tbk.,270.0,270.0,246.0,262.0,355500
2026-01-23,DEFI,Danasupra Erapacific Tbk.,250.0,260.0,226.0,246.0,132700
2026-01-26,DEFI,Danasupra Erapacific Tbk.,248.0,258.0,234.0,242.0,249300
2026-01-27,DEFI,Danasupra Erapacific Tbk.,246.0,246.0,228.0,234.0,70300
2026-01-28,DEFI,Danasupra Erapacific Tbk.,234.0,234.0,220.0,220.0,209800
2026-01-29,DEFI,Danasupra Erapacific Tbk.,220.0,274.0,187.0,195.0,2866400
2026-01-30,DEFI,Danasupra Erapacific Tbk.,196.0,220.0,190.0,199.0,397800
2026-02-02,DEFI,Danasupra Erapacific Tbk.,199.0,199.0,189.0,189.0,76300
2026-02-03,DEFI,Danasupra Erapacific Tbk.,190.0,204.0,186.0,186.0,193500
2026-02-04,DEFI,Danasupra Erapacific Tbk.,187.0,197.0,186.0,193.0,132800
2026-02-05,DEFI,Danasupra Erapacific Tbk.,197.0,200.0,187.0,193.0,54700
2026-02-06,DEFI,Danasupra Erapacific Tbk.,193.0,193.0,187.0,187.0,20200
2026-02-09,DEFI,Danasupra Erapacific Tbk.,191.0,191.0,180.0,182.0,62200
2026-02-10,DEFI,Danasupra Erapacific Tbk.,183.0,244.0,180.0,187.0,8667300
2026-02-11,DEFI,Danasupra Erapacific Tbk.,185.0,185.0,169.0,172.0,9515600
