date,kode,nama,open,high,low,close,volume
2026-01-22,FUJI,Fuji Finance Indonesia Tbk.,695.0,700.0,675.0,700.0,348700
2026-01-23,FUJI,Fuji Finance Indonesia Tbk.,685.0,700.0,670.0,695.0,369600
2026-01-26,FUJI,Fuji Finance Indonesia Tbk.,690.0,705.0,670.0,690.0,887900
2026-01-27,FUJI,Fuji Finance Indonesia Tbk.,690.0,690.0,670.0,670.0,148600
2026-01-28,FUJI,Fuji Finance Indonesia Tbk.,670.0,670.0,570.0,595.0,5279400
2026-01-29,FUJI,Fuji Finance Indonesia Tbk.,570.0,610.0,510.0,600.0,652300
2026-01-30,FUJI,Fuji Finance Indonesia Tbk.,600.0,620.0,570.0,615.0,650000
2026-02-02,FUJI,Fuji Finance Indonesia Tbk.,615.0,615.0,525.0,525.0,2102200
2026-02-03,FUJI,Fuji Finance Indonesia Tbk.,530.0,655.0,500.0,650.0,9154800
2026-02-04,FUJI,Fuji Finance Indonesia Tbk.,640.0,640.0,555.0,555.0,2062100
2026-02-05,FUJI,Fuji Finance Indonesia Tbk.,555.0,570.0,490.0,496.0,825900
2026-02-06,FUJI,Fuji Finance Indonesia Tbk.,496.0,550.0,450.0,474.0,698300
2026-02-09,FUJI,Fuji Finance Indonesia Tbk.,478.0,478.0,444.0,466.0,9794900
2026-02-10,FUJI,Fuji Finance Indonesia Tbk.,472.0,500.0,466.0,482.0,652700
2026-02-11,FUJI,Fuji Finance Indonesia Tbk.,482.0,525.0,468.0,482.0,848900
2026-02-12,FUJI,Fuji Finance Indonesia Tbk.,470.0,500.0,470.0,492.0,23331500
2026-02-13,FUJI,Fuji Finance Indonesia Tbk.,500.0,500.0,470.0,486.0,318800
2026-02-18,FUJI,Fuji Finance Indonesia Tbk.,488.0,488.0,450.0,482.0,219900
2026-02-19,FUJI,Fuji Finance Indonesia Tbk.,482.0,494.0,476.0,476.0,4489700
2026-02-20,FUJI,Fuji Finance Indonesia Tbk.,476.0,505.0,464.0,470.0,13903900
2026-02-23,FUJI,Fuji Finance Indonesia Tbk.,474.0,474.0,438.0,440.0,1966100
2026-02-24,FUJI,Fuji Finance Indonesia Tbk.,442.0,450.0,418.0,424.0,3687000
2026-02-25,FUJI,Fuji Finance Indonesia Tbk.,424.0,424.0,398.0,398.0,9854600
2026-02-26,FUJI,Fuji Finance Indonesia Tbk.,406.0,436.0,360.0,398.0,1562300
2026-02-27,FUJI,Fuji Finance Indonesia Tbk.,398.0,398.0,360.0,366.0,4086300
2026-03-02,FUJI,Fuji Finance Indonesia Tbk.,366.0,366.0,318.0,340.0,718700
2026-03-03,FUJI,Fuji Finance Indonesia Tbk.,340.0,402.0,318.0,402.0,2902000
2026-03-04,FUJI,Fuji Finance Indonesia Tbk.,402.0,402.0,344.0,378.0,710000
2026-03-05,FUJI,Fuji Finance Indonesia Tbk.,378.0,384.0,360.0,362.0,11599600
2026-03-06,FUJI,Fuji Finance Indonesia Tbk.,374.0,374.0,350.0,360.0,1556200
2026-03-09,FUJI,Fuji Finance Indonesia Tbk.,360.0,360.0,306.0,348.0,13148900
2026-03-10,FUJI,Fuji Finance Indonesia Tbk.,348.0,350.0,318.0,332.0,9232800
2026-03-11,FUJI,Fuji Finance Indonesia Tbk.,334.0,340.0,322.0,334.0,324600
2026-03-12,FUJI,Fuji Finance Indonesia Tbk.,334.0,338.0,314.0,314.0,8053100
2026-03-13,FUJI,Fuji Finance Indonesia Tbk.,314.0,330.0,292.0,,18429400
2026-03-16,FUJI,Fuji Finance Indonesia Tbk.,306.0,342.0,282.0,,361000
2026-03-17,FUJI,Fuji Finance Indonesia Tbk.,298.0,320.0,292.0,,8316400
