date,kode,nama,open,high,low,close,volume
2026-01-22,LIFE,MSIG Life Insurance Indonesia,8800.0,9000.0,8325.0,8350.0,2500
2026-01-23,LIFE,MSIG Life Insurance Indonesia,8375.0,8375.0,8150.0,8225.0,2000
2026-01-26,LIFE,MSIG Life Insurance Indonesia,8225.0,8250.0,8175.0,8200.0,2800
2026-01-27,LIFE,MSIG Life Insurance Indonesia,8600.0,8650.0,8200.0,8200.0,6600
2026-01-28,LIFE,MSIG Life Insurance Indonesia,8225.0,8225.0,7800.0,8025.0,9500
2026-01-29,LIFE,MSIG Life Insurance Indonesia,7025.0,7950.0,6850.0,7950.0,20100
2026-01-30,LIFE,MSIG Life Insurance Indonesia,7975.0,7975.0,7550.0,7700.0,11900
2026-02-02,LIFE,MSIG Life Insurance Indonesia,7650.0,7650.0,7400.0,7425.0,1700
2026-02-03,LIFE,MSIG Life Insurance Indonesia,7400.0,7975.0,7000.0,7800.0,5700
2026-02-04,LIFE,MSIG Life Insurance Indonesia,7800.0,7800.0,7775.0,7775.0,1000
2026-02-05,LIFE,MSIG Life Insurance Indonesia,7400.0,7875.0,7075.0,7625.0,3600
2026-02-06,LIFE,MSIG Life Insurance Indonesia,7800.0,7800.0,7675.0,7675.0,2000
2026-02-09,LIFE,MSIG Life Insurance Indonesia,7575.0,7575.0,7500.0,7500.0,1800
2026-02-10,LIFE,MSIG Life Insurance Indonesia,7375.0,9000.0,7200.0,8500.0,42600
2026-02-11,LIFE,MSIG Life Insurance Indonesia,8475.0,8700.0,7775.0,8250.0,48600
2026-02-12,LIFE,MSIG Life Insurance Indonesia,8000.0,8100.0,8000.0,8100.0,2100
2026-02-13,LIFE,MSIG Life Insurance Indonesia,8050.0,8050.0,7900.0,7900.0,1000
2026-02-18,LIFE,MSIG Life Insurance Indonesia,7900.0,7900.0,7650.0,7900.0,6600
2026-02-19,LIFE,MSIG Life Insurance Indonesia,7900.0,7900.0,7700.0,7700.0,2300
