date,kode,nama,open,high,low,close,volume
2026-01-22,LPGI,Lippo General Insurance Tbk.,700.0,700.0,660.0,700.0,137200
2026-01-23,LPGI,Lippo General Insurance Tbk.,710.0,800.0,635.0,705.0,1187000
2026-01-26,LPGI,Lippo General Insurance Tbk.,720.0,770.0,675.0,700.0,156900
2026-01-27,LPGI,Lippo General Insurance Tbk.,700.0,710.0,660.0,685.0,81500
2026-01-28,LPGI,Lippo General Insurance Tbk.,685.0,700.0,610.0,655.0,99400
2026-01-29,LPGI,Lippo General Insurance Tbk.,655.0,700.0,560.0,685.0,237600
2026-01-30,LPGI,Lippo General Insurance Tbk.,675.0,685.0,630.0,660.0,71600
2026-02-02,LPGI,Lippo General Insurance Tbk.,660.0,665.0,615.0,625.0,73700
2026-02-03,LPGI,Lippo General Insurance Tbk.,635.0,780.0,620.0,640.0,456400
2026-02-04,LPGI,Lippo General Insurance Tbk.,625.0,645.0,590.0,605.0,105200
2026-02-05,LPGI,Lippo General Insurance Tbk.,600.0,605.0,575.0,605.0,182000
2026-02-06,LPGI,Lippo General Insurance Tbk.,600.0,600.0,575.0,600.0,33200
2026-02-09,LPGI,Lippo General Insurance Tbk.,600.0,670.0,585.0,600.0,80900
2026-02-10,LPGI,Lippo General Insurance Tbk.,600.0,660.0,585.0,610.0,15600
2026-02-11,LPGI,Lippo General Insurance Tbk.,610.0,630.0,595.0,610.0,39500
2026-02-12,LPGI,Lippo General Insurance Tbk.,610.0,625.0,590.0,600.0,50300
2026-02-13,LPGI,Lippo General Insurance Tbk.,605.0,610.0,590.0,605.0,29400
2026-02-18,LPGI,Lippo General Insurance Tbk.,610.0,615.0,585.0,605.0,22000
2026-02-19,LPGI,Lippo General Insurance Tbk.,620.0,620.0,560.0,600.0,39300
2026-02-20,LPGI,Lippo General Insurance Tbk.,595.0,630.0,585.0,630.0,71500
2026-02-23,LPGI,Lippo General Insurance Tbk.,630.0,640.0,605.0,630.0,27200
2026-02-24,LPGI,Lippo General Insurance Tbk.,645.0,645.0,595.0,640.0,58200
