date,kode,nama,open,high,low,close,volume
2026-01-22,LPPS,Lenox Pasifik Investama Tbk.,112.0,129.0,111.0,127.0,88524200
2026-01-23,LPPS,Lenox Pasifik Investama Tbk.,122.0,126.0,111.0,112.0,29339200
2026-01-26,LPPS,Lenox Pasifik Investama Tbk.,112.0,118.0,111.0,111.0,7321300
2026-01-27,LPPS,Lenox Pasifik Investama Tbk.,111.0,115.0,108.0,109.0,5339500
2026-01-28,LPPS,Lenox Pasifik Investama Tbk.,106.0,107.0,93.0,99.0,11528400
2026-01-29,LPPS,Lenox Pasifik Investama Tbk.,99.0,99.0,85.0,95.0,10045000
2026-01-30,LPPS,Lenox Pasifik Investama Tbk.,96.0,102.0,96.0,101.0,2724200
2026-02-02,LPPS,Lenox Pasifik Investama Tbk.,101.0,102.0,86.0,86.0,4791900
2026-02-03,LPPS,Lenox Pasifik Investama Tbk.,88.0,92.0,83.0,88.0,3257900
2026-02-04,LPPS,Lenox Pasifik Investama Tbk.,89.0,91.0,86.0,90.0,1556600
2026-02-05,LPPS,Lenox Pasifik Investama Tbk.,90.0,92.0,89.0,90.0,1728000
2026-02-06,LPPS,Lenox Pasifik Investama Tbk.,91.0,91.0,87.0,88.0,1378300
2026-02-09,LPPS,Lenox Pasifik Investama Tbk.,88.0,94.0,88.0,90.0,1318300
2026-02-10,LPPS,Lenox Pasifik Investama Tbk.,90.0,95.0,90.0,92.0,1163600
2026-02-11,LPPS,Lenox Pasifik Investama Tbk.,94.0,96.0,91.0,96.0,3161300
2026-02-12,LPPS,Lenox Pasifik Investama Tbk.,96.0,98.0,93.0,96.0,3064700
2026-02-13,LPPS,Lenox Pasifik Investama Tbk.,97.0,98.0,93.0,95.0,1409200
2026-02-18,LPPS,Lenox Pasifik Investama Tbk.,94.0,101.0,94.0,95.0,4363100
2026-02-19,LPPS,Lenox Pasifik Investama Tbk.,96.0,108.0,94.0,100.0,11317200
2026-02-20,LPPS,Lenox Pasifik Investama Tbk.,100.0,101.0,98.0,98.0,1475000
2026-02-23,LPPS,Lenox Pasifik Investama Tbk.,98.0,100.0,97.0,97.0,1273700
2026-02-24,LPPS,Lenox Pasifik Investama Tbk.,98.0,105.0,97.0,99.0,5780600
2026-02-25,LPPS,Lenox Pasifik Investama Tbk.,100.0,100.0,98.0,98.0,1615900
2026-02-26,LPPS,Lenox Pasifik Investama Tbk.,99.0,99.0,95.0,95.0,2319700
2026-02-27,LPPS,Lenox Pasifik Investama Tbk.,95.0,98.0,94.0,95.0,897400
2026-03-02,LPPS,Lenox Pasifik Investama Tbk.,91.0,94.0,89.0,89.0,1455600
2026-03-03,LPPS,Lenox Pasifik Investama Tbk.,88.0,93.0,86.0,89.0,1250200
2026-03-04,LPPS,Lenox Pasifik Investama Tbk.,90.0,90.0,79.0,85.0,5285000
2026-03-05,LPPS,Lenox Pasifik Investama Tbk.,82.0,87.0,82.0,86.0,850900
2026-03-06,LPPS,Lenox Pasifik Investama Tbk.,86.0,86.0,78.0,84.0,2090600
2026-03-09,LPPS,Lenox Pasifik Investama Tbk.,83.0,84.0,76.0,76.0,2256400
2026-03-10,LPPS,Lenox Pasifik Investama Tbk.,80.0,96.0,78.0,82.0,10050300
2026-03-11,LPPS,Lenox Pasifik Investama Tbk.,82.0,83.0,80.0,80.0,1728600
2026-03-12,LPPS,Lenox Pasifik Investama Tbk.,80.0,81.0,78.0,80.0,1765600
2026-03-13,LPPS,Lenox Pasifik Investama Tbk.,79.0,88.0,78.0,,6145500
2026-03-16,LPPS,Lenox Pasifik Investama Tbk.,80.0,80.0,73.0,,1184500
2026-03-17,LPPS,Lenox Pasifik Investama Tbk.,77.0,79.0,75.0,,1140300
2026-03-25,LPPS,Lenox Pasifik Investama Tbk.,76.0,83.0,75.0,82.0,2573100
2026-03-26,LPPS,Lenox Pasifik Investama Tbk.,80.0,82.0,78.0,,592100
2026-03-27,LPPS,Lenox Pasifik Investama Tbk.,79.0,80.0,77.0,79.0,615700
2026-03-30,LPPS,Lenox Pasifik Investama Tbk.,77.0,80.0,76.0,79.0,379700
2026-03-31,LPPS,Lenox Pasifik Investama Tbk.,77.0,80.0,77.0,80.0,775100
2026-04-01,LPPS,Lenox Pasifik Investama Tbk.,81.0,82.0,79.0,81.0,1391600
2026-04-02,LPPS,Lenox Pasifik Investama Tbk.,80.0,82.0,80.0,80.0,983200
2026-04-06,LPPS,Lenox Pasifik Investama Tbk.,80.0,80.0,79.0,80.0,592800
2026-04-07,LPPS,Lenox Pasifik Investama Tbk.,80.0,81.0,78.0,78.0,924900
2026-04-08,LPPS,Lenox Pasifik Investama Tbk.,78.0,85.0,78.0,82.0,2806000
2026-04-09,LPPS,Lenox Pasifik Investama Tbk.,81.0,83.0,78.0,83.0,1302900
2026-04-10,LPPS,Lenox Pasifik Investama Tbk.,83.0,85.0,82.0,84.0,2130400
2026-04-13,LPPS,Lenox Pasifik Investama Tbk.,84.0,84.0,82.0,83.0,990700
2026-04-14,LPPS,Lenox Pasifik Investama Tbk.,83.0,85.0,83.0,84.0,936500
2026-04-15,LPPS,Lenox Pasifik Investama Tbk.,83.0,98.0,83.0,93.0,8651800
2026-04-16,LPPS,Lenox Pasifik Investama Tbk.,93.0,97.0,90.0,91.0,4318800
2026-04-17,LPPS,Lenox Pasifik Investama Tbk.,94.0,100.0,91.0,92.0,5855500
2026-04-20,LPPS,Lenox Pasifik Investama Tbk.,93.0,94.0,86.0,91.0,3133200
2026-04-21,LPPS,Lenox Pasifik Investama Tbk.,91.0,95.0,90.0,92.0,1477700
2026-04-22,LPPS,Lenox Pasifik Investama Tbk.,93.0,93.0,89.0,91.0,1186100
2026-04-23,LPPS,Lenox Pasifik Investama Tbk.,92.0,94.0,88.0,91.0,1060100
2026-04-24,LPPS,Lenox Pasifik Investama Tbk.,91.0,94.0,85.0,86.0,1467700
2026-04-27,LPPS,Lenox Pasifik Investama Tbk.,87.0,93.0,85.0,89.0,1015500
2026-04-28,LPPS,Lenox Pasifik Investama Tbk.,90.0,90.0,86.0,89.0,706800
2026-04-29,LPPS,Lenox Pasifik Investama Tbk.,89.0,89.0,87.0,88.0,911700
2026-04-30,LPPS,Lenox Pasifik Investama Tbk.,88.0,90.0,84.0,88.0,687500
2026-05-01,LPPS,Lenox Pasifik Investama Tbk.,,,,,
2026-05-04,LPPS,Lenox Pasifik Investama Tbk.,86.0,87.0,84.0,86.0,958700
2026-05-05,LPPS,Lenox Pasifik Investama Tbk.,86.0,87.0,83.0,86.0,419400
2026-05-06,LPPS,Lenox Pasifik Investama Tbk.,85.0,93.0,84.0,86.0,4008100
2026-05-07,LPPS,Lenox Pasifik Investama Tbk.,87.0,100.0,86.0,90.0,21910300
2026-05-08,LPPS,Lenox Pasifik Investama Tbk.,88.0,90.0,82.0,85.0,3793700
2026-05-11,LPPS,Lenox Pasifik Investama Tbk.,85.0,96.0,81.0,84.0,11258800
2026-05-12,LPPS,Lenox Pasifik Investama Tbk.,85.0,86.0,81.0,82.0,1312700
2026-05-13,LPPS,Lenox Pasifik Investama Tbk.,82.0,84.0,80.0,83.0,1040500
2026-05-14,LPPS,Lenox Pasifik Investama Tbk.,,,,,
