date,kode,nama,open,high,low,close,volume
2026-01-22,MAYA,Bank Mayapada Internasional Tb,240.0,246.0,238.0,244.0,3559300
2026-01-23,MAYA,Bank Mayapada Internasional Tb,244.0,244.0,236.0,238.0,3895800
2026-01-26,MAYA,Bank Mayapada Internasional Tb,238.0,238.0,234.0,236.0,3104000
2026-01-27,MAYA,Bank Mayapada Internasional Tb,238.0,240.0,232.0,234.0,3470000
2026-01-28,MAYA,Bank Mayapada Internasional Tb,232.0,232.0,220.0,222.0,10717000
2026-01-29,MAYA,Bank Mayapada Internasional Tb,212.0,218.0,189.0,218.0,13345700
2026-01-30,MAYA,Bank Mayapada Internasional Tb,218.0,234.0,214.0,230.0,2573500
2026-02-02,MAYA,Bank Mayapada Internasional Tb,234.0,234.0,208.0,214.0,2920500
2026-02-03,MAYA,Bank Mayapada Internasional Tb,214.0,228.0,208.0,228.0,2255300
2026-02-04,MAYA,Bank Mayapada Internasional Tb,228.0,228.0,216.0,222.0,2984600
2026-02-05,MAYA,Bank Mayapada Internasional Tb,222.0,226.0,220.0,222.0,1253500
2026-02-06,MAYA,Bank Mayapada Internasional Tb,222.0,222.0,214.0,216.0,2159100
2026-02-09,MAYA,Bank Mayapada Internasional Tb,216.0,218.0,212.0,214.0,752400
2026-02-10,MAYA,Bank Mayapada Internasional Tb,216.0,224.0,216.0,218.0,1302800
2026-02-11,MAYA,Bank Mayapada Internasional Tb,220.0,222.0,218.0,220.0,3445700
2026-02-12,MAYA,Bank Mayapada Internasional Tb,220.0,224.0,218.0,222.0,767200
2026-02-13,MAYA,Bank Mayapada Internasional Tb,222.0,222.0,216.0,216.0,1434800
2026-02-18,MAYA,Bank Mayapada Internasional Tb,218.0,220.0,216.0,218.0,2743700
2026-02-19,MAYA,Bank Mayapada Internasional Tb,220.0,226.0,216.0,220.0,2196900
2026-02-20,MAYA,Bank Mayapada Internasional Tb,222.0,224.0,218.0,224.0,2107500
2026-02-23,MAYA,Bank Mayapada Internasional Tb,226.0,226.0,222.0,224.0,1012300
2026-02-24,MAYA,Bank Mayapada Internasional Tb,226.0,226.0,218.0,222.0,3524700
2026-02-25,MAYA,Bank Mayapada Internasional Tb,222.0,224.0,216.0,222.0,1544300
2026-02-26,MAYA,Bank Mayapada Internasional Tb,222.0,222.0,214.0,218.0,3392300
