date,kode,nama,open,high,low,close,volume
2026-01-22,MCOR,Bank China Construction Bank I,77.0,79.0,76.0,77.0,13196900
2026-01-23,MCOR,Bank China Construction Bank I,78.0,78.0,76.0,77.0,8380800
2026-01-26,MCOR,Bank China Construction Bank I,77.0,80.0,76.0,77.0,13783600
2026-01-27,MCOR,Bank China Construction Bank I,77.0,80.0,76.0,77.0,16869200
2026-01-28,MCOR,Bank China Construction Bank I,77.0,77.0,73.0,73.0,27907900
2026-01-29,MCOR,Bank China Construction Bank I,73.0,74.0,68.0,74.0,30744500
2026-01-30,MCOR,Bank China Construction Bank I,74.0,76.0,73.0,75.0,5807400
2026-02-02,MCOR,Bank China Construction Bank I,76.0,76.0,71.0,73.0,16876000
2026-02-03,MCOR,Bank China Construction Bank I,73.0,76.0,71.0,74.0,7743200
2026-02-04,MCOR,Bank China Construction Bank I,75.0,75.0,73.0,74.0,5032700
2026-02-05,MCOR,Bank China Construction Bank I,74.0,75.0,74.0,74.0,2275200
2026-02-06,MCOR,Bank China Construction Bank I,73.0,74.0,72.0,72.0,7263900
2026-02-09,MCOR,Bank China Construction Bank I,72.0,74.0,72.0,74.0,5870700
2026-02-10,MCOR,Bank China Construction Bank I,74.0,75.0,73.0,74.0,3690800
2026-02-11,MCOR,Bank China Construction Bank I,74.0,79.0,73.0,76.0,16826500
2026-02-12,MCOR,Bank China Construction Bank I,77.0,78.0,75.0,77.0,12842500
2026-02-13,MCOR,Bank China Construction Bank I,77.0,77.0,75.0,75.0,6148400
2026-02-18,MCOR,Bank China Construction Bank I,75.0,76.0,74.0,76.0,1478800
2026-02-19,MCOR,Bank China Construction Bank I,76.0,76.0,75.0,76.0,3574800
2026-02-20,MCOR,Bank China Construction Bank I,76.0,76.0,74.0,76.0,3124300
2026-02-23,MCOR,Bank China Construction Bank I,76.0,76.0,74.0,76.0,4225200
2026-02-24,MCOR,Bank China Construction Bank I,76.0,76.0,75.0,75.0,5328800
2026-02-25,MCOR,Bank China Construction Bank I,75.0,77.0,75.0,75.0,10376600
2026-02-26,MCOR,Bank China Construction Bank I,75.0,76.0,74.0,74.0,2293900
2026-02-27,MCOR,Bank China Construction Bank I,74.0,75.0,73.0,73.0,5696200
2026-03-02,MCOR,Bank China Construction Bank I,72.0,74.0,72.0,73.0,8444900
2026-03-03,MCOR,Bank China Construction Bank I,73.0,74.0,72.0,73.0,3176900
2026-03-04,MCOR,Bank China Construction Bank I,73.0,73.0,70.0,72.0,11265900
2026-03-05,MCOR,Bank China Construction Bank I,72.0,73.0,71.0,73.0,4557200
2026-03-06,MCOR,Bank China Construction Bank I,72.0,73.0,71.0,71.0,5688100
2026-03-09,MCOR,Bank China Construction Bank I,71.0,71.0,67.0,68.0,12923100
2026-03-10,MCOR,Bank China Construction Bank I,69.0,70.0,69.0,69.0,1069500
2026-03-11,MCOR,Bank China Construction Bank I,69.0,79.0,69.0,74.0,49258500
2026-03-12,MCOR,Bank China Construction Bank I,74.0,75.0,71.0,72.0,6712800
2026-03-13,MCOR,Bank China Construction Bank I,72.0,74.0,70.0,,8358700
2026-03-16,MCOR,Bank China Construction Bank I,71.0,71.0,67.0,,7930300
2026-03-17,MCOR,Bank China Construction Bank I,69.0,70.0,68.0,,2539400
2026-03-25,MCOR,Bank China Construction Bank I,70.0,71.0,69.0,71.0,5418000
2026-03-26,MCOR,Bank China Construction Bank I,71.0,71.0,68.0,,8692400
2026-03-27,MCOR,Bank China Construction Bank I,70.0,70.0,69.0,69.0,2334800
2026-03-30,MCOR,Bank China Construction Bank I,69.0,70.0,68.0,70.0,3861700
2026-03-31,MCOR,Bank China Construction Bank I,70.0,70.0,68.0,68.0,2829000
2026-04-01,MCOR,Bank China Construction Bank I,69.0,71.0,69.0,70.0,5964400
2026-04-02,MCOR,Bank China Construction Bank I,69.0,70.0,69.0,69.0,2630800
2026-04-06,MCOR,Bank China Construction Bank I,69.0,70.0,68.0,69.0,2068200
2026-04-07,MCOR,Bank China Construction Bank I,69.0,70.0,68.0,68.0,3549800
2026-04-08,MCOR,Bank China Construction Bank I,68.0,70.0,68.0,70.0,4327100
2026-04-09,MCOR,Bank China Construction Bank I,70.0,70.0,69.0,70.0,3075000
2026-04-10,MCOR,Bank China Construction Bank I,69.0,71.0,69.0,71.0,3198700
2026-04-13,MCOR,Bank China Construction Bank I,71.0,71.0,69.0,70.0,3506400
2026-04-14,MCOR,Bank China Construction Bank I,70.0,73.0,70.0,72.0,4914900
2026-04-15,MCOR,Bank China Construction Bank I,71.0,73.0,71.0,73.0,3829400
2026-04-16,MCOR,Bank China Construction Bank I,73.0,74.0,72.0,72.0,4589200
2026-04-17,MCOR,Bank China Construction Bank I,73.0,73.0,72.0,72.0,2397400
2026-04-20,MCOR,Bank China Construction Bank I,72.0,73.0,71.0,72.0,3877000
2026-04-21,MCOR,Bank China Construction Bank I,72.0,72.0,71.0,71.0,2543300
2026-04-22,MCOR,Bank China Construction Bank I,72.0,73.0,71.0,73.0,4808600
2026-04-23,MCOR,Bank China Construction Bank I,73.0,73.0,71.0,72.0,3844900
2026-04-24,MCOR,Bank China Construction Bank I,72.0,72.0,70.0,71.0,3765600
2026-04-27,MCOR,Bank China Construction Bank I,71.0,71.0,69.0,70.0,3543100
2026-04-28,MCOR,Bank China Construction Bank I,70.0,71.0,69.0,71.0,2326500
2026-04-29,MCOR,Bank China Construction Bank I,71.0,71.0,69.0,69.0,10335200
2026-04-30,MCOR,Bank China Construction Bank I,69.0,70.0,68.0,69.0,3753500
2026-05-01,MCOR,Bank China Construction Bank I,,,,,
2026-05-04,MCOR,Bank China Construction Bank I,69.0,70.0,69.0,70.0,1068800
2026-05-05,MCOR,Bank China Construction Bank I,70.0,71.0,69.0,69.0,5188100
2026-05-06,MCOR,Bank China Construction Bank I,69.0,71.0,69.0,69.0,4623900
2026-05-07,MCOR,Bank China Construction Bank I,70.0,71.0,69.0,70.0,3021500
2026-05-08,MCOR,Bank China Construction Bank I,70.0,72.0,69.0,70.0,3934400
2026-05-11,MCOR,Bank China Construction Bank I,70.0,71.0,69.0,70.0,3390000
2026-05-12,MCOR,Bank China Construction Bank I,70.0,71.0,69.0,69.0,2247900
2026-05-13,MCOR,Bank China Construction Bank I,69.0,71.0,69.0,70.0,3934100
2026-05-14,MCOR,Bank China Construction Bank I,,,,,
2026-05-15,MCOR,Bank China Construction Bank I,,,,,
2026-05-18,MCOR,Bank China Construction Bank I,70.0,70.0,68.0,69.0,8178400
2026-05-19,MCOR,Bank China Construction Bank I,69.0,70.0,68.0,68.0,7409100
2026-05-20,MCOR,Bank China Construction Bank I,68.0,69.0,67.0,68.0,5484300
2026-05-21,MCOR,Bank China Construction Bank I,68.0,68.0,66.0,68.0,10957800
2026-05-22,MCOR,Bank China Construction Bank I,68.0,68.0,66.0,67.0,4066000
2026-05-25,MCOR,Bank China Construction Bank I,68.0,70.0,67.0,69.0,4849000
2026-05-26,MCOR,Bank China Construction Bank I,69.0,70.0,68.0,69.0,3049200
2026-05-27,MCOR,Bank China Construction Bank I,,,,,
2026-05-28,MCOR,Bank China Construction Bank I,,,,,
2026-05-29,MCOR,Bank China Construction Bank I,69.0,70.0,68.0,69.0,3204700
2026-06-01,MCOR,Bank China Construction Bank I,,,,,
2026-06-02,MCOR,Bank China Construction Bank I,69.0,69.0,68.0,,3239300
2026-06-03,MCOR,Bank China Construction Bank I,68.0,69.0,65.0,,13569600
2026-06-04,MCOR,Bank China Construction Bank I,66.0,66.0,61.0,64.0,8219600
2026-06-05,MCOR,Bank China Construction Bank I,64.0,65.0,62.0,64.0,6902200
2026-06-08,MCOR,Bank China Construction Bank I,64.0,64.0,61.0,62.0,8362800
2026-06-09,MCOR,Bank China Construction Bank I,62.0,65.0,61.0,64.0,5155600
2026-06-10,MCOR,Bank China Construction Bank I,64.0,66.0,64.0,65.0,2079500
2026-06-11,MCOR,Bank China Construction Bank I,66.0,66.0,61.0,63.0,19413600
2026-06-12,MCOR,Bank China Construction Bank I,63.0,64.0,62.0,64.0,3673500
2026-06-15,MCOR,Bank China Construction Bank I,64.0,67.0,64.0,,4138600
2026-06-16,MCOR,Bank China Construction Bank I,,,,,
2026-06-17,MCOR,Bank China Construction Bank I,66.0,66.0,65.0,66.0,1853000
2026-06-18,MCOR,Bank China Construction Bank I,65.0,66.0,65.0,66.0,747800
2026-06-19,MCOR,Bank China Construction Bank I,65.0,67.0,65.0,66.0,3767600
2026-06-22,MCOR,Bank China Construction Bank I,66.0,67.0,66.0,,1311100
2026-06-23,MCOR,Bank China Construction Bank I,66.0,67.0,65.0,66.0,708000
2026-06-24,MCOR,Bank China Construction Bank I,66.0,67.0,64.0,64.0,5026700
2026-06-25,MCOR,Bank China Construction Bank I,64.0,66.0,64.0,66.0,1996800
2026-06-26,MCOR,Bank China Construction Bank I,66.0,66.0,64.0,65.0,2610300
2026-06-29,MCOR,Bank China Construction Bank I,64.0,70.0,64.0,68.0,11726000
2026-06-30,MCOR,Bank China Construction Bank I,68.0,68.0,66.0,67.0,2354400
2026-07-01,MCOR,Bank China Construction Bank I,66.0,68.0,65.0,67.0,5610700
2026-07-02,MCOR,Bank China Construction Bank I,67.0,68.0,66.0,66.0,1316500
2026-07-03,MCOR,Bank China Construction Bank I,67.0,68.0,66.0,68.0,2467500
2026-07-06,MCOR,Bank China Construction Bank I,68.0,68.0,67.0,68.0,1505800
2026-07-07,MCOR,Bank China Construction Bank I,67.0,68.0,66.0,67.0,3215900
2026-07-08,MCOR,Bank China Construction Bank I,67.0,68.0,66.0,67.0,2195300
2026-07-09,MCOR,Bank China Construction Bank I,67.0,69.0,67.0,68.0,1363100
2026-07-10,MCOR,Bank China Construction Bank I,67.0,68.0,67.0,67.0,2143100
2026-07-13,MCOR,Bank China Construction Bank I,68.0,68.0,67.0,67.0,245700
