date,kode,nama,open,high,low,close,volume
2026-01-22,MREI,Maskapai Reasuransi Indonesia,1225.0,1235.0,1165.0,1170.0,177800
2026-01-23,MREI,Maskapai Reasuransi Indonesia,1240.0,1240.0,1155.0,1160.0,121400
2026-01-26,MREI,Maskapai Reasuransi Indonesia,1160.0,1200.0,1155.0,1180.0,87400
2026-01-27,MREI,Maskapai Reasuransi Indonesia,1190.0,1190.0,1160.0,1165.0,91900
2026-01-28,MREI,Maskapai Reasuransi Indonesia,1150.0,1150.0,1000.0,1005.0,1295700
2026-01-29,MREI,Maskapai Reasuransi Indonesia,1010.0,1070.0,900.0,1040.0,548700
2026-01-30,MREI,Maskapai Reasuransi Indonesia,1040.0,1175.0,1030.0,1175.0,335100
2026-02-02,MREI,Maskapai Reasuransi Indonesia,1175.0,1200.0,1060.0,1100.0,249500
2026-02-03,MREI,Maskapai Reasuransi Indonesia,1160.0,1170.0,1070.0,1085.0,247200
2026-02-04,MREI,Maskapai Reasuransi Indonesia,1095.0,1095.0,1060.0,1090.0,32900
2026-02-05,MREI,Maskapai Reasuransi Indonesia,1095.0,1150.0,1070.0,1145.0,99800
2026-02-06,MREI,Maskapai Reasuransi Indonesia,1150.0,1160.0,1100.0,1100.0,536100
2026-02-09,MREI,Maskapai Reasuransi Indonesia,1160.0,1160.0,1100.0,1120.0,20000
2026-02-10,MREI,Maskapai Reasuransi Indonesia,1150.0,1155.0,1100.0,1155.0,143500
2026-02-11,MREI,Maskapai Reasuransi Indonesia,1160.0,1185.0,1145.0,1150.0,62900
2026-02-12,MREI,Maskapai Reasuransi Indonesia,1155.0,1155.0,1115.0,1145.0,10000
2026-02-13,MREI,Maskapai Reasuransi Indonesia,1155.0,1155.0,1100.0,1135.0,114900
2026-02-18,MREI,Maskapai Reasuransi Indonesia,1130.0,1135.0,1115.0,1130.0,177900
2026-02-19,MREI,Maskapai Reasuransi Indonesia,1150.0,1150.0,1115.0,1125.0,135300
2026-02-20,MREI,Maskapai Reasuransi Indonesia,1145.0,1195.0,1125.0,1190.0,370800
2026-02-23,MREI,Maskapai Reasuransi Indonesia,1200.0,1200.0,1165.0,1185.0,146700
2026-02-24,MREI,Maskapai Reasuransi Indonesia,1185.0,1185.0,1125.0,1145.0,210500
2026-02-25,MREI,Maskapai Reasuransi Indonesia,1150.0,1210.0,1150.0,1195.0,98600
2026-02-26,MREI,Maskapai Reasuransi Indonesia,1190.0,1205.0,1110.0,1170.0,257400
2026-02-27,MREI,Maskapai Reasuransi Indonesia,1170.0,1180.0,1120.0,1140.0,83800
2026-03-02,MREI,Maskapai Reasuransi Indonesia,1100.0,1145.0,1080.0,1080.0,240200
2026-03-03,MREI,Maskapai Reasuransi Indonesia,1075.0,1085.0,1025.0,1065.0,132900
2026-03-04,MREI,Maskapai Reasuransi Indonesia,1065.0,1080.0,1000.0,1050.0,429600
2026-03-05,MREI,Maskapai Reasuransi Indonesia,1050.0,1065.0,980.0,1020.0,100100
2026-03-06,MREI,Maskapai Reasuransi Indonesia,1045.0,1050.0,1000.0,1010.0,142500
2026-03-09,MREI,Maskapai Reasuransi Indonesia,995.0,1005.0,970.0,1000.0,375800
2026-03-10,MREI,Maskapai Reasuransi Indonesia,1000.0,1000.0,975.0,985.0,32400
2026-03-11,MREI,Maskapai Reasuransi Indonesia,985.0,1030.0,985.0,1010.0,25800
2026-03-12,MREI,Maskapai Reasuransi Indonesia,1030.0,1030.0,985.0,1015.0,49800
2026-03-13,MREI,Maskapai Reasuransi Indonesia,1015.0,1015.0,985.0,,107400
2026-03-16,MREI,Maskapai Reasuransi Indonesia,1020.0,1025.0,970.0,,157400
2026-03-17,MREI,Maskapai Reasuransi Indonesia,985.0,1000.0,980.0,,28000
2026-03-25,MREI,Maskapai Reasuransi Indonesia,985.0,1020.0,960.0,1015.0,19500
2026-03-26,MREI,Maskapai Reasuransi Indonesia,1050.0,1050.0,1005.0,,19300
2026-03-27,MREI,Maskapai Reasuransi Indonesia,1050.0,1050.0,1000.0,1040.0,1600
2026-03-30,MREI,Maskapai Reasuransi Indonesia,1005.0,1050.0,1000.0,1020.0,16700
2026-03-31,MREI,Maskapai Reasuransi Indonesia,1040.0,1050.0,995.0,995.0,16700
2026-04-01,MREI,Maskapai Reasuransi Indonesia,1035.0,1050.0,995.0,995.0,20700
2026-04-02,MREI,Maskapai Reasuransi Indonesia,995.0,1050.0,985.0,1000.0,79300
2026-04-06,MREI,Maskapai Reasuransi Indonesia,990.0,1025.0,970.0,1020.0,181000
2026-04-07,MREI,Maskapai Reasuransi Indonesia,1025.0,1025.0,980.0,1020.0,2700
2026-04-08,MREI,Maskapai Reasuransi Indonesia,1015.0,1020.0,990.0,1020.0,59800
2026-04-09,MREI,Maskapai Reasuransi Indonesia,980.0,1025.0,980.0,995.0,49700
2026-04-10,MREI,Maskapai Reasuransi Indonesia,1025.0,1050.0,990.0,1025.0,10400
2026-04-13,MREI,Maskapai Reasuransi Indonesia,1050.0,1050.0,995.0,1005.0,16500
2026-04-14,MREI,Maskapai Reasuransi Indonesia,1050.0,1050.0,1005.0,1040.0,100600
2026-04-15,MREI,Maskapai Reasuransi Indonesia,1050.0,1095.0,1010.0,1060.0,303300
2026-04-16,MREI,Maskapai Reasuransi Indonesia,1085.0,1100.0,1020.0,1055.0,26500
2026-04-17,MREI,Maskapai Reasuransi Indonesia,1055.0,1075.0,1045.0,1060.0,24200
2026-04-20,MREI,Maskapai Reasuransi Indonesia,1105.0,1105.0,1030.0,1070.0,101500
2026-04-21,MREI,Maskapai Reasuransi Indonesia,1100.0,1100.0,1035.0,1070.0,62600
2026-04-22,MREI,Maskapai Reasuransi Indonesia,1100.0,1100.0,1035.0,1085.0,36100
2026-04-23,MREI,Maskapai Reasuransi Indonesia,1095.0,1095.0,1000.0,1075.0,64900
2026-04-24,MREI,Maskapai Reasuransi Indonesia,1075.0,1090.0,1025.0,1085.0,88200
2026-04-27,MREI,Maskapai Reasuransi Indonesia,1050.0,1100.0,980.0,1015.0,140800
2026-04-28,MREI,Maskapai Reasuransi Indonesia,1055.0,1085.0,1030.0,1035.0,50700
2026-04-29,MREI,Maskapai Reasuransi Indonesia,1035.0,1045.0,960.0,1045.0,237100
2026-04-30,MREI,Maskapai Reasuransi Indonesia,1040.0,1060.0,1000.0,1060.0,174800
2026-05-01,MREI,Maskapai Reasuransi Indonesia,,,,,
2026-05-04,MREI,Maskapai Reasuransi Indonesia,1060.0,1070.0,1010.0,1040.0,131700
2026-05-05,MREI,Maskapai Reasuransi Indonesia,1045.0,1060.0,1030.0,1060.0,54300
2026-05-06,MREI,Maskapai Reasuransi Indonesia,1055.0,1060.0,1030.0,1060.0,34100
2026-05-07,MREI,Maskapai Reasuransi Indonesia,1060.0,1060.0,1020.0,1020.0,43400
2026-05-08,MREI,Maskapai Reasuransi Indonesia,1045.0,1045.0,985.0,1000.0,67000
2026-05-11,MREI,Maskapai Reasuransi Indonesia,1000.0,1000.0,975.0,1000.0,114700
2026-05-12,MREI,Maskapai Reasuransi Indonesia,1000.0,1030.0,1000.0,1010.0,76900
2026-05-13,MREI,Maskapai Reasuransi Indonesia,1005.0,1015.0,980.0,1015.0,59300
2026-05-14,MREI,Maskapai Reasuransi Indonesia,,,,,
2026-05-15,MREI,Maskapai Reasuransi Indonesia,,,,,
2026-05-18,MREI,Maskapai Reasuransi Indonesia,1005.0,1015.0,980.0,995.0,45700
2026-05-19,MREI,Maskapai Reasuransi Indonesia,1020.0,1020.0,985.0,995.0,78800
2026-05-20,MREI,Maskapai Reasuransi Indonesia,990.0,995.0,965.0,975.0,99000
2026-05-21,MREI,Maskapai Reasuransi Indonesia,1000.0,1005.0,970.0,980.0,54900
2026-05-22,MREI,Maskapai Reasuransi Indonesia,1005.0,1005.0,965.0,975.0,88500
2026-05-25,MREI,Maskapai Reasuransi Indonesia,1015.0,1015.0,985.0,985.0,15900
2026-05-26,MREI,Maskapai Reasuransi Indonesia,1000.0,1000.0,985.0,985.0,8800
2026-05-27,MREI,Maskapai Reasuransi Indonesia,,,,,
2026-05-28,MREI,Maskapai Reasuransi Indonesia,,,,,
2026-05-29,MREI,Maskapai Reasuransi Indonesia,985.0,985.0,970.0,985.0,51400
2026-06-01,MREI,Maskapai Reasuransi Indonesia,,,,,
2026-06-02,MREI,Maskapai Reasuransi Indonesia,985.0,1005.0,975.0,,141000
2026-06-03,MREI,Maskapai Reasuransi Indonesia,990.0,1000.0,960.0,,87400
2026-06-04,MREI,Maskapai Reasuransi Indonesia,980.0,980.0,940.0,960.0,96300
2026-06-05,MREI,Maskapai Reasuransi Indonesia,975.0,990.0,940.0,945.0,72300
2026-06-08,MREI,Maskapai Reasuransi Indonesia,945.0,945.0,910.0,940.0,3800
2026-06-09,MREI,Maskapai Reasuransi Indonesia,940.0,940.0,910.0,940.0,36000
2026-06-10,MREI,Maskapai Reasuransi Indonesia,970.0,970.0,945.0,970.0,32200
2026-06-11,MREI,Maskapai Reasuransi Indonesia,970.0,970.0,945.0,970.0,188500
2026-06-12,MREI,Maskapai Reasuransi Indonesia,1000.0,1000.0,965.0,985.0,40800
2026-06-15,MREI,Maskapai Reasuransi Indonesia,1000.0,1000.0,955.0,,59400
2026-06-16,MREI,Maskapai Reasuransi Indonesia,,,,,
2026-06-17,MREI,Maskapai Reasuransi Indonesia,980.0,990.0,955.0,970.0,11700
2026-06-18,MREI,Maskapai Reasuransi Indonesia,965.0,975.0,955.0,970.0,13300
2026-06-19,MREI,Maskapai Reasuransi Indonesia,1000.0,1000.0,970.0,970.0,1700
2026-06-22,MREI,Maskapai Reasuransi Indonesia,970.0,970.0,960.0,,7900
2026-06-23,MREI,Maskapai Reasuransi Indonesia,980.0,980.0,965.0,970.0,3400
2026-06-24,MREI,Maskapai Reasuransi Indonesia,985.0,985.0,960.0,960.0,30500
2026-06-25,MREI,Maskapai Reasuransi Indonesia,980.0,980.0,970.0,970.0,3500
2026-06-26,MREI,Maskapai Reasuransi Indonesia,975.0,975.0,850.0,960.0,16500
2026-06-29,MREI,Maskapai Reasuransi Indonesia,965.0,975.0,920.0,920.0,700
2026-06-30,MREI,Maskapai Reasuransi Indonesia,,,,,
2026-07-01,MREI,Maskapai Reasuransi Indonesia,,,,,
2026-07-02,MREI,Maskapai Reasuransi Indonesia,,,,,
2026-07-03,MREI,Maskapai Reasuransi Indonesia,,,,,
2026-07-06,MREI,Maskapai Reasuransi Indonesia,,,,,
2026-07-07,MREI,Maskapai Reasuransi Indonesia,,,,,
2026-07-08,MREI,Maskapai Reasuransi Indonesia,,,,,
2026-07-09,MREI,Maskapai Reasuransi Indonesia,,,,,
2026-07-10,MREI,Maskapai Reasuransi Indonesia,,,,,
