date,kode,nama,open,high,low,close,volume
2026-01-22,NICK,Charnic Capital Tbk.,1290.0,1310.0,1250.0,1260.0,11500
2026-01-23,NICK,Charnic Capital Tbk.,1260.0,1265.0,1255.0,1260.0,5900
2026-01-26,NICK,Charnic Capital Tbk.,1250.0,1250.0,1165.0,1185.0,101300
2026-01-27,NICK,Charnic Capital Tbk.,1180.0,1400.0,1160.0,1235.0,96400
2026-01-28,NICK,Charnic Capital Tbk.,1210.0,1400.0,1200.0,1390.0,496900
2026-01-29,NICK,Charnic Capital Tbk.,1390.0,1500.0,1250.0,1400.0,432400
2026-01-30,NICK,Charnic Capital Tbk.,1400.0,1500.0,1195.0,1280.0,893100
2026-02-02,NICK,Charnic Capital Tbk.,1270.0,1600.0,1160.0,1415.0,528200
2026-02-03,NICK,Charnic Capital Tbk.,1410.0,1550.0,1250.0,1465.0,519900
2026-02-04,NICK,Charnic Capital Tbk.,1465.0,1600.0,1270.0,1295.0,582000
