date,kode,nama,open,high,low,close,volume
2026-01-22,NOBU,Bank Nationalnobu Tbk.,535.0,570.0,535.0,560.0,12361300
2026-01-23,NOBU,Bank Nationalnobu Tbk.,555.0,565.0,545.0,565.0,7079400
2026-01-26,NOBU,Bank Nationalnobu Tbk.,555.0,575.0,540.0,545.0,9427900
2026-01-27,NOBU,Bank Nationalnobu Tbk.,550.0,555.0,535.0,545.0,3992600
2026-01-28,NOBU,Bank Nationalnobu Tbk.,535.0,535.0,500.0,510.0,15920400
2026-01-29,NOBU,Bank Nationalnobu Tbk.,510.0,515.0,454.0,500.0,13318500
2026-01-30,NOBU,Bank Nationalnobu Tbk.,510.0,525.0,500.0,520.0,4485700
2026-02-02,NOBU,Bank Nationalnobu Tbk.,520.0,520.0,482.0,494.0,5216300
2026-02-03,NOBU,Bank Nationalnobu Tbk.,494.0,535.0,492.0,535.0,4511900
2026-02-04,NOBU,Bank Nationalnobu Tbk.,535.0,535.0,510.0,515.0,2689600
2026-02-05,NOBU,Bank Nationalnobu Tbk.,520.0,525.0,515.0,520.0,1750200
2026-02-06,NOBU,Bank Nationalnobu Tbk.,520.0,525.0,505.0,515.0,2591500
2026-02-09,NOBU,Bank Nationalnobu Tbk.,510.0,535.0,510.0,525.0,3651700
2026-02-10,NOBU,Bank Nationalnobu Tbk.,525.0,540.0,525.0,535.0,3214900
2026-02-11,NOBU,Bank Nationalnobu Tbk.,535.0,535.0,520.0,520.0,2046600
2026-02-12,NOBU,Bank Nationalnobu Tbk.,520.0,560.0,515.0,530.0,9182100
2026-02-13,NOBU,Bank Nationalnobu Tbk.,530.0,545.0,525.0,535.0,3021000
2026-02-18,NOBU,Bank Nationalnobu Tbk.,535.0,575.0,530.0,560.0,12813600
2026-02-19,NOBU,Bank Nationalnobu Tbk.,565.0,605.0,555.0,580.0,29753400
2026-02-20,NOBU,Bank Nationalnobu Tbk.,585.0,685.0,575.0,680.0,58370700
2026-02-23,NOBU,Bank Nationalnobu Tbk.,680.0,735.0,660.0,710.0,45844300
2026-02-24,NOBU,Bank Nationalnobu Tbk.,710.0,745.0,675.0,695.0,31243100
2026-02-25,NOBU,Bank Nationalnobu Tbk.,690.0,710.0,630.0,630.0,20437300
2026-02-26,NOBU,Bank Nationalnobu Tbk.,630.0,650.0,540.0,555.0,56712200
2026-02-27,NOBU,Bank Nationalnobu Tbk.,545.0,600.0,545.0,600.0,17463700
2026-03-02,NOBU,Bank Nationalnobu Tbk.,570.0,590.0,550.0,555.0,15982600
2026-03-03,NOBU,Bank Nationalnobu Tbk.,575.0,605.0,565.0,580.0,12217700
2026-03-04,NOBU,Bank Nationalnobu Tbk.,575.0,575.0,540.0,545.0,12007600
2026-03-05,NOBU,Bank Nationalnobu Tbk.,555.0,575.0,555.0,570.0,7044200
2026-03-06,NOBU,Bank Nationalnobu Tbk.,575.0,575.0,550.0,565.0,6380000
