date,kode,nama,open,high,low,close,volume
2026-01-22,OCAP,Onix Capital Tbk.,159.0,159.0,159.0,159.0,0
2026-01-23,OCAP,Onix Capital Tbk.,159.0,159.0,159.0,159.0,0
2026-01-26,OCAP,Onix Capital Tbk.,159.0,159.0,159.0,159.0,0
2026-01-27,OCAP,Onix Capital Tbk.,159.0,159.0,159.0,159.0,0
2026-01-28,OCAP,Onix Capital Tbk.,159.0,159.0,159.0,159.0,0
2026-01-29,OCAP,Onix Capital Tbk.,,,,,
2026-01-30,OCAP,Onix Capital Tbk.,,,,,
2026-02-02,OCAP,Onix Capital Tbk.,,,,,
2026-02-03,OCAP,Onix Capital Tbk.,,,,,
2026-02-04,OCAP,Onix Capital Tbk.,,,,,
2026-02-05,OCAP,Onix Capital Tbk.,,,,,
2026-02-06,OCAP,Onix Capital Tbk.,,,,,
2026-02-09,OCAP,Onix Capital Tbk.,,,,,
2026-02-10,OCAP,Onix Capital Tbk.,,,,,
2026-02-11,OCAP,Onix Capital Tbk.,,,,,
2026-02-12,OCAP,Onix Capital Tbk.,,,,,
2026-02-13,OCAP,Onix Capital Tbk.,,,,,
2026-02-18,OCAP,Onix Capital Tbk.,159.0,159.0,159.0,159.0,0
2026-02-19,OCAP,Onix Capital Tbk.,,,,,
2026-02-20,OCAP,Onix Capital Tbk.,,,,,
