date,kode,nama,open,high,low,close,volume
2026-01-22,PALM,Provident Investasi Bersama Tb,422.0,426.0,408.0,412.0,6154600
2026-01-23,PALM,Provident Investasi Bersama Tb,412.0,422.0,402.0,414.0,5197200
2026-01-26,PALM,Provident Investasi Bersama Tb,418.0,462.0,418.0,448.0,32589300
2026-01-27,PALM,Provident Investasi Bersama Tb,460.0,468.0,426.0,436.0,18716900
2026-01-28,PALM,Provident Investasi Bersama Tb,428.0,430.0,390.0,414.0,11472200
2026-01-29,PALM,Provident Investasi Bersama Tb,410.0,410.0,352.0,392.0,11632600
2026-01-30,PALM,Provident Investasi Bersama Tb,392.0,410.0,388.0,390.0,3404900
2026-02-02,PALM,Provident Investasi Bersama Tb,390.0,404.0,358.0,360.0,4201700
2026-02-03,PALM,Provident Investasi Bersama Tb,360.0,388.0,352.0,364.0,2798100
2026-02-04,PALM,Provident Investasi Bersama Tb,364.0,386.0,364.0,378.0,1451200
2026-02-05,PALM,Provident Investasi Bersama Tb,378.0,380.0,370.0,372.0,1727000
2026-02-06,PALM,Provident Investasi Bersama Tb,372.0,372.0,360.0,368.0,1492100
2026-02-09,PALM,Provident Investasi Bersama Tb,368.0,374.0,362.0,374.0,1082000
2026-02-10,PALM,Provident Investasi Bersama Tb,368.0,390.0,368.0,376.0,1679100
2026-02-11,PALM,Provident Investasi Bersama Tb,390.0,390.0,374.0,378.0,937400
2026-02-12,PALM,Provident Investasi Bersama Tb,380.0,382.0,376.0,380.0,501200
2026-02-13,PALM,Provident Investasi Bersama Tb,376.0,382.0,376.0,382.0,591100
2026-02-18,PALM,Provident Investasi Bersama Tb,382.0,390.0,382.0,382.0,1102200
2026-02-19,PALM,Provident Investasi Bersama Tb,384.0,416.0,382.0,402.0,4924400
2026-02-20,PALM,Provident Investasi Bersama Tb,406.0,410.0,396.0,400.0,1451900
2026-02-23,PALM,Provident Investasi Bersama Tb,400.0,410.0,394.0,402.0,1009800
2026-02-24,PALM,Provident Investasi Bersama Tb,410.0,410.0,390.0,394.0,1600400
2026-02-25,PALM,Provident Investasi Bersama Tb,402.0,406.0,396.0,400.0,1235300
2026-02-26,PALM,Provident Investasi Bersama Tb,400.0,410.0,388.0,388.0,1565500
2026-02-27,PALM,Provident Investasi Bersama Tb,390.0,400.0,380.0,388.0,935700
2026-03-02,PALM,Provident Investasi Bersama Tb,388.0,390.0,372.0,384.0,1778200
2026-03-03,PALM,Provident Investasi Bersama Tb,384.0,396.0,378.0,388.0,938300
2026-03-04,PALM,Provident Investasi Bersama Tb,388.0,392.0,370.0,380.0,2075400
2026-03-05,PALM,Provident Investasi Bersama Tb,378.0,392.0,378.0,382.0,648000
2026-03-06,PALM,Provident Investasi Bersama Tb,384.0,384.0,372.0,372.0,493600
2026-03-09,PALM,Provident Investasi Bersama Tb,370.0,370.0,350.0,354.0,1955200
2026-03-10,PALM,Provident Investasi Bersama Tb,356.0,370.0,356.0,368.0,783300
2026-03-11,PALM,Provident Investasi Bersama Tb,370.0,380.0,366.0,378.0,495200
2026-03-12,PALM,Provident Investasi Bersama Tb,378.0,380.0,362.0,368.0,157900
2026-03-13,PALM,Provident Investasi Bersama Tb,364.0,366.0,360.0,,358800
2026-03-16,PALM,Provident Investasi Bersama Tb,372.0,372.0,352.0,,855300
2026-03-17,PALM,Provident Investasi Bersama Tb,360.0,380.0,360.0,,531400
2026-03-25,PALM,Provident Investasi Bersama Tb,360.0,374.0,360.0,362.0,233400
2026-03-26,PALM,Provident Investasi Bersama Tb,364.0,368.0,358.0,,160700
2026-03-27,PALM,Provident Investasi Bersama Tb,358.0,362.0,356.0,360.0,166700
2026-03-30,PALM,Provident Investasi Bersama Tb,364.0,372.0,352.0,364.0,406500
2026-03-31,PALM,Provident Investasi Bersama Tb,368.0,368.0,360.0,362.0,439600
2026-04-01,PALM,Provident Investasi Bersama Tb,368.0,368.0,358.0,362.0,827500
2026-04-02,PALM,Provident Investasi Bersama Tb,362.0,364.0,354.0,358.0,653000
2026-04-06,PALM,Provident Investasi Bersama Tb,358.0,370.0,354.0,362.0,414600
2026-04-07,PALM,Provident Investasi Bersama Tb,362.0,362.0,350.0,356.0,538200
2026-04-08,PALM,Provident Investasi Bersama Tb,358.0,362.0,352.0,362.0,764700
2026-04-09,PALM,Provident Investasi Bersama Tb,366.0,366.0,360.0,362.0,274900
2026-04-10,PALM,Provident Investasi Bersama Tb,364.0,364.0,358.0,362.0,320500
2026-04-13,PALM,Provident Investasi Bersama Tb,362.0,362.0,350.0,360.0,1685800
2026-04-14,PALM,Provident Investasi Bersama Tb,360.0,362.0,354.0,360.0,1373300
2026-04-15,PALM,Provident Investasi Bersama Tb,362.0,378.0,360.0,368.0,1855100
2026-04-16,PALM,Provident Investasi Bersama Tb,368.0,372.0,360.0,364.0,1567900
2026-04-17,PALM,Provident Investasi Bersama Tb,366.0,370.0,364.0,366.0,570900
2026-04-20,PALM,Provident Investasi Bersama Tb,366.0,374.0,364.0,370.0,764700
2026-04-21,PALM,Provident Investasi Bersama Tb,374.0,374.0,366.0,368.0,606000
2026-04-22,PALM,Provident Investasi Bersama Tb,370.0,374.0,370.0,372.0,451400
2026-04-23,PALM,Provident Investasi Bersama Tb,372.0,374.0,366.0,368.0,903100
2026-04-24,PALM,Provident Investasi Bersama Tb,368.0,368.0,358.0,358.0,1673000
2026-04-27,PALM,Provident Investasi Bersama Tb,356.0,364.0,354.0,362.0,311300
2026-04-28,PALM,Provident Investasi Bersama Tb,362.0,364.0,356.0,360.0,108800
2026-04-29,PALM,Provident Investasi Bersama Tb,358.0,364.0,358.0,360.0,153000
2026-04-30,PALM,Provident Investasi Bersama Tb,358.0,386.0,352.0,366.0,4229600
2026-05-01,PALM,Provident Investasi Bersama Tb,,,,,
2026-05-04,PALM,Provident Investasi Bersama Tb,366.0,374.0,364.0,370.0,1520900
2026-05-05,PALM,Provident Investasi Bersama Tb,370.0,376.0,370.0,374.0,624100
2026-05-06,PALM,Provident Investasi Bersama Tb,378.0,380.0,368.0,378.0,1581700
2026-05-07,PALM,Provident Investasi Bersama Tb,378.0,382.0,376.0,380.0,513700
2026-05-08,PALM,Provident Investasi Bersama Tb,380.0,380.0,366.0,368.0,1102800
2026-05-11,PALM,Provident Investasi Bersama Tb,368.0,370.0,360.0,362.0,989000
