date,kode,nama,open,high,low,close,volume
2026-01-22,PNBS,Bank Panin Dubai Syariah Tbk.,57.0,59.0,57.0,57.0,24056600
2026-01-23,PNBS,Bank Panin Dubai Syariah Tbk.,57.0,58.0,57.0,57.0,19620600
2026-01-26,PNBS,Bank Panin Dubai Syariah Tbk.,58.0,59.0,57.0,58.0,36418900
2026-01-27,PNBS,Bank Panin Dubai Syariah Tbk.,58.0,59.0,57.0,58.0,15338100
2026-01-28,PNBS,Bank Panin Dubai Syariah Tbk.,59.0,59.0,54.0,55.0,65572600
2026-01-29,PNBS,Bank Panin Dubai Syariah Tbk.,55.0,55.0,51.0,54.0,62709000
2026-01-30,PNBS,Bank Panin Dubai Syariah Tbk.,54.0,56.0,54.0,55.0,22371100
2026-02-02,PNBS,Bank Panin Dubai Syariah Tbk.,55.0,55.0,52.0,53.0,26569700
2026-02-03,PNBS,Bank Panin Dubai Syariah Tbk.,53.0,54.0,52.0,53.0,22689100
2026-02-04,PNBS,Bank Panin Dubai Syariah Tbk.,53.0,54.0,52.0,53.0,7316400
2026-02-05,PNBS,Bank Panin Dubai Syariah Tbk.,53.0,54.0,52.0,53.0,5760300
2026-02-06,PNBS,Bank Panin Dubai Syariah Tbk.,53.0,53.0,52.0,53.0,20405100
2026-02-09,PNBS,Bank Panin Dubai Syariah Tbk.,53.0,53.0,52.0,53.0,7115900
2026-02-10,PNBS,Bank Panin Dubai Syariah Tbk.,53.0,53.0,52.0,53.0,3607600
2026-02-11,PNBS,Bank Panin Dubai Syariah Tbk.,53.0,53.0,52.0,53.0,4163400
2026-02-12,PNBS,Bank Panin Dubai Syariah Tbk.,53.0,53.0,52.0,53.0,10700100
2026-02-13,PNBS,Bank Panin Dubai Syariah Tbk.,53.0,55.0,51.0,53.0,135594100
2026-02-18,PNBS,Bank Panin Dubai Syariah Tbk.,53.0,54.0,52.0,53.0,32871000
2026-02-19,PNBS,Bank Panin Dubai Syariah Tbk.,53.0,53.0,52.0,53.0,11189600
2026-02-20,PNBS,Bank Panin Dubai Syariah Tbk.,53.0,53.0,52.0,53.0,5541900
2026-02-23,PNBS,Bank Panin Dubai Syariah Tbk.,53.0,53.0,52.0,53.0,10047500
2026-02-24,PNBS,Bank Panin Dubai Syariah Tbk.,53.0,53.0,52.0,52.0,48899800
