date,kode,nama,open,high,low,close,volume
2026-01-22,PNLF,Panin Financial Tbk.,298.0,312.0,294.0,306.0,389668200
2026-01-23,PNLF,Panin Financial Tbk.,308.0,308.0,296.0,300.0,186785100
2026-01-26,PNLF,Panin Financial Tbk.,302.0,302.0,292.0,294.0,140116700
2026-01-27,PNLF,Panin Financial Tbk.,296.0,298.0,280.0,286.0,176479300
2026-01-28,PNLF,Panin Financial Tbk.,280.0,284.0,262.0,270.0,342349000
2026-01-29,PNLF,Panin Financial Tbk.,260.0,266.0,232.0,264.0,298066300
2026-01-30,PNLF,Panin Financial Tbk.,264.0,276.0,260.0,266.0,132033500
2026-02-02,PNLF,Panin Financial Tbk.,266.0,272.0,250.0,254.0,117010200
2026-02-03,PNLF,Panin Financial Tbk.,256.0,264.0,254.0,262.0,68579300
2026-02-04,PNLF,Panin Financial Tbk.,262.0,264.0,258.0,260.0,44016900
2026-02-05,PNLF,Panin Financial Tbk.,262.0,270.0,260.0,266.0,63581700
2026-02-06,PNLF,Panin Financial Tbk.,260.0,278.0,258.0,276.0,190911100
2026-02-09,PNLF,Panin Financial Tbk.,278.0,280.0,268.0,276.0,63382400
2026-02-10,PNLF,Panin Financial Tbk.,276.0,280.0,272.0,274.0,42392300
2026-02-11,PNLF,Panin Financial Tbk.,274.0,286.0,274.0,282.0,109598600
2026-02-12,PNLF,Panin Financial Tbk.,284.0,284.0,278.0,280.0,42763100
2026-02-13,PNLF,Panin Financial Tbk.,280.0,294.0,278.0,288.0,178832100
2026-02-18,PNLF,Panin Financial Tbk.,290.0,290.0,284.0,286.0,55455700
2026-02-19,PNLF,Panin Financial Tbk.,286.0,296.0,284.0,286.0,119428400
2026-02-20,PNLF,Panin Financial Tbk.,286.0,292.0,284.0,288.0,48280600
2026-02-23,PNLF,Panin Financial Tbk.,286.0,288.0,284.0,286.0,54062400
2026-02-24,PNLF,Panin Financial Tbk.,284.0,286.0,276.0,278.0,83724800
2026-02-25,PNLF,Panin Financial Tbk.,278.0,280.0,272.0,274.0,38503500
2026-02-26,PNLF,Panin Financial Tbk.,274.0,278.0,266.0,270.0,48485800
2026-02-27,PNLF,Panin Financial Tbk.,270.0,272.0,264.0,270.0,28669400
2026-03-02,PNLF,Panin Financial Tbk.,262.0,266.0,256.0,256.0,79490000
2026-03-03,PNLF,Panin Financial Tbk.,256.0,268.0,256.0,256.0,38231000
2026-03-04,PNLF,Panin Financial Tbk.,256.0,258.0,244.0,250.0,70119200
2026-03-05,PNLF,Panin Financial Tbk.,254.0,258.0,248.0,250.0,33887800
2026-03-06,PNLF,Panin Financial Tbk.,250.0,252.0,244.0,248.0,44715800
2026-03-09,PNLF,Panin Financial Tbk.,240.0,242.0,232.0,234.0,83444900
2026-03-10,PNLF,Panin Financial Tbk.,240.0,244.0,232.0,238.0,59489400
2026-03-11,PNLF,Panin Financial Tbk.,238.0,242.0,236.0,236.0,46764400
2026-03-12,PNLF,Panin Financial Tbk.,236.0,244.0,234.0,238.0,57737000
2026-03-13,PNLF,Panin Financial Tbk.,238.0,238.0,234.0,,24200500
2026-03-16,PNLF,Panin Financial Tbk.,236.0,238.0,230.0,,36897500
2026-03-17,PNLF,Panin Financial Tbk.,234.0,238.0,234.0,,13229700
2026-03-25,PNLF,Panin Financial Tbk.,234.0,242.0,232.0,240.0,18054600
2026-03-26,PNLF,Panin Financial Tbk.,242.0,244.0,236.0,,39920600
2026-03-27,PNLF,Panin Financial Tbk.,242.0,244.0,234.0,236.0,37366100
2026-03-30,PNLF,Panin Financial Tbk.,232.0,236.0,230.0,234.0,14670700
2026-03-31,PNLF,Panin Financial Tbk.,234.0,242.0,232.0,234.0,16660000
2026-04-01,PNLF,Panin Financial Tbk.,238.0,242.0,236.0,238.0,7756300
2026-04-02,PNLF,Panin Financial Tbk.,238.0,242.0,236.0,236.0,14198000
2026-04-06,PNLF,Panin Financial Tbk.,234.0,240.0,232.0,238.0,14770700
2026-04-07,PNLF,Panin Financial Tbk.,238.0,238.0,232.0,232.0,15892300
2026-04-08,PNLF,Panin Financial Tbk.,236.0,244.0,230.0,240.0,41283000
2026-04-09,PNLF,Panin Financial Tbk.,240.0,242.0,236.0,238.0,14477700
2026-04-10,PNLF,Panin Financial Tbk.,238.0,246.0,238.0,244.0,14769500
2026-04-13,PNLF,Panin Financial Tbk.,240.0,244.0,240.0,242.0,18651400
2026-04-14,PNLF,Panin Financial Tbk.,246.0,250.0,242.0,250.0,39306600
2026-04-15,PNLF,Panin Financial Tbk.,250.0,256.0,246.0,250.0,34359900
2026-04-16,PNLF,Panin Financial Tbk.,250.0,254.0,246.0,250.0,16505200
2026-04-17,PNLF,Panin Financial Tbk.,250.0,258.0,250.0,252.0,43997300
2026-04-20,PNLF,Panin Financial Tbk.,252.0,254.0,244.0,244.0,39683800
2026-04-21,PNLF,Panin Financial Tbk.,244.0,246.0,240.0,244.0,20889400
2026-04-22,PNLF,Panin Financial Tbk.,244.0,270.0,244.0,268.0,273957400
2026-04-23,PNLF,Panin Financial Tbk.,268.0,270.0,252.0,254.0,84942200
2026-04-24,PNLF,Panin Financial Tbk.,254.0,256.0,244.0,246.0,55126400
2026-04-27,PNLF,Panin Financial Tbk.,246.0,256.0,246.0,250.0,40604000
2026-04-28,PNLF,Panin Financial Tbk.,250.0,250.0,242.0,246.0,35208100
2026-04-29,PNLF,Panin Financial Tbk.,246.0,250.0,244.0,248.0,31114500
2026-04-30,PNLF,Panin Financial Tbk.,246.0,248.0,238.0,242.0,45614000
2026-05-01,PNLF,Panin Financial Tbk.,,,,,
2026-05-04,PNLF,Panin Financial Tbk.,250.0,256.0,246.0,252.0,46905500
2026-05-05,PNLF,Panin Financial Tbk.,250.0,254.0,248.0,248.0,18709000
2026-05-06,PNLF,Panin Financial Tbk.,250.0,252.0,248.0,250.0,18274000
2026-05-07,PNLF,Panin Financial Tbk.,252.0,268.0,250.0,268.0,102133200
2026-05-08,PNLF,Panin Financial Tbk.,266.0,280.0,260.0,272.0,274148600
2026-05-11,PNLF,Panin Financial Tbk.,274.0,284.0,260.0,276.0,152399500
2026-05-12,PNLF,Panin Financial Tbk.,278.0,278.0,262.0,266.0,95376900
2026-05-13,PNLF,Panin Financial Tbk.,264.0,270.0,264.0,266.0,17987600
2026-05-14,PNLF,Panin Financial Tbk.,,,,,
2026-05-15,PNLF,Panin Financial Tbk.,,,,,
2026-05-18,PNLF,Panin Financial Tbk.,260.0,262.0,252.0,254.0,44302600
2026-05-19,PNLF,Panin Financial Tbk.,258.0,264.0,250.0,254.0,62095900
2026-05-20,PNLF,Panin Financial Tbk.,250.0,256.0,242.0,250.0,55622200
2026-05-21,PNLF,Panin Financial Tbk.,252.0,256.0,232.0,236.0,117226000
