date,kode,nama,open,high,low,close,volume
2026-01-22,POLA,Pool Advista Finance Tbk.,110.0,110.0,91.0,91.0,11242400
2026-01-23,POLA,Pool Advista Finance Tbk.,83.0,90.0,83.0,90.0,7566200
2026-01-26,POLA,Pool Advista Finance Tbk.,90.0,92.0,83.0,83.0,1732700
2026-01-27,POLA,Pool Advista Finance Tbk.,77.0,84.0,77.0,84.0,3786700
2026-01-28,POLA,Pool Advista Finance Tbk.,84.0,84.0,76.0,76.0,4067700
2026-01-29,POLA,Pool Advista Finance Tbk.,69.0,76.0,69.0,76.0,5104600
2026-01-30,POLA,Pool Advista Finance Tbk.,83.0,83.0,83.0,83.0,1230100
2026-02-02,POLA,Pool Advista Finance Tbk.,82.0,82.0,75.0,75.0,5303600
2026-02-03,POLA,Pool Advista Finance Tbk.,83.0,82.0,80.0,82.0,2263800
2026-02-04,POLA,Pool Advista Finance Tbk.,86.0,86.0,82.0,82.0,1173100
2026-02-05,POLA,Pool Advista Finance Tbk.,90.0,90.0,88.0,90.0,3117900
2026-02-06,POLA,Pool Advista Finance Tbk.,90.0,90.0,84.0,86.0,1830400
2026-02-09,POLA,Pool Advista Finance Tbk.,88.0,89.0,86.0,89.0,1035100
2026-02-10,POLA,Pool Advista Finance Tbk.,90.0,92.0,90.0,92.0,2346800
2026-02-11,POLA,Pool Advista Finance Tbk.,92.0,92.0,91.0,91.0,1195800
