date,kode,nama,open,high,low,close,volume
2026-01-22,POOL,Pool Advista Indonesia Tbk.,50.0,50.0,50.0,50.0,0
2026-01-23,POOL,Pool Advista Indonesia Tbk.,50.0,50.0,50.0,50.0,0
2026-01-26,POOL,Pool Advista Indonesia Tbk.,50.0,50.0,50.0,50.0,0
2026-01-27,POOL,Pool Advista Indonesia Tbk.,50.0,50.0,50.0,50.0,0
2026-01-28,POOL,Pool Advista Indonesia Tbk.,50.0,50.0,50.0,50.0,0
2026-01-29,POOL,Pool Advista Indonesia Tbk.,,,,,
2026-01-30,POOL,Pool Advista Indonesia Tbk.,,,,,
2026-02-02,POOL,Pool Advista Indonesia Tbk.,,,,,
2026-02-03,POOL,Pool Advista Indonesia Tbk.,,,,,
2026-02-04,POOL,Pool Advista Indonesia Tbk.,,,,,
2026-02-05,POOL,Pool Advista Indonesia Tbk.,,,,,
2026-02-06,POOL,Pool Advista Indonesia Tbk.,,,,,
2026-02-09,POOL,Pool Advista Indonesia Tbk.,,,,,
2026-02-10,POOL,Pool Advista Indonesia Tbk.,,,,,
2026-02-11,POOL,Pool Advista Indonesia Tbk.,,,,,
2026-02-12,POOL,Pool Advista Indonesia Tbk.,,,,,
2026-02-13,POOL,Pool Advista Indonesia Tbk.,,,,,
2026-02-18,POOL,Pool Advista Indonesia Tbk.,50.0,50.0,50.0,50.0,0
2026-02-19,POOL,Pool Advista Indonesia Tbk.,,,,,
2026-02-20,POOL,Pool Advista Indonesia Tbk.,,,,,
2026-02-23,POOL,Pool Advista Indonesia Tbk.,,,,,
2026-02-24,POOL,Pool Advista Indonesia Tbk.,,,,,
2026-02-25,POOL,Pool Advista Indonesia Tbk.,,,,,
2026-02-26,POOL,Pool Advista Indonesia Tbk.,,,,,
2026-02-27,POOL,Pool Advista Indonesia Tbk.,,,,,
2026-03-02,POOL,Pool Advista Indonesia Tbk.,,,,,
2026-03-03,POOL,Pool Advista Indonesia Tbk.,,,,,
2026-03-04,POOL,Pool Advista Indonesia Tbk.,,,,,
2026-03-05,POOL,Pool Advista Indonesia Tbk.,,,,,
