date,kode,nama,open,high,low,close,volume
2026-01-22,RELI,Reliance Sekuritas Indonesia T,555.0,575.0,555.0,570.0,15900
2026-01-23,RELI,Reliance Sekuritas Indonesia T,570.0,570.0,545.0,560.0,2800
2026-01-26,RELI,Reliance Sekuritas Indonesia T,570.0,605.0,565.0,565.0,326900
2026-01-27,RELI,Reliance Sekuritas Indonesia T,565.0,705.0,540.0,580.0,1272900
2026-01-28,RELI,Reliance Sekuritas Indonesia T,580.0,580.0,515.0,545.0,77900
2026-01-29,RELI,Reliance Sekuritas Indonesia T,520.0,545.0,498.0,535.0,16100
2026-01-30,RELI,Reliance Sekuritas Indonesia T,535.0,550.0,500.0,530.0,6000
2026-02-02,RELI,Reliance Sekuritas Indonesia T,515.0,515.0,494.0,496.0,14400
2026-02-03,RELI,Reliance Sekuritas Indonesia T,496.0,525.0,484.0,525.0,41200
2026-02-04,RELI,Reliance Sekuritas Indonesia T,496.0,515.0,486.0,515.0,10300
2026-02-05,RELI,Reliance Sekuritas Indonesia T,490.0,510.0,490.0,505.0,8600
2026-02-06,RELI,Reliance Sekuritas Indonesia T,505.0,610.0,484.0,484.0,341800
2026-02-09,RELI,Reliance Sekuritas Indonesia T,484.0,500.0,480.0,500.0,40800
2026-02-10,RELI,Reliance Sekuritas Indonesia T,496.0,500.0,484.0,500.0,26900
2026-02-11,RELI,Reliance Sekuritas Indonesia T,500.0,500.0,490.0,500.0,29000
2026-02-12,RELI,Reliance Sekuritas Indonesia T,500.0,510.0,490.0,510.0,44200
2026-02-13,RELI,Reliance Sekuritas Indonesia T,510.0,510.0,494.0,500.0,2200
2026-02-18,RELI,Reliance Sekuritas Indonesia T,500.0,520.0,492.0,500.0,6100
2026-02-19,RELI,Reliance Sekuritas Indonesia T,500.0,510.0,494.0,494.0,3200
2026-02-20,RELI,Reliance Sekuritas Indonesia T,496.0,510.0,494.0,510.0,8400
2026-02-23,RELI,Reliance Sekuritas Indonesia T,494.0,498.0,494.0,498.0,300
2026-02-24,RELI,Reliance Sekuritas Indonesia T,505.0,520.0,494.0,520.0,6200
2026-02-25,RELI,Reliance Sekuritas Indonesia T,492.0,510.0,492.0,510.0,19800
2026-02-26,RELI,Reliance Sekuritas Indonesia T,510.0,510.0,500.0,500.0,12100
2026-02-27,RELI,Reliance Sekuritas Indonesia T,515.0,515.0,500.0,500.0,6300
2026-03-02,RELI,Reliance Sekuritas Indonesia T,500.0,505.0,500.0,500.0,2600
2026-03-03,RELI,Reliance Sekuritas Indonesia T,494.0,525.0,494.0,525.0,2500
2026-03-04,RELI,Reliance Sekuritas Indonesia T,494.0,505.0,488.0,505.0,23800
2026-03-05,RELI,Reliance Sekuritas Indonesia T,486.0,505.0,486.0,490.0,4300
2026-03-06,RELI,Reliance Sekuritas Indonesia T,490.0,510.0,480.0,510.0,11300
2026-03-09,RELI,Reliance Sekuritas Indonesia T,510.0,510.0,488.0,505.0,10800
2026-03-10,RELI,Reliance Sekuritas Indonesia T,505.0,505.0,480.0,500.0,20800
2026-03-11,RELI,Reliance Sekuritas Indonesia T,486.0,500.0,486.0,500.0,9300
2026-03-12,RELI,Reliance Sekuritas Indonesia T,486.0,500.0,484.0,500.0,7700
2026-03-13,RELI,Reliance Sekuritas Indonesia T,494.0,494.0,486.0,,1400
2026-03-16,RELI,Reliance Sekuritas Indonesia T,480.0,500.0,478.0,,16700
2026-03-17,RELI,Reliance Sekuritas Indonesia T,494.0,494.0,494.0,,100
