date,kode,nama,open,high,low,close,volume
2026-01-22,SDRA,Bank Woori Saudara Indonesia 1,284.0,288.0,280.0,288.0,1372200
2026-01-23,SDRA,Bank Woori Saudara Indonesia 1,286.0,288.0,282.0,288.0,550300
2026-01-26,SDRA,Bank Woori Saudara Indonesia 1,288.0,288.0,282.0,286.0,647600
2026-01-27,SDRA,Bank Woori Saudara Indonesia 1,286.0,286.0,282.0,284.0,562500
2026-01-28,SDRA,Bank Woori Saudara Indonesia 1,290.0,290.0,278.0,282.0,3036600
2026-01-29,SDRA,Bank Woori Saudara Indonesia 1,282.0,284.0,276.0,282.0,921000
2026-01-30,SDRA,Bank Woori Saudara Indonesia 1,282.0,284.0,282.0,284.0,187100
2026-02-02,SDRA,Bank Woori Saudara Indonesia 1,282.0,282.0,276.0,278.0,671600
2026-02-03,SDRA,Bank Woori Saudara Indonesia 1,278.0,282.0,278.0,280.0,467600
2026-02-04,SDRA,Bank Woori Saudara Indonesia 1,280.0,280.0,276.0,280.0,834600
2026-02-05,SDRA,Bank Woori Saudara Indonesia 1,278.0,280.0,278.0,280.0,962400
2026-02-06,SDRA,Bank Woori Saudara Indonesia 1,282.0,282.0,276.0,278.0,525200
2026-02-09,SDRA,Bank Woori Saudara Indonesia 1,276.0,278.0,276.0,276.0,548100
2026-02-10,SDRA,Bank Woori Saudara Indonesia 1,278.0,282.0,276.0,280.0,702900
