date,kode,nama,open,high,low,close,volume
2026-01-22,SMMA,Sinarmas Multiartha Tbk.,12800.0,13025.0,12800.0,13000.0,5400
2026-01-23,SMMA,Sinarmas Multiartha Tbk.,13000.0,13050.0,12800.0,12850.0,3200
2026-01-26,SMMA,Sinarmas Multiartha Tbk.,13075.0,13500.0,13075.0,13200.0,25500
2026-01-27,SMMA,Sinarmas Multiartha Tbk.,13200.0,13425.0,13000.0,13000.0,9400
2026-01-28,SMMA,Sinarmas Multiartha Tbk.,12500.0,12875.0,12200.0,12650.0,25400
2026-01-29,SMMA,Sinarmas Multiartha Tbk.,12100.0,12650.0,11500.0,12650.0,18100
2026-01-30,SMMA,Sinarmas Multiartha Tbk.,12650.0,13000.0,12500.0,13000.0,4200
2026-02-02,SMMA,Sinarmas Multiartha Tbk.,12750.0,13000.0,12350.0,13000.0,10800
2026-02-03,SMMA,Sinarmas Multiartha Tbk.,12900.0,13000.0,12750.0,13000.0,19500
2026-02-04,SMMA,Sinarmas Multiartha Tbk.,12650.0,13000.0,12650.0,13000.0,3200
2026-02-05,SMMA,Sinarmas Multiartha Tbk.,13000.0,13000.0,12650.0,12650.0,9600
2026-02-06,SMMA,Sinarmas Multiartha Tbk.,12700.0,13500.0,12500.0,13500.0,26200
2026-02-09,SMMA,Sinarmas Multiartha Tbk.,13475.0,13900.0,13075.0,13900.0,40300
2026-02-10,SMMA,Sinarmas Multiartha Tbk.,13900.0,13900.0,13650.0,13825.0,20700
2026-02-11,SMMA,Sinarmas Multiartha Tbk.,13575.0,13825.0,13500.0,13825.0,32000
2026-02-12,SMMA,Sinarmas Multiartha Tbk.,13825.0,13825.0,13825.0,13825.0,300
2026-02-13,SMMA,Sinarmas Multiartha Tbk.,13825.0,13825.0,13225.0,13400.0,6400
2026-02-18,SMMA,Sinarmas Multiartha Tbk.,13400.0,13400.0,12900.0,13400.0,19700
2026-02-19,SMMA,Sinarmas Multiartha Tbk.,13375.0,13375.0,13025.0,13200.0,5600
2026-02-20,SMMA,Sinarmas Multiartha Tbk.,13125.0,13400.0,12900.0,13400.0,10200
2026-02-23,SMMA,Sinarmas Multiartha Tbk.,13350.0,13375.0,13125.0,13125.0,7000
2026-02-24,SMMA,Sinarmas Multiartha Tbk.,13375.0,13700.0,13375.0,13450.0,31700
2026-02-25,SMMA,Sinarmas Multiartha Tbk.,13575.0,13575.0,13450.0,13450.0,18400
2026-02-26,SMMA,Sinarmas Multiartha Tbk.,13450.0,13500.0,13400.0,13450.0,27900
2026-02-27,SMMA,Sinarmas Multiartha Tbk.,13450.0,13475.0,13275.0,13450.0,13500
2026-03-02,SMMA,Sinarmas Multiartha Tbk.,13450.0,13450.0,13450.0,13450.0,12000
2026-03-03,SMMA,Sinarmas Multiartha Tbk.,13450.0,13550.0,13450.0,13550.0,9400
2026-03-04,SMMA,Sinarmas Multiartha Tbk.,13450.0,13450.0,13400.0,13450.0,14000
2026-03-05,SMMA,Sinarmas Multiartha Tbk.,13450.0,13450.0,13450.0,13450.0,7500
2026-03-06,SMMA,Sinarmas Multiartha Tbk.,12725.0,13400.0,12500.0,13400.0,600
2026-03-09,SMMA,Sinarmas Multiartha Tbk.,13400.0,14000.0,13350.0,14000.0,35000
2026-03-10,SMMA,Sinarmas Multiartha Tbk.,14000.0,14000.0,13750.0,14000.0,12400
2026-03-11,SMMA,Sinarmas Multiartha Tbk.,14000.0,14000.0,14000.0,14000.0,6100
2026-03-12,SMMA,Sinarmas Multiartha Tbk.,13975.0,14700.0,13975.0,14700.0,24000
2026-03-13,SMMA,Sinarmas Multiartha Tbk.,15000.0,15000.0,15000.0,,30000
2026-03-16,SMMA,Sinarmas Multiartha Tbk.,14950.0,16350.0,14900.0,,30700
2026-03-17,SMMA,Sinarmas Multiartha Tbk.,16350.0,16350.0,14450.0,,30700
2026-03-25,SMMA,Sinarmas Multiartha Tbk.,14250.0,16175.0,14250.0,16175.0,16000
2026-03-26,SMMA,Sinarmas Multiartha Tbk.,15100.0,16000.0,15000.0,,39200
2026-03-27,SMMA,Sinarmas Multiartha Tbk.,16000.0,16000.0,16000.0,16000.0,4000
2026-03-30,SMMA,Sinarmas Multiartha Tbk.,15250.0,15875.0,15225.0,15875.0,9200
2026-03-31,SMMA,Sinarmas Multiartha Tbk.,15400.0,15625.0,15250.0,15500.0,10800
2026-04-01,SMMA,Sinarmas Multiartha Tbk.,15400.0,15400.0,15200.0,15200.0,1500
2026-04-02,SMMA,Sinarmas Multiartha Tbk.,14975.0,14975.0,14950.0,14950.0,1600
