date,kode,nama,open,high,low,close,volume
2026-01-22,SRTG,Saratoga Investama Sedaya Tbk.,1790.0,1965.0,1760.0,1915.0,57851700
2026-01-23,SRTG,Saratoga Investama Sedaya Tbk.,1950.0,1955.0,1860.0,1925.0,26334500
2026-01-26,SRTG,Saratoga Investama Sedaya Tbk.,1975.0,2040.0,1930.0,2010.0,42083700
2026-01-27,SRTG,Saratoga Investama Sedaya Tbk.,2010.0,2030.0,1885.0,1950.0,25260300
2026-01-28,SRTG,Saratoga Investama Sedaya Tbk.,1825.0,1875.0,1705.0,1810.0,48869800
2026-01-29,SRTG,Saratoga Investama Sedaya Tbk.,1810.0,1810.0,1540.0,1730.0,66957500
2026-01-30,SRTG,Saratoga Investama Sedaya Tbk.,1780.0,1810.0,1725.0,1765.0,18065000
2026-02-02,SRTG,Saratoga Investama Sedaya Tbk.,1765.0,1795.0,1585.0,1600.0,26564100
2026-02-03,SRTG,Saratoga Investama Sedaya Tbk.,1650.0,1650.0,1550.0,1620.0,23788000
2026-02-04,SRTG,Saratoga Investama Sedaya Tbk.,1640.0,1715.0,1625.0,1695.0,11226400
2026-02-05,SRTG,Saratoga Investama Sedaya Tbk.,1750.0,1755.0,1695.0,1695.0,15974700
2026-02-06,SRTG,Saratoga Investama Sedaya Tbk.,1650.0,1675.0,1620.0,1620.0,7508000
2026-02-09,SRTG,Saratoga Investama Sedaya Tbk.,1660.0,1670.0,1630.0,1645.0,2830700
2026-02-10,SRTG,Saratoga Investama Sedaya Tbk.,1645.0,1715.0,1640.0,1695.0,10283800
2026-02-11,SRTG,Saratoga Investama Sedaya Tbk.,1690.0,1735.0,1670.0,1730.0,13526400
2026-02-12,SRTG,Saratoga Investama Sedaya Tbk.,1730.0,1745.0,1680.0,1730.0,12366300
2026-02-13,SRTG,Saratoga Investama Sedaya Tbk.,1725.0,1785.0,1700.0,1765.0,8964400
2026-02-18,SRTG,Saratoga Investama Sedaya Tbk.,1760.0,1795.0,1730.0,1770.0,7588300
2026-02-19,SRTG,Saratoga Investama Sedaya Tbk.,1795.0,1880.0,1780.0,1840.0,22729100
2026-02-20,SRTG,Saratoga Investama Sedaya Tbk.,1855.0,1935.0,1795.0,1840.0,14208400
2026-02-23,SRTG,Saratoga Investama Sedaya Tbk.,1845.0,1870.0,1795.0,1860.0,7529400
2026-02-24,SRTG,Saratoga Investama Sedaya Tbk.,1850.0,1865.0,1770.0,1770.0,8797300
2026-02-25,SRTG,Saratoga Investama Sedaya Tbk.,1775.0,1845.0,1775.0,1815.0,5196600
2026-02-26,SRTG,Saratoga Investama Sedaya Tbk.,1815.0,1830.0,1775.0,1790.0,6006300
2026-02-27,SRTG,Saratoga Investama Sedaya Tbk.,1790.0,1825.0,1765.0,1820.0,8802200
2026-03-02,SRTG,Saratoga Investama Sedaya Tbk.,1770.0,1905.0,1770.0,1845.0,20188700
2026-03-03,SRTG,Saratoga Investama Sedaya Tbk.,1880.0,1890.0,1810.0,1815.0,15225000
2026-03-04,SRTG,Saratoga Investama Sedaya Tbk.,1815.0,1815.0,1600.0,1645.0,32563600
2026-03-05,SRTG,Saratoga Investama Sedaya Tbk.,1675.0,1740.0,1660.0,1675.0,7864300
2026-03-06,SRTG,Saratoga Investama Sedaya Tbk.,1680.0,1680.0,1615.0,1620.0,5031100
2026-03-09,SRTG,Saratoga Investama Sedaya Tbk.,1600.0,1605.0,1485.0,1500.0,21684900
2026-03-10,SRTG,Saratoga Investama Sedaya Tbk.,1545.0,1565.0,1520.0,1555.0,4641200
2026-03-11,SRTG,Saratoga Investama Sedaya Tbk.,1570.0,1585.0,1540.0,1555.0,2438000
2026-03-12,SRTG,Saratoga Investama Sedaya Tbk.,1555.0,1600.0,1545.0,1565.0,3778100
2026-03-13,SRTG,Saratoga Investama Sedaya Tbk.,1565.0,1565.0,1530.0,,2125800
2026-03-16,SRTG,Saratoga Investama Sedaya Tbk.,1590.0,1615.0,1560.0,,7987600
2026-03-17,SRTG,Saratoga Investama Sedaya Tbk.,1650.0,1660.0,1615.0,,4752000
