date,kode,nama,open,high,low,close,volume
2026-01-22,TUGU,Asuransi Tugu Pratama Indonesi,1155.0,1190.0,1155.0,1165.0,4243400
2026-01-23,TUGU,Asuransi Tugu Pratama Indonesi,1165.0,1195.0,1150.0,1190.0,5683900
2026-01-26,TUGU,Asuransi Tugu Pratama Indonesi,1190.0,1190.0,1170.0,1180.0,2429700
2026-01-27,TUGU,Asuransi Tugu Pratama Indonesi,1180.0,1180.0,1160.0,1180.0,1500300
2026-01-28,TUGU,Asuransi Tugu Pratama Indonesi,1180.0,1180.0,1100.0,1115.0,16039400
2026-01-29,TUGU,Asuransi Tugu Pratama Indonesi,1110.0,1125.0,1025.0,1120.0,13444400
2026-01-30,TUGU,Asuransi Tugu Pratama Indonesi,1125.0,1175.0,1125.0,1155.0,3811700
2026-02-02,TUGU,Asuransi Tugu Pratama Indonesi,1155.0,1175.0,1120.0,1130.0,7446100
2026-02-03,TUGU,Asuransi Tugu Pratama Indonesi,1135.0,1185.0,1135.0,1180.0,2884400
2026-02-04,TUGU,Asuransi Tugu Pratama Indonesi,1190.0,1190.0,1165.0,1190.0,2413600
2026-02-05,TUGU,Asuransi Tugu Pratama Indonesi,1185.0,1265.0,1185.0,1250.0,6701300
2026-02-06,TUGU,Asuransi Tugu Pratama Indonesi,1250.0,1260.0,1205.0,1235.0,7621300
2026-02-09,TUGU,Asuransi Tugu Pratama Indonesi,1235.0,1265.0,1225.0,1250.0,3624100
2026-02-10,TUGU,Asuransi Tugu Pratama Indonesi,1250.0,1305.0,1250.0,1280.0,6428900
2026-02-11,TUGU,Asuransi Tugu Pratama Indonesi,1280.0,1355.0,1280.0,1340.0,7578100
2026-02-12,TUGU,Asuransi Tugu Pratama Indonesi,1350.0,1355.0,1315.0,1345.0,6249900
