date,kode,nama,open,high,low,close,volume
2026-01-22,VRNA,Mizuho Leasing Indonesia Tbk.,91.0,92.0,89.0,90.0,1777600
2026-01-23,VRNA,Mizuho Leasing Indonesia Tbk.,91.0,92.0,89.0,90.0,728700
2026-01-26,VRNA,Mizuho Leasing Indonesia Tbk.,91.0,91.0,89.0,90.0,815200
2026-01-27,VRNA,Mizuho Leasing Indonesia Tbk.,90.0,91.0,89.0,90.0,892900
2026-01-28,VRNA,Mizuho Leasing Indonesia Tbk.,90.0,90.0,80.0,83.0,3301300
2026-01-29,VRNA,Mizuho Leasing Indonesia Tbk.,85.0,91.0,80.0,83.0,1213800
2026-01-30,VRNA,Mizuho Leasing Indonesia Tbk.,82.0,85.0,82.0,84.0,281600
2026-02-02,VRNA,Mizuho Leasing Indonesia Tbk.,85.0,86.0,80.0,82.0,159600
2026-02-03,VRNA,Mizuho Leasing Indonesia Tbk.,82.0,85.0,81.0,83.0,166100
2026-02-04,VRNA,Mizuho Leasing Indonesia Tbk.,84.0,85.0,80.0,84.0,182600
2026-02-05,VRNA,Mizuho Leasing Indonesia Tbk.,85.0,85.0,82.0,83.0,167600
2026-02-06,VRNA,Mizuho Leasing Indonesia Tbk.,82.0,84.0,81.0,81.0,100000
2026-02-09,VRNA,Mizuho Leasing Indonesia Tbk.,81.0,86.0,81.0,83.0,151400
2026-02-10,VRNA,Mizuho Leasing Indonesia Tbk.,84.0,85.0,83.0,84.0,141000
2026-02-11,VRNA,Mizuho Leasing Indonesia Tbk.,85.0,86.0,83.0,86.0,172000
2026-02-12,VRNA,Mizuho Leasing Indonesia Tbk.,86.0,87.0,84.0,86.0,271300
2026-02-13,VRNA,Mizuho Leasing Indonesia Tbk.,85.0,87.0,85.0,86.0,108800
2026-02-18,VRNA,Mizuho Leasing Indonesia Tbk.,86.0,86.0,83.0,85.0,241400
2026-02-19,VRNA,Mizuho Leasing Indonesia Tbk.,86.0,86.0,80.0,84.0,130300
2026-02-20,VRNA,Mizuho Leasing Indonesia Tbk.,84.0,84.0,81.0,83.0,385600
2026-02-23,VRNA,Mizuho Leasing Indonesia Tbk.,83.0,84.0,83.0,84.0,234600
2026-02-24,VRNA,Mizuho Leasing Indonesia Tbk.,84.0,85.0,84.0,84.0,118300
2026-02-25,VRNA,Mizuho Leasing Indonesia Tbk.,84.0,85.0,82.0,83.0,96100
2026-02-26,VRNA,Mizuho Leasing Indonesia Tbk.,83.0,83.0,80.0,81.0,230200
2026-02-27,VRNA,Mizuho Leasing Indonesia Tbk.,84.0,103.0,83.0,84.0,38940800
2026-03-02,VRNA,Mizuho Leasing Indonesia Tbk.,82.0,83.0,75.0,75.0,3462400
2026-03-03,VRNA,Mizuho Leasing Indonesia Tbk.,75.0,78.0,74.0,74.0,727000
2026-03-04,VRNA,Mizuho Leasing Indonesia Tbk.,74.0,74.0,71.0,71.0,672500
2026-03-05,VRNA,Mizuho Leasing Indonesia Tbk.,72.0,78.0,72.0,75.0,319600
2026-03-06,VRNA,Mizuho Leasing Indonesia Tbk.,75.0,77.0,72.0,73.0,363800
2026-03-09,VRNA,Mizuho Leasing Indonesia Tbk.,74.0,77.0,71.0,74.0,668000
2026-03-10,VRNA,Mizuho Leasing Indonesia Tbk.,74.0,76.0,71.0,73.0,151500
2026-03-11,VRNA,Mizuho Leasing Indonesia Tbk.,72.0,75.0,72.0,74.0,217700
2026-03-12,VRNA,Mizuho Leasing Indonesia Tbk.,73.0,75.0,72.0,75.0,198300
2026-03-13,VRNA,Mizuho Leasing Indonesia Tbk.,76.0,76.0,71.0,,191700
