[2026-01-29 19:29:47,490] INFO: Memulai Mining Data. Mode Full: False
[2026-01-29 19:29:48,688] ERROR: Gagal download AHAP.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/AHAP.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257787&period2=1769689787
[2026-01-29 19:29:48,689] INFO: [AHAP] Gagal mengambil data.
[2026-01-29 19:29:48,709] ERROR: Gagal download AGRO.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/AGRO.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257787&period2=1769689787
[2026-01-29 19:29:48,711] INFO: [AGRO] Gagal mengambil data.
[2026-01-29 19:29:48,979] INFO: [AGRS] Selesai. +4 data baru.
[2026-01-29 19:29:49,159] ERROR: Gagal download ADMF.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/ADMF.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257787&period2=1769689787
[2026-01-29 19:29:49,160] INFO: [ADMF] Gagal mengambil data.
[2026-01-29 19:29:49,318] ERROR: Gagal download ABDA.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/ABDA.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257787&period2=1769689787
[2026-01-29 19:29:49,320] INFO: [ABDA] Gagal mengambil data.
[2026-01-29 19:29:49,997] ERROR: Gagal download APIC.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/APIC.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257788&period2=1769689788
[2026-01-29 19:29:49,998] INFO: [APIC] Gagal mengambil data.
[2026-01-29 19:29:50,221] ERROR: Gagal download AMAG.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/AMAG.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257788&period2=1769689788
[2026-01-29 19:29:50,222] INFO: [AMAG] Gagal mengambil data.
[2026-01-29 19:29:50,338] ERROR: Gagal download ASDM.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/ASDM.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257789&period2=1769689789
[2026-01-29 19:29:50,340] INFO: [ASDM] Gagal mengambil data.
[2026-01-29 19:29:50,604] ERROR: Gagal download ARTO.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/ARTO.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257788&period2=1769689788
[2026-01-29 19:29:50,605] INFO: [ARTO] Gagal mengambil data.
[2026-01-29 19:29:50,684] ERROR: Gagal download ASBI.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/ASBI.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257789&period2=1769689789
[2026-01-29 19:29:50,687] INFO: [ASBI] Gagal mengambil data.
[2026-01-29 19:29:51,033] ERROR: Gagal download ASJT.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/ASJT.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257789&period2=1769689789
[2026-01-29 19:29:51,034] INFO: [ASJT] Gagal mengambil data.
[2026-01-29 19:29:52,459] ERROR: Gagal download ASRM.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/ASRM.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257790&period2=1769689790
[2026-01-29 19:29:52,460] INFO: [ASRM] Gagal mengambil data.
[2026-01-29 19:29:52,480] INFO: [BABP] Selesai. +4 data baru.
[2026-01-29 19:29:52,577] INFO: [ASMI] Selesai. +4 data baru.
[2026-01-29 19:29:52,904] ERROR: Gagal download BBCA.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/BBCA.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257791&period2=1769689791
